rank,signature,score,disc_n,disc_mean24,disc_win24,disc_tp3,cal_n,cal_mean24,cal_win24,cal_tp3
15,CB:0|PB:0|RC:0|ER:3-5,3.29442437210927,2379,0.7007500519678034,46.02774274905423,41.151744430432956,2026,-0.6022434966853686,41.26357354392892,37.759131293188545
16,CB:0|PB:0|RC:0|ER:1-2,3.226076502205157,1363,-0.28340011128410847,42.846661775495235,37.93103448275862,1248,-0.5854377221808381,44.71153846153847,37.17948717948718
17,CB:0|PB:3-5|RC:9+|ER:0,3.018227551454431,1254,0.17637604126072803,48.963317384370015,36.20414673046252,714,-0.5898290786168302,42.997198879551824,33.753501400560225
18,CB:0|PB:6-8|RC:6-8|ER:0,2.994283672891646,1942,0.26600159002468826,46.91040164778579,32.44078269824923,1159,-0.5661363345010146,38.826574633304574,31.57894736842105
19,CB:0|PB:1-2|RC:6-8|ER:0,2.955313752201101,643,-0.11463794622998368,45.56765163297045,34.83670295489891,532,-0.5410083331636687,43.045112781954884,31.76691729323308
20,CB:0|PB:3-5|RC:3-5|ER:0,2.9206984951599093,1037,0.09145792495594349,45.32304725168756,34.13693346190935,582,-0.5912003727277563,41.23711340206185,37.45704467353952
21,CB:0|PB:1-2|RC:9+|ER:0,2.863007928415257,556,0.6268566506786145,50.53956834532374,36.69064748201439,426,-0.6244376442504964,41.31455399061033,37.08920187793427
22,CB:0|PB:6-8|RC:3-5|ER:0,2.8033513769013414,1185,0.10104957023349909,44.38818565400844,32.48945147679325,646,-0.6951743810585108,41.021671826625386,34.984520123839005
23,CB:0|PB:9+|RC:6-8|ER:0,2.7931570237029493,1933,0.11760796916775218,47.49094671495085,35.38541127780652,916,-0.7669233378109483,39.62882096069869,33.29694323144105
24,CB:0|PB:9+|RC:3-5|ER:0,2.755464457646858,903,0.5646765909175951,51.162790697674424,34.33001107419712,437,-0.6689804301303197,42.5629290617849,31.35011441647597
25,CB:0|PB:1-2|RC:3-5|ER:0,2.7496053574506725,510,-0.18163045417119078,44.90196078431373,34.90196078431372,400,-0.669424215062244,40.75,35.75
26,CB:0|PB:3-5|RC:6-8|ER:0,2.5776575099189802,1532,-0.0871223430637531,42.95039164490861,36.161879895561356,924,-0.9966740413422428,38.20346320346321,36.038961038961034
27,CB:0|PB:6-8|RC:9+|ER:0,2.4655010908301267,1350,0.3992430195614438,49.407407407407405,35.77777777777777,706,-0.9594591252190874,38.81019830028329,31.01983002832861
28,CB:0|PB:9+|RC:9+|ER:0,2.4516044674508928,1185,0.10393828925058209,49.789029535864984,32.742616033755276,547,-0.9055859264981772,39.853747714808044,29.250457038391225
29,CB:0|PB:1-2|RC:1-2|ER:0,2.054825014995792,161,0.10782360867254465,44.72049689440994,32.91925465838509,130,-0.9300517166645055,36.92307692307693,40.0
30,CB:0|PB:6-8|RC:1-2|ER:0,2.01005837527485,208,-0.8227648082349494,36.05769230769231,31.73076923076923,86,0.3004419181750761,46.51162790697674,37.2093023255814
31,CB:0|PB:3-5|RC:1-2|ER:0,0.8165949364934477,175,-0.40118083004991784,40.57142857142857,30.28571428571429,91,-1.9485774824940871,40.65934065934066,20.87912087912088
