rank,tier,score,rule,disc_n,disc_mean24,disc_win24,cal_n,cal_mean24,cal_win24,hold_n,hold_mean24,all2026_n,all2026_mean24
28,ACCEPTABLE,3.681041404329297,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": -0.0125428889400888, ""q"": 0.25, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc4_adx_acc"", ""side"": ""GE"", ""threshold"": -0.037539051508769655, ""q"": 0.35, ""family"": ""adx"", ""timeframe"": ""btc4""}}",108,1.8793251593054439,68.51851851851852,39,1.6848725398088469,61.53846153846154,82,0.6540590715216211,26,1.3563512333387762
29,ACCEPTABLE,3.6623116086955316,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.031248074044156266, ""q"": 0.65, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc1_tsi_d1"", ""side"": ""GE"", ""threshold"": -1.60800396382637, ""q"": 0.35, ""family"": ""tsi"", ""timeframe"": ""btc1""}}",102,1.890892465646986,67.64705882352942,29,1.6627973395642057,58.620689655172406,67,0.4757739818876472,29,1.2658663590849455
30,ACCEPTABLE,3.661879432772797,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.050789701834993525, ""q"": 0.75, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc4_adx_acc"", ""side"": ""GE"", ""threshold"": -0.037539051508769655, ""q"": 0.35, ""family"": ""adx"", ""timeframe"": ""btc4""}}",89,1.6670158830383974,67.41573033707866,37,1.8955001732658494,64.86486486486487,68,1.0723398158854787,23,1.217192974238739
31,STRICT,3.651945643885787,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": -0.006731912334715189, ""q"": 0.35, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc1_vwap_dist_d1"", ""side"": ""LE"", ""threshold"": -1.027151599234977, ""q"": 0.25, ""family"": ""vwap"", ""timeframe"": ""btc1""}}",86,1.6091199764741069,66.27906976744185,38,1.769992692212599,63.1578947368421,68,-0.09292981364472454,33,1.8579615260640725
32,ACCEPTABLE,3.625380305805899,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": -0.0125428889400888, ""q"": 0.25, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc1_vwap_dist_d1"", ""side"": ""LE"", ""threshold"": -1.027151599234977, ""q"": 0.25, ""family"": ""vwap"", ""timeframe"": ""btc1""}}",101,1.6292114412854486,66.33663366336634,39,1.6848725398088469,61.53846153846154,74,0.18925021375631115,33,1.8579615260640725
33,ACCEPTABLE,3.6201531480697504,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.050789701834993525, ""q"": 0.75, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""h1_adx_d3"", ""side"": ""GE"", ""threshold"": 0.768328085877299, ""q"": 0.65, ""family"": ""adx"", ""timeframe"": ""h1""}}",64,1.5673686688086492,64.0625,31,1.7133823172675506,58.06451612903226,59,-0.6676130927169427,31,2.0833276376783716
34,STRICT,3.59386019119132,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": -0.0125428889400888, ""q"": 0.25, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc4_adx_d3"", ""side"": ""LE"", ""threshold"": -0.2416742656742701, ""q"": 0.35, ""family"": ""adx"", ""timeframe"": ""btc4""}}",109,2.0250344179000486,69.72477064220183,40,1.5968743365163725,60.0,81,0.7870073903467057,25,2.019276355782913
35,ACCEPTABLE,3.5859680155970466,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.031248074044156266, ""q"": 0.65, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc4_adx_acc"", ""side"": ""GE"", ""threshold"": -0.037539051508769655, ""q"": 0.35, ""family"": ""adx"", ""timeframe"": ""btc4""}}",90,1.5911044658626474,66.66666666666666,37,1.8955001732658494,64.86486486486487,68,1.0723398158854787,25,1.1523612256200286
36,STRICT,3.5857694023903264,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_adx_acc"", ""side"": ""GE"", ""threshold"": -0.037539051508769655, ""q"": 0.35, ""family"": ""adx"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""h1_rvol20_d1"", ""side"": ""LE"", ""threshold"": -0.11015883550727072, ""q"": 0.35, ""family"": ""rvol"", ""timeframe"": ""h1""}}",98,1.5015520125361255,65.3061224489796,34,1.7388118805113233,67.64705882352942,73,0.19606335660897722,30,1.5065903359612975
37,ACCEPTABLE,3.576233769418353,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc1_tsi_d1"", ""side"": ""GE"", ""threshold"": -1.60800396382637, ""q"": 0.35, ""family"": ""tsi"", ""timeframe"": ""btc1""}, ""b"": {""type"": ""single"", ""feature"": ""h4_donch_pos_d3"", ""side"": ""GE"", ""threshold"": 0.19310372116326113, ""q"": 0.65, ""family"": ""donch"", ""timeframe"": ""h4""}}",96,1.9470571581537712,67.70833333333334,31,1.6040272471464987,58.06451612903226,70,0.3247547919107629,27,1.782107401061866
