time,open,high,low,close,motion_pos,motion_net,structure,M15_RSI_P4,M15_MACD_P4,M15_KDJ_P4,M15_WPR_P4,M15_OBV_P4,M15_STOCH_P4,H1_RSI_P4,H1_MACD_P4,H1_KDJ_P4,H1_WPR_P4,H1_OBV_P4,H1_STOCH_P4,H4_RSI_P3,H4_MACD_P3,H4_KDJ_P3,H4_WPR_P3,H4_OBV_P3,H4_STOCH_P3,S_SWEEP,S_ENGULF,S_RECLAIM,S_HLHH,ret_3h,mfe_3h,mae_3h,ret_6h,mfe_6h,mae_6h,ret_12h,mfe_12h,mae_12h,ret_24h,mfe_24h,mae_24h
2026-06-13 10:30:00+00:00,63782.01,63888.0,63782.0,63854.3,5,5,True,-0-+,---0,-+++,-0-+,-0-+,-00+,++0-,+++0,++0-,++00,++0-,++0-,--+,---,--+,--+,--0,--+,N,N,Y,Y,0.47129167495374436,0.6132398287977292,-0.0850373428257778,0.32588251691740844,0.7762985421498669,-0.0850373428257778,1.0468049919895694,1.4227232934978407,-0.0850373428257778,1.177211244974874,1.4227232934978407,-0.0850373428257778
2026-06-20 09:00:00+00:00,63417.98,63530.34,63417.98,63520.0,4,4,True,---+,---0,-00+,-00+,---0,0+++,++0-,00--,++--,0+--,++0-,++--,+0+,+++,+++,+++,+-+,+00,N,N,Y,Y,0.36823047858942637,0.43885390428211046,-0.009241183879094006,0.762122166246848,0.9918136020151236,-0.5286366498740591,0.7406958438287203,1.366498740554145,-0.5286366498740591,0.7178841309823714,1.6813602015113283,-0.5286366498740591
2026-06-27 18:30:00+00:00,60515.99,60566.0,60500.08,60562.52,4,4,True,---+,---0,-0++,---+,0--0,+0-+,++0-,0++-,++--,0+--,++0-,+0--,+0+,+++,+0+,+0+,+0+,+00,N,Y,Y,Y,-0.5165571049553397,0.07081937805759608,-0.7870214119227503,-0.6367799754699699,0.07081937805759608,-1.1679831024204335,-0.9835290869666502,0.07081937805759608,-1.3358757198346338,-1.5876485985061306,0.07081937805759608,-1.9133120616513288
2026-07-02 06:30:00+00:00,60476.53,60652.74,60476.53,60534.4,4,3,True,--0+,----,--++,--00,--0+,-0++,++0-,0+00,+++-,++0-,++0-,0+--,00+,+++,+-+,00+,000,++-,N,N,N,Y,0.9178417560923968,1.122353570862189,-0.7110006872125596,1.38955701221124,1.7570340170217191,-0.7110006872125596,2.0510982185335758,2.751493365755664,-0.7110006872125596,1.8290756991066193,2.751493365755664,-0.7110006872125596
2026-07-16 18:00:00+00:00,64069.04,64221.38,64052.14,64192.32,4,4,True,0--+,---0,+0++,0-++,+--0,0-++,++0-,+++0,++--,++0-,++0-,++0-,-0+,---,-0+,--0,-++,-00,N,N,Y,Y,-0.018179744866675396,0.21448048613914583,-0.14844454912986693,-0.6258536846775464,0.21448048613914583,-0.6910172431842332,-2.1272326658391516,0.21448048613914583,-2.2220415152466755,-0.15628037746571177,0.21448048613914583,-2.5778161624319007
2026-07-26 18:45:00+00:00,64703.51,64769.99,64703.51,64734.38,6,6,True,-+++,--0+,0+++,-00+,-+++,++++,++0-,+++0,++--,++0-,++0-,++0-,0++,+++,0+0,-++,-++,00+,N,N,Y,Y,0.1909958819409363,0.2929200835784629,-0.15881823537970963,0.6141558782211343,1.3016576354017761,-0.15881823537970963,1.0541230177843808,1.56056179112245,-0.15881823537970963,0.22186047043317725,1.56056179112245,-0.48872021327769355
2026-08-13 09:45:00+00:00,63700.47,63786.49,63700.47,63782.64,6,6,True,-00+,--0+,-+++,-+++,-0++,++++,++0-,+++0,0+--,0+--,++0-,0---,0++,0++,-++,0++,0++,-++,N,N,Y,Y,-0.13307696263433755,0.05568913422211441,-0.6783036889034366,-0.5685402799256889,0.3392145574407035,-0.6783036889034366,-0.48389342303799543,0.3392145574407035,-1.5370483253750566,-1.5519740167543983,0.3392145574407035,-1.697389759972301
2026-08-18 18:15:00+00:00,64734.34,64806.0,64727.99,64799.74,5,5,True,--0+,---0,--++,--0+,--0+,--0+,++0-,+++0,+++-,++0-,++0-,+++-,00+,--0,-++,00+,+++,-0+,N,N,Y,Y,-0.27061836976506326,0.03435198968391173,-0.3576248917048108,-0.3023931886146358,0.03435198968391173,-0.38848921307399475,-0.8058982952709348,0.03435198968391173,-0.9779977512255456,5.37022216447165,7.253516757937617,-0.9779977512255456
2026-08-30 02:30:00+00:00,78042.49,78121.9,78014.74,78102.45,5,5,True,++-+,0+0+,++-+,++-+,0+0+,++-0,++0-,----,+---,++0-,++0-,++--,+++,+++,+++,+++,+++,+++,N,Y,Y,N,0.030447188276427894,0.16804850552063488,-0.14397755768225107,-0.05179094893950076,0.26664976578840704,-0.14397755768225107,0.8444165323879149,1.1066362194783963,-0.1792005244393602,-0.4942610635133682,1.6613435301965573,-1.4115434278950234
2026-09-07 02:15:00+00:00,79837.04,80041.61,79837.03,80032.01,6,6,True,-0-+,---+,0+0+,---+,-0-+,-+0+,++0-,+++0,+---,+---,++0-,++--,-0+,-0+,-++,0++,-++,-++,N,N,Y,Y,-0.2199369977087806,0.4922905222547902,-0.6142917065309117,-0.7070670847826865,0.4922905222547902,-1.288122090148669,-1.2222734378406708,0.4922905222547902,-1.288122090148669,-0.9576168335644675,0.4922905222547902,-1.6893365542112404
2026-09-11 16:45:00+00:00,77798.01,77997.93,77798.0,77916.0,4,4,True,0-++,---0,-0++,--0+,0-00,-0++,++0-,+++0,++--,++0-,++0-,++0-,+0+,+++,+++,+0+,+0+,+++,N,N,Y,Y,-0.8085502335848926,0.056483905744642016,-1.3257867446994198,-0.9831100159145789,0.056483905744642016,-1.3257867446994198,-0.8897402330715121,0.056483905744642016,-1.3257867446994198,-0.7161430258226908,0.056483905744642016,-1.3257867446994198
