name,lookback_h,prototype_outcome_h,q,threshold,viable,disc_n,disc_win24,disc_mean24,disc_mean72,disc_mean168,cal_n,cal_win24,cal_mean24,cal_mean72,cal_mean168
LB12_PROTO72_Q750,12,72,0.75,-0.29451657597430314,False,143,46.85314685314685,0.3570138522707626,2.3990853870137063,4.215836874852069,54,37.03703703703704,-1.277763070704732,-1.9534738458331602,-0.5672446303176082
LB12_PROTO72_Q800,12,72,0.8,-0.07164379123917086,False,115,47.82608695652174,0.32869502025206276,2.2449309586670894,4.0202937179787845,42,30.952380952380953,-1.837415391654416,-2.3635269598981674,-0.24517316499868597
LB12_PROTO72_Q850,12,72,0.85,0.09916038236109856,False,86,52.32558139534884,0.7203834223683415,2.368522247855781,4.948139176599951,39,33.33333333333333,-1.665144710071986,-1.958326593984038,0.039790743822139166
LB12_PROTO72_Q875,12,72,0.875,0.2531080395659378,False,72,54.166666666666664,1.05611768619834,2.7116461498493827,5.273641276509127,34,32.35294117647059,-1.9081159433570893,-2.595961578365677,-0.10819314663151107
LB12_PROTO72_Q900,12,72,0.9,0.4126045901666368,False,58,60.3448275862069,1.6557909391783592,4.1208109041207175,8.33562453913019,26,34.61538461538461,-1.9734012757505774,-3.520122672734256,0.8488509001292768
LB12_PROTO72_Q925,12,72,0.925,0.5866504531368859,False,43,62.7906976744186,2.199467055760897,4.7264725755099875,11.407155295399606,23,30.434782608695656,-2.239044662510179,-3.1585522651673235,0.5029172010141466
LB12_PROTO72_Q950,12,72,0.95,0.7676297698709087,False,29,68.96551724137932,2.318364084131531,4.255122317132552,5.9509020240216985,16,37.5,-1.8922933764740986,-1.7602556213626515,1.2937697738302107
LB12_PROTO72_Q965,12,72,0.965,0.9661720044846664,False,20,65.0,2.887433182359275,4.292441390955946,4.842038431791321,9,11.11111111111111,-4.438357769757951,-3.417789885311991,3.189127003439751
LB12_PROTO168_Q700,12,168,0.7,-0.5643458758694255,False,172,44.18604651162791,0.21351188852561706,1.4109663462977224,3.162023245021478,61,37.704918032786885,-1.0447266281380931,-1.9037705548117552,-0.6693079605614639
LB12_PROTO168_Q750,12,168,0.75,-0.43764205170097126,False,143,47.55244755244755,0.35320470140441623,2.25670980999072,4.324407414040518,47,31.914893617021278,-1.485348496296368,-2.2240740512275163,-0.094488333532963
LB12_PROTO168_Q800,12,168,0.8,-0.3340806973157366,False,115,50.43478260869565,0.767714546177595,3.2637777764345874,5.696459031024365,41,31.70731707317073,-1.7296967187221457,-2.5921146184956703,-0.3025658053172879
LB12_PROTO168_Q850,12,168,0.85,-0.184583194077054,False,86,53.48837209302325,1.1288029136041429,3.468866555644155,7.55008952833466,35,28.57142857142857,-1.9916165294244512,-2.8712002372512484,0.12645907161962366
LB12_PROTO168_Q875,12,168,0.875,-0.09233624796642309,False,72,54.166666666666664,1.3769013987352776,4.141156810386422,9.13346018675272,32,28.125,-2.300291490002392,-3.426836459600278,-0.11053444078356778
LB12_PROTO168_Q900,12,168,0.9,0.09555652248218685,False,58,58.620689655172406,1.6911368192694491,4.506106459515612,8.30115005677289,25,28.000000000000004,-2.3502871607088167,-3.8121757644178955,-0.21054481468162312
LB12_PROTO168_Q925,12,168,0.925,0.16132149151421302,False,43,65.11627906976744,2.236116529452888,5.316747746667194,11.255827460774052,23,30.434782608695656,-2.335240177565011,-3.80035635930804,0.18091498677704257
LB12_PROTO168_Q950,12,168,0.95,0.3219634294826577,False,29,68.96551724137932,2.8744408766889,5.945308229262586,13.106901845001401,16,37.5,-1.8922933764740986,-1.7602556213626515,1.2937697738302107
LB12_PROTO168_Q965,12,168,0.965,0.4621806101605904,False,20,65.0,3.244030084404492,6.67470146797047,14.117366427896178,12,33.33333333333333,-2.4173075221174267,-3.234971098287739,0.7982796114356057
LB24_PROTO24_Q700,24,24,0.7,-0.5019455699256087,False,172,43.02325581395349,-0.30080005445942604,0.9898116337363203,4.673138277487746,64,18.75,-1.6745057434325337,-1.7835067038298762,-3.695338274003037
LB24_PROTO24_Q750,24,24,0.75,-0.43001777565649124,False,143,41.95804195804196,-0.40534783250084294,0.9943840582316706,5.793536419722036,54,18.51851851851852,-1.6503775397506422,-2.296387849141699,-4.112192325994339
LB24_PROTO24_Q800,24,24,0.8,-0.3077424549128586,False,115,42.608695652173914,-0.3712676719949374,1.4536014133744906,7.570280139672721,34,14.705882352941178,-1.7546617248847516,-2.781928188212303,-1.6528772852346512
LB24_PROTO24_Q850,24,24,0.85,-0.15088823929534398,False,86,41.86046511627907,-0.2675950640749484,2.2682260711527777,9.686749489991946,24,8.333333333333332,-1.8809001932515323,-2.0264085350189966,-1.1686176718191703
LB24_PROTO24_Q875,24,24,0.875,0.00024163050151215781,False,72,41.66666666666667,-0.4332847163713453,2.631661111202937,9.046237138013629,13,0.0,-2.314783468492804,-0.7120988879511742,2.781456788984319
LB24_PROTO72_Q700,24,72,0.7,-0.13504869247833604,False,172,43.604651162790695,-0.30207716458941375,1.326418022145576,4.757128323567264,69,23.18840579710145,-1.066600232392015,-0.8566938456378165,-3.5615905031753567
LB24_PROTO72_Q750,24,72,0.75,-0.00805707045674442,False,143,44.75524475524475,-0.13530393933446655,1.3683598773777843,5.519737674370884,51,21.568627450980394,-1.1534704216776288,-2.083969690428539,-2.5003913047126685
LB24_PROTO72_Q800,24,72,0.8,0.08102535746437793,False,115,45.21739130434783,-0.20861235974593365,1.6464751529139063,6.441486354556979,41,9.75609756097561,-1.7001847054472623,-3.4033197576199803,-2.110789362163805
LB24_PROTO72_Q850,24,72,0.85,0.20309873619048624,False,86,46.51162790697674,-0.1674793319155008,2.2390815912987985,7.950439782829677,26,7.6923076923076925,-2.034191170719935,-3.4007743881433936,-0.8268801219604476
LB24_PROTO72_Q875,24,72,0.875,0.28975916087443815,False,72,48.61111111111111,0.01246256235195167,2.7799737473512494,9.096842074655992,23,8.695652173913043,-2.1502188500368824,-2.8531548165392486,-0.5079731132811255
LB24_PROTO72_Q900,24,72,0.9,0.41773671679573954,False,58,50.0,0.2833541427851547,3.5857665504459257,10.367166841507453,16,0.0,-2.218204837489001,-1.3544443685746037,0.8634271756870806
LB24_PROTO72_Q925,24,72,0.925,0.5793033586230483,False,43,53.48837209302325,0.5114565368077791,4.461642499344016,8.754386246135088,9,0.0,-2.2594583222305746,0.9140337416195459,7.773998211365225
LB24_PROTO168_Q700,24,168,0.7,-0.16948754339821165,False,172,43.604651162790695,-0.30207716458941375,1.326418022145576,4.757128323567264,71,23.943661971830984,-0.5220297614830667,-0.29089397940474143,-3.5100490236614403
LB24_PROTO168_Q750,24,168,0.75,-0.04600890867740581,False,143,44.75524475524475,-0.05483545099501372,1.545735173143063,5.741084296700406,51,21.568627450980394,-1.1534704216776288,-2.083969690428539,-2.5003913047126685
LB24_PROTO168_Q800,24,168,0.8,0.051560923913356156,False,115,45.21739130434783,-0.19993036338654552,1.7438311958191595,6.818986402058513,41,9.75609756097561,-1.7001847054472623,-3.4033197576199803,-2.110789362163805
LB24_PROTO168_Q850,24,168,0.85,0.17426366614650599,False,86,44.18604651162791,-0.3384062219915886,2.1642035716993324,7.956994614691398,25,8.0,-1.9920838259408102,-3.264287068939355,-0.36320071119603276
LB24_PROTO168_Q875,24,168,0.875,0.25472496892689334,False,72,48.61111111111111,0.01246256235195167,2.7799737473512494,9.096842074655992,23,8.695652173913043,-2.1502188500368824,-2.8531548165392486,-0.5079731132811255
LB24_PROTO168_Q900,24,168,0.9,0.3807746054147576,False,58,50.0,0.2833541427851547,3.5857665504459257,10.367166841507453,16,0.0,-2.218204837489001,-1.3544443685746037,0.8634271756870806
LB24_PROTO168_Q925,24,168,0.925,0.5454496675291943,False,43,53.48837209302325,0.36796155150163423,4.471203148322155,8.990615753140453,9,0.0,-2.2594583222305746,0.9140337416195459,7.773998211365225
LB48_PROTO24_Q700,48,24,0.7,-0.09463749878892458,False,172,48.837209302325576,0.14393801543795462,2.449466001090097,5.477902888478013,116,40.51724137931034,-0.31390709869320665,3.403584477678273,-3.6724971858324307
LB48_PROTO24_Q750,48,24,0.75,0.10804916073501447,False,143,48.95104895104895,0.08331763487255796,2.283687214693277,5.394291690983779,104,38.46153846153847,-0.4578547560830486,3.835413860946831,-4.307509284218803
LB48_PROTO24_Q800,48,24,0.8,0.3374916279000626,False,115,47.82608695652174,0.005216480714904759,2.002683402669937,4.9800194351787495,93,38.70967741935484,-0.49186923894723467,3.85873309374197,-4.206442117823355
LB48_PROTO24_Q850,48,24,0.85,0.6685332759071637,False,86,47.674418604651166,0.020758996441832562,1.559440430588606,5.604707642178551,72,34.72222222222222,-0.8587995575969588,4.479944836710223,-4.398706698923409
LB48_PROTO24_Q875,48,24,0.875,0.812701929477866,False,72,45.83333333333333,-0.12262064637186186,1.3512846626520456,5.8242183901048366,66,33.33333333333333,-0.9273238097466507,4.5485703854141315,-4.512465951501647
LB48_PROTO24_Q900,48,24,0.9,1.2413649493286627,False,58,43.103448275862064,-0.3038799276917097,1.792783018193541,7.372958854743878,39,25.64102564102564,-1.3685234912571251,4.606351128558091,-7.520096423494735
LB48_PROTO24_Q925,48,24,0.925,1.6769360322670739,False,43,27.906976744186046,-1.4179015367435244,0.9990314940029226,8.944763484366025,17,11.76470588235294,-2.2176590646464227,3.1270104566220867,-17.20490548083603
LB48_PROTO72_Q700,48,72,0.7,-1.1804653718733908,False,172,50.0,0.28463384010342574,2.695807892773966,6.1755120579785725,124,35.483870967741936,-0.8167838234401253,2.1167337829868393,-4.861832378272563
LB48_PROTO72_Q750,48,72,0.75,-1.0480166216373952,False,143,50.349650349650354,0.2548964630459365,2.265464535135946,6.226227886092288,107,37.38317757009346,-0.2989975078610977,3.3651121451683568,-4.285693913532068
LB48_PROTO72_Q800,48,72,0.8,-0.8847784814137086,False,115,49.56521739130435,0.08767807809815822,1.6653470266498394,4.3257861549837155,92,36.95652173913043,-0.6741113630861907,3.7488503089821874,-4.339325620703049
LB48_PROTO72_Q850,48,72,0.85,-0.5917177124210956,False,86,47.674418604651166,0.04618727169174957,1.803187733146638,5.80456337481664,68,33.82352941176471,-0.9251407683123004,4.412043648778815,-4.7701780687180095
LB48_PROTO72_Q875,48,72,0.875,-0.4546473336311446,False,72,45.83333333333333,-0.030741844590250113,1.559833017543899,5.685993469268044,63,33.33333333333333,-0.9553679496243636,4.468555715742311,-4.4682349448845065
LB48_PROTO72_Q900,48,72,0.9,-0.08144076362597691,False,58,41.37931034482759,-0.40464768641623666,1.1856404160655631,6.461037042606324,38,23.684210526315788,-1.5798086137258385,5.021051532918576,-6.960415079280589
LB48_PROTO72_Q925,48,72,0.925,0.42094851410367995,False,43,30.23255813953488,-1.2830529777472495,1.264564681823525,9.255271417843504,12,16.666666666666664,-2.424231746092319,2.8226293741657855,-16.1170495658986
LB48_PROTO168_Q700,48,168,0.7,-1.0290191457964966,False,172,48.837209302325576,0.200252617553252,2.6997225777180907,5.899566974419975,112,36.607142857142854,-0.7838573330717159,2.6703747946041294,-4.111179481525339
LB48_PROTO168_Q750,48,168,0.75,-0.9607938438343488,False,143,48.95104895104895,0.1146169788783801,2.4982806235061403,4.497790896964239,101,36.633663366336634,-0.7937603405185613,3.2519870209598,-4.337086004554221
LB48_PROTO168_Q800,48,168,0.8,-0.804462005911821,False,115,47.82608695652174,-0.223360854157727,1.929237513573353,4.651778316156529,81,35.80246913580247,-0.8597536303627703,4.28002747518988,-4.554265212350183
LB48_PROTO168_Q850,48,168,0.85,-0.595487463080988,False,86,47.674418604651166,-0.13348079615336714,1.1969327972272337,4.988209323273097,66,31.818181818181817,-1.1022781012551826,4.755410092129968,-4.484596365831507
LB48_PROTO168_Q875,48,168,0.875,-0.4899527464682274,False,72,47.22222222222222,-0.007951265658386966,1.5005601868004323,5.384805066554114,60,33.33333333333333,-1.0474411275549056,4.783771862079621,-4.56844476314026
LB48_PROTO168_Q900,48,168,0.9,-0.1196891290392966,False,58,41.37931034482759,-0.3473971667596164,1.2399511264267062,6.780589132744038,41,31.70731707317073,-1.2472361114309953,5.035839255928315,-5.864719121816979
LB48_PROTO168_Q925,48,168,0.925,0.36570198893147227,False,43,32.55813953488372,-0.9503188448970937,1.2395642602969656,9.23177166137509,9,22.22222222222222,-1.7531383476905242,5.382444277886202,-17.238978119166845
