lookback_h,outcome_h,point,winner,loser,scale
48,12,6,-17.055555439942275,9.66892525965839,6.759340292968791
48,12,7,-23.268456538561193,9.02083485125006,7.055133137530257
48,12,8,-10.897351388736313,8.193844283843541,8.427199099572903
48,12,9,-12.25456751710778,6.696678493846853,8.741731359140214
48,12,10,-9.958527850510126,5.581342372461589,8.755948795514062
48,12,11,-9.403400865125466,9.539642759427872,9.577026563800619
48,12,12,-9.6877423726805,7.675924515118368,9.513184155860781
48,24,0,0.0,0.0,1.0
48,24,1,-0.07925819087049947,1.5854283561109388,2.3544559681574135
48,24,2,-6.318436583641681,2.5223977916527214,3.87068404663746
48,24,3,-3.455546879238247,8.977479116775145,4.3935054953941055
48,24,4,-13.03147872796432,6.873983504835429,4.985875580485365
48,24,5,-14.861744378476084,7.580076464922829,6.077252411018433
48,24,6,-17.055555439942275,9.66892525965839,6.759340292968791
48,24,7,-23.268456538561193,9.02083485125006,7.055133137530257
48,24,8,-10.897351388736313,8.193844283843541,8.427199099572903
48,24,9,-12.25456751710778,6.696678493846853,8.741731359140214
48,24,10,-9.958527850510126,5.581342372461589,8.755948795514062
48,24,11,-9.403400865125466,9.539642759427872,9.577026563800619
48,24,12,-9.6877423726805,7.675924515118368,9.513184155860781
48,48,0,0.0,0.0,1.0
48,48,1,-0.055157199412721895,1.113363740305149,2.3544559681574135
48,48,2,-6.238102299755,0.659568848913376,3.87068404663746
48,48,3,-3.423067283854455,0.6492737556974648,4.3935054953941055
48,48,4,-12.562129494352723,2.6232305714682713,4.985875580485365
48,48,5,-14.071397672030031,2.4723790624445017,6.077252411018433
48,48,6,-16.68251207239861,3.9384304138131188,6.759340292968791
48,48,7,-22.761116857392576,6.270720458450036,7.055133137530257
48,48,8,-10.426429750031433,5.1874174998172595,8.427199099572903
48,48,9,-12.251979795397503,2.2528497624929247,8.741731359140214
48,48,10,-9.81551319365562,-0.8913533415756967,8.755948795514062
48,48,11,-8.943456452926405,1.3820669838227762,9.577026563800619
48,48,12,-9.445827005523,1.2627624442637582,9.513184155860781
48,72,0,0.0,0.0,1.0
48,72,1,-0.055157199412721895,-0.10097356306011177,2.3544559681574135
48,72,2,-6.5813218569571745,-2.4369481239613062,3.87068404663746
48,72,3,-3.488026474622039,-2.692508290999874,4.3935054953941055
48,72,4,-15.130678301099659,-2.2837579987856613,4.985875580485365
48,72,5,-17.02990848064934,-1.8569926419884044,6.077252411018433
48,72,6,-17.669107814666887,-1.9559839961038041,6.759340292968791
48,72,7,-24.521575466970887,2.1570837316272202,7.055133137530257
48,72,8,-12.035112519375122,3.1207917588841947,8.427199099572903
48,72,9,-12.891386864363927,-1.945716486583653,8.741731359140214
48,72,10,-10.161177605118331,-3.225335092337592,8.755948795514062
48,72,11,-8.943456452926405,-4.450722171493327,9.577026563800619
48,72,12,-9.929657739837998,-3.3581900563212383,9.513184155860781
48,168,0,0.0,0.0,1.0
48,168,1,-0.11894143537225126,1.6621544408384816,2.3544559681574135
48,168,2,-6.449688136325271,0.5136397727795987,3.87068404663746
48,168,3,-3.4004031692167835,-3.1093977230403644,4.3935054953941055
48,168,4,-14.85049344146852,-2.9481880606294886,4.985875580485365
48,168,5,-16.78648955183969,-2.3958056439210877,6.077252411018433
48,168,6,-17.45009777287665,-3.311698402042475,6.759340292968791
48,168,7,-24.057318644949348,-1.7043829591133517,7.055133137530257
48,168,8,-10.426429750031433,-4.309296310641571,8.427199099572903
48,168,9,-12.257155238818056,-7.344198600245013,8.741731359140214
48,168,10,-9.81551319365562,-5.769875061003565,8.755948795514062
48,168,11,-8.879734353099558,-7.857122885100303,9.577026563800619
48,168,12,-9.445827005523,-7.144822624146725,9.513184155860781
