name,lookback_h,prototype_outcome_h,q,threshold,viable,viable_horizons,disc_n,disc_win24,disc_mean24,disc_mean72,disc_mean168,cal_n,cal_win24,cal_mean24,cal_mean72,cal_mean168
LB12_PROTO48_Q965,12,48,0.965,1.2577465980881408,False,,20,70.0,3.359275100391941,4.40324955706931,5.561563192341922,11,18.181818181818183,-3.7412765456961266,-3.519662459916807,-0.4128767763691206
LB12_PROTO72_Q700,12,72,0.7,-0.44057831741768805,False,,172,45.348837209302324,0.5263765170859004,1.9557807307714519,3.5963109783498086,62,40.32258064516129,-0.9170974571932424,-1.3520737571659445,0.06429796348192958
LB12_PROTO72_Q750,12,72,0.75,-0.29451657597430314,False,,143,46.85314685314685,0.3570138522707626,2.3990853870137063,4.215836874852069,54,37.03703703703704,-1.277763070704732,-1.9534738458331602,-0.5672446303176082
LB12_PROTO72_Q800,12,72,0.8,-0.07164379123917086,False,,115,47.82608695652174,0.32869502025206276,2.2449309586670894,4.0202937179787845,42,30.952380952380953,-1.837415391654416,-2.3635269598981674,-0.24517316499868597
LB12_PROTO72_Q850,12,72,0.85,0.09916038236109856,False,,86,52.32558139534884,0.7203834223683415,2.368522247855781,4.948139176599951,39,33.33333333333333,-1.665144710071986,-1.958326593984038,0.039790743822139166
LB12_PROTO72_Q875,12,72,0.875,0.2531080395659378,False,,72,54.166666666666664,1.05611768619834,2.7116461498493827,5.273641276509127,34,32.35294117647059,-1.9081159433570893,-2.595961578365677,-0.10819314663151107
LB12_PROTO72_Q900,12,72,0.9,0.4126045901666368,False,,58,60.3448275862069,1.6557909391783592,4.1208109041207175,8.33562453913019,26,34.61538461538461,-1.9734012757505774,-3.520122672734256,0.8488509001292768
LB12_PROTO72_Q925,12,72,0.925,0.5866504531368859,False,,43,62.7906976744186,2.199467055760897,4.7264725755099875,11.407155295399606,23,30.434782608695656,-2.239044662510179,-3.1585522651673235,0.5029172010141466
LB12_PROTO72_Q950,12,72,0.95,0.7676297698709087,True,168,29,68.96551724137932,2.318364084131531,4.255122317132552,5.9509020240216985,16,37.5,-1.8922933764740986,-1.7602556213626515,1.2937697738302107
LB12_PROTO72_Q965,12,72,0.965,0.9661720044846664,False,,20,65.0,2.887433182359275,4.292441390955946,4.842038431791321,9,11.11111111111111,-4.438357769757951,-3.417789885311991,3.189127003439751
LB12_PROTO168_Q700,12,168,0.7,-0.5643458758694255,False,,172,44.18604651162791,0.21351188852561706,1.4109663462977224,3.162023245021478,61,37.704918032786885,-1.0447266281380931,-1.9037705548117552,-0.6693079605614639
LB12_PROTO168_Q750,12,168,0.75,-0.43764205170097126,False,,143,47.55244755244755,0.35320470140441623,2.25670980999072,4.324407414040518,47,31.914893617021278,-1.485348496296368,-2.2240740512275163,-0.094488333532963
LB12_PROTO168_Q800,12,168,0.8,-0.3340806973157366,False,,115,50.43478260869565,0.767714546177595,3.2637777764345874,5.696459031024365,41,31.70731707317073,-1.7296967187221457,-2.5921146184956703,-0.3025658053172879
LB12_PROTO168_Q850,12,168,0.85,-0.184583194077054,False,,86,53.48837209302325,1.1288029136041429,3.468866555644155,7.55008952833466,35,28.57142857142857,-1.9916165294244512,-2.8712002372512484,0.12645907161962366
LB12_PROTO168_Q875,12,168,0.875,-0.09233624796642309,False,,72,54.166666666666664,1.3769013987352776,4.141156810386422,9.13346018675272,32,28.125,-2.300291490002392,-3.426836459600278,-0.11053444078356778
LB12_PROTO168_Q900,12,168,0.9,0.09555652248218685,False,,58,58.620689655172406,1.6911368192694491,4.506106459515612,8.30115005677289,25,28.000000000000004,-2.3502871607088167,-3.8121757644178955,-0.21054481468162312
LB12_PROTO168_Q925,12,168,0.925,0.16132149151421302,False,,43,65.11627906976744,2.236116529452888,5.316747746667194,11.255827460774052,23,30.434782608695656,-2.335240177565011,-3.80035635930804,0.18091498677704257
LB12_PROTO168_Q950,12,168,0.95,0.3219634294826577,True,168,29,68.96551724137932,2.8744408766889,5.945308229262586,13.106901845001401,16,37.5,-1.8922933764740986,-1.7602556213626515,1.2937697738302107
LB12_PROTO168_Q965,12,168,0.965,0.4621806101605904,False,,20,65.0,3.244030084404492,6.67470146797047,14.117366427896178,12,33.33333333333333,-2.4173075221174267,-3.234971098287739,0.7982796114356057
LB24_PROTO12_Q700,24,12,0.7,-0.3075401020643485,False,,172,43.604651162790695,-0.19264786025298786,1.187408972454417,5.03218329156139,70,21.428571428571427,-1.1419624459136384,-0.9550367748016746,-3.937528673884108
LB24_PROTO12_Q750,24,12,0.75,-0.18606846317599413,False,,143,44.05594405594406,-0.26655280115779123,1.4629219137526228,6.105478140683114,52,19.230769230769234,-1.3395198900032244,-1.7647926317033689,-2.8457194400232697
LB24_PROTO12_Q800,24,12,0.8,-0.09487810567490156,False,,115,43.47826086956522,-0.31919197335481536,1.5950970072188901,7.321657725786533,34,8.823529411764707,-1.8146378806451207,-3.713002275647461,-1.848791381362471
LB24_PROTO12_Q850,24,12,0.85,0.05379262824823972,False,,86,41.86046511627907,-0.38594934401996356,2.194186577178443,8.903838555705049,22,9.090909090909092,-1.961025641508886,-2.765770036425444,-0.7093151102856008
LB24_PROTO12_Q875,24,12,0.875,0.19236251427057519,False,,72,40.27777777777778,-0.5008755747718266,2.6286624444415883,10.556215889130616,15,0.0,-2.4005628124483107,-1.2380789569071493,1.37990042276464
LB24_PROTO12_Q900,24,12,0.9,0.28598791396412365,False,,58,43.103448275862064,-0.4340416033317085,2.938313823215601,8.82612648078015,11,0.0,-2.3359624046318785,-0.5332209915248887,4.110002752049982
LB24_PROTO12_Q925,24,12,0.925,0.4078565134001555,False,,43,46.51162790697674,-0.1823689457988594,2.3375955227065637,9.936837478136127,8,0.0,-2.0055684795656434,1.1135509249903595,7.707928411452787
LB24_PROTO24_Q700,24,24,0.7,-0.5019455699256087,False,,172,43.02325581395349,-0.30080005445942604,0.9898116337363203,4.673138277487746,64,18.75,-1.6745057434325337,-1.7835067038298762,-3.695338274003037
LB24_PROTO24_Q750,24,24,0.75,-0.43001777565649124,False,,143,41.95804195804196,-0.40534783250084294,0.9943840582316706,5.793536419722036,54,18.51851851851852,-1.6503775397506422,-2.296387849141699,-4.112192325994339
LB24_PROTO24_Q800,24,24,0.8,-0.3077424549128586,False,,115,42.608695652173914,-0.3712676719949374,1.4536014133744906,7.570280139672721,34,14.705882352941178,-1.7546617248847516,-2.781928188212303,-1.6528772852346512
LB24_PROTO24_Q850,24,24,0.85,-0.15088823929534398,False,,86,41.86046511627907,-0.2675950640749484,2.2682260711527777,9.686749489991946,24,8.333333333333332,-1.8809001932515323,-2.0264085350189966,-1.1686176718191703
LB24_PROTO24_Q875,24,24,0.875,0.00024163050151215781,False,,72,41.66666666666667,-0.4332847163713453,2.631661111202937,9.046237138013629,13,0.0,-2.314783468492804,-0.7120988879511742,2.781456788984319
LB24_PROTO48_Q700,24,48,0.7,-0.3884693354854652,False,,172,41.86046511627907,-0.37870332657598466,0.962859792060173,4.726290798243545,60,21.666666666666668,-1.3844880324767828,-1.9795927719575512,-2.830213734786493
