policy,stable_dev,score,disc_mean,disc_win,disc_pf,cal_mean,cal_win,cal_pf
be_act1p5_stop0p5_tp2p0,False,-0.6284044757243477,-0.3201428558980394,84.22165820642978,0.7116725825437392,-0.5643830835324238,82.44234800838575,0.5731907187205082
be_act1p5_stop0p25_tp3p0,False,-0.630835420315467,-0.23902221189215184,84.22165820642978,0.7847315478078445,-0.5665663652518148,82.44234800838575,0.5715396329089854
be_act1p5_stop0p5_tp3p0,False,-0.6315320380168811,-0.29627594725678263,84.22165820642978,0.7331676245364607,-0.5671920120470801,82.44234800838575,0.5710664935346605
be_act1p5_stop0p5_tp4p0,False,-0.6371844490149967,-0.2887762216843928,84.22165820642978,0.739922035781566,-0.5722685595125193,82.44234800838575,0.5672274033168176
progress_3h_mfe1p0_exit24h,False,-0.6373774307015816,-0.09331384256745363,33.544839255499156,0.9275369188297675,-0.5827340882787475,27.30607966457023,0.6357110505144395
be_act1p5_stop0p25_tp4p0,False,-0.6375398560428467,-0.24077446397876695,84.22165820642978,0.7831534325709797,-0.5725877579301561,82.44234800838575,0.5669860125820627
progress_6h_mfe1p0_exit48h,False,-0.6423745257830155,0.286456868881663,36.33671742808799,1.1526766354861002,-0.6024716489692084,30.712788259958074,0.7339808212412862
be_act0p75_stop0p5_tp3p0,False,-0.6478949239423236,-0.27135848735797596,91.53976311336717,0.5681001398332106,-0.5550644119165944,89.46540880503144,0.3811299198284718
trail_atr2p5_act1p0,False,-0.6498011763643752,-0.3110089806578696,53.68020304568528,0.7084332075576804,-0.5830647802690357,48.480083857442345,0.5550906926977371
be_act0p75_stop0p5_tp2p0,False,-0.6546243110044606,-0.2826050084107568,91.53976311336717,0.5501999410321645,-0.56082961107802,89.46540880503144,0.3747020004903961
be_act1p5_stop0p5_tp5p0,False,-0.6553532956967761,-0.2560054437292552,84.22165820642978,0.7694360905285712,-0.5885863772726025,82.44234800838575,0.5548872105055093
trail_atr1p0_act0p5,False,-0.6555072702138977,-0.3052630596787934,53.51099830795262,0.48256346365052216,-0.5575050626145996,48.42767295597484,0.3466519493380134
be_act1p5_stop0p5_tp6p0,False,-0.6561883826049751,-0.2523108691684756,84.22165820642978,0.7727635024076245,-0.5893363861323002,82.44234800838575,0.5543200235155002
be_act0p75_stop0p5_tp4p0,False,-0.6580965170890665,-0.27189817556799734,91.53976311336717,0.5672411607582928,-0.5638043187924712,89.46540880503144,0.37138534468936474
be_act1p5_stop0p0_tp5p0,False,-0.6632741740159992,-0.20895192476111002,22.54653130287648,0.8306291981390719,-0.6010556831212756,19.07756813417191,0.5852100607018421
bar_sl3p0_tp3p0_72h,False,-0.6651332989420472,-0.11256885044604721,51.438240270727576,0.9260017308915949,-0.614009816313687,43.291404612159326,0.6591767824775989
be_act0p75_stop0p5_tp5p0,False,-0.6653532855824054,-0.26391718825893096,91.53976311336717,0.5799438675589517,-0.5700213360699959,89.46540880503144,0.36445366991727063
be_act0p75_stop0p5_tp6p0,False,-0.6681062166532795,-0.2575537221741944,91.53976311336717,0.5900720936517959,-0.5723798266360337,89.46540880503144,0.36182406655169425
trail_atr3p0_act0p5,False,-0.6681702667589763,-0.35487755590508646,38.62098138747885,0.6661344640379243,-0.6007501923801943,34.74842767295597,0.5505328374747872
progress_6h_mfe1p0_exit24h,False,-0.6707504256081649,-0.09402223899507675,37.60575296108291,0.9375977858704295,-0.6216698126856607,30.50314465408805,0.6727959138499722
bar_sl3p0_tp4p0_72h,False,-0.6734742204710755,-0.047259370195502984,45.431472081218274,0.9722240309386645,-0.6262350653811297,37.21174004192872,0.6850722994003615
be_act1p5_stop0p25_tp5p0,False,-0.6752099163230688,-0.19564965444048313,84.22165820642978,0.8237937890795838,-0.6064200197919096,82.44234800838575,0.5414006897922718
be_act1p5_stop0p25_tp6p0,False,-0.6785013223490572,-0.20431657387844032,84.22165820642978,0.8159881783879508,-0.6093760997592957,82.44234800838575,0.5391651827349234
bar_sl2p5_tp5p0_72h,False,-0.6795575451073129,-0.027266790032179154,36.632825719120135,0.9837591629512248,-0.6301183731421806,28.511530398322847,0.6704055202324507
progress_12h_mfe1p0_exit48h,False,-0.681000886463651,0.3137678320553806,40.39763113367174,1.148010947206596,-0.6435072392833225,35.744234800838576,0.7500423521311441
progress_6h_mfe0p5_exit48h,False,-0.6819755833042709,0.3639964256471597,41.20135363790186,1.1724780114825821,-0.6453241655833729,35.42976939203354,0.7556572151940133
trail_atr1p5_act1p0,False,-0.6841685614438036,-0.3287872993469036,68.10490693739425,0.6274856181968118,-0.6039248622370988,64.57023060796647,0.46504200528863554
trail_atr2p0_act1p0,False,-0.6855457347313819,-0.33514357788005367,60.32148900169205,0.6540428609688215,-0.61003314878174,54.40251572327044,0.49658276033572024
bar_sl2p5_tp8p0_72h,False,-0.686031436695317,-0.021408263327094244,29.483925549915398,0.988524466504393,-0.6396684396182508,22.431865828092242,0.6909133528195592
progress_12h_mfe1p0_exit24h,False,-0.6868354152792583,-0.08076736693864273,41.75126903553299,0.9516859001155452,-0.6410234869861254,36.21593291404612,0.6945871447124474
fixed_48h,False,-0.6883130594677422,0.4733090234997079,48.73096446700508,1.2000850254562467,-0.6558633454998547,44.54926624737946,0.783668573547416
be_act1p0_stop0p5_tp3p0,False,-0.6922850114298745,-0.3323763506062854,89.00169204737732,0.5831773880614592,-0.604781418646757,86.79245283018868,0.4166427147792166
progress_12h_mfe0p25_exit48h,False,-0.694485548798464,0.42057846168906604,46.53130287648054,1.1816423678524,-0.6604729916100853,41.299790356394126,0.7732496187441417
be_act1p5_stop0p0_tp6p0,False,-0.6947612214936377,-0.22803744475006235,19.120135363790187,0.8161800522768788,-0.629835932848261,16.037735849056602,0.5671647423641549
progress_3h_mfe0p25_exit48h,False,-0.69497942499372,0.362144345201751,42.2165820642978,1.1675143262004075,-0.6583209929730601,36.84486373165618,0.7556104531956005
progress_3h_mfe0p5_exit24h,False,-0.6951756869663508,-0.06955397346883624,36.25211505922166,0.9537698825307079,-0.6441152823507008,30.660377358490564,0.6595973025623334
be_act1p0_stop0p5_tp2p0,False,-0.6976060515801525,-0.34640983208665843,89.00169204737732,0.5655784451927196,-0.609429888796522,86.79245283018868,0.41215891477579647
bar_sl2p5_tp6p0_72h,False,-0.704399764524089,-0.03607422826604868,33.24873096446701,0.9795872208676624,-0.6549243585131594,25.57651991614256,0.6701639599271364
be_act1p0_stop0p5_tp4p0,False,-0.7049527070088353,-0.326651967205839,89.00169204737732,0.5903561552522035,-0.6158479400602503,86.79245283018868,0.40596822034276675
progress_12h_mfe0p5_exit24h,False,-0.7052347268366475,-0.083862961906234,43.73942470389171,0.9518121765229824,-0.6597641372235195,38.41719077568134,0.6968627359124802
be_act1p0_stop0p0_tp2p0,False,-0.7088990687773785,-0.3108976310453064,33.33333333333333,0.6578811182022541,-0.6272042155275979,29.350104821802937,0.4553676450014622
