policy,type,train_score,DISCOVERY_n,DISCOVERY_mean,DISCOVERY_median,DISCOVERY_win,DISCOVERY_pf,DISCOVERY_q10,DISCOVERY_q25,CALIBRATION_n,CALIBRATION_mean,CALIBRATION_median,CALIBRATION_win,CALIBRATION_pf,CALIBRATION_q10,CALIBRATION_q25,CROSS_HOLDOUT_PRE2026_n,CROSS_HOLDOUT_PRE2026_mean,CROSS_HOLDOUT_PRE2026_median,CROSS_HOLDOUT_PRE2026_win,CROSS_HOLDOUT_PRE2026_pf,CROSS_HOLDOUT_PRE2026_q10,CROSS_HOLDOUT_PRE2026_q25,FINAL_HOLDOUT_2026_n,FINAL_HOLDOUT_2026_mean,FINAL_HOLDOUT_2026_median,FINAL_HOLDOUT_2026_win,FINAL_HOLDOUT_2026_pf,FINAL_HOLDOUT_2026_q10,FINAL_HOLDOUT_2026_q25
TP7_SL5_24H,tpsl,4.479301962072922,27,3.5309930486015566,4.698074745186864,88.88888888888889,10.352040892915639,0.19347319347319514,2.431192062185261,48,2.1705827209374244,3.401543631208659,72.91666666666666,2.664344578354574,-5.2,-1.45,40,2.2346630300631207,3.2978671725838016,75.0,3.073431575398998,-5.2,0.286317784735385,36,4.143362267130857,3.3642843211877382,97.22222222222221,261.0603330792354,1.4663721437681578,2.9431077789480065
TP5_SL3_72H,tpsl,4.458333333333334,27,3.689307386482527,4.8,85.18518518518519,10.232928361960612,-1.9932203389830536,4.8,48,1.9666666666666668,4.8,64.58333333333334,2.7352941176470593,-3.2,-3.2,40,1.0,4.8,52.5,1.6578947368421046,-3.2,-3.2,36,3.6183760683760675,4.8,86.11111111111111,9.141346153846154,-3.2,4.8
TP7_SL5_72H,tpsl,4.375,27,2.7732267282751155,6.8,62.96296296296296,2.8386991470635663,-5.2,-3.980081925243215,48,1.55,6.8,56.25,1.6813186813186813,-5.2,-5.2,40,1.8412906581008337,6.8,57.49999999999999,1.8900673578485645,-5.2,-5.2,36,4.301593098542564,6.8,80.55555555555556,6.609016615467547,-4.320370370370361,2.4091297287544498
TP7_SL3_48H,tpsl,4.290901240255269,27,2.6535920023284194,3.1546325878594184,70.37037037037037,3.7987103149557546,-3.2,-3.2,48,2.3355764266237475,5.516150576806308,58.333333333333336,2.7516823199678107,-3.2,-3.2,40,1.2825141215270222,-1.0130081300812996,47.5,1.8165497020954688,-3.2,-3.2,36,3.9392915184124586,6.8,77.77777777777779,6.53962869776752,-3.2,2.7853280234751643
TRAIL_A3_T2_48H,trail,4.227444447785675,27,2.132871249818404,1.460700389105041,100.0,,0.8905221018383538,1.1641429586383703,48,1.9456026838427476,1.9523141785539269,95.83333333333334,11.189743955851242,0.8924999687550852,1.2591740398248288,40,1.6344821678055674,1.824548452006958,87.5,3.488690621895523,-0.36260162601625934,1.0249581413665112,36,3.858784032360525,2.654535492621224,100.0,,0.9327242905096014,1.0939306512795846
TP7_SL3_24H,tpsl,4.046304038976601,27,3.6573784991460285,4.698074745186864,88.88888888888889,15.560876866573329,0.19347319347319514,2.431192062185261,48,2.030888640252184,2.8949949282309984,64.58333333333334,2.7919605649283974,-3.2,-3.2,40,1.9507461406400473,2.8103675611420353,67.5,2.957745902526174,-3.2,-3.2,36,3.9035301677252545,3.3642843211877382,94.44444444444444,22.957357193454552,1.234764800221533,2.9431077789480065
TP5_SL2_24H,tpsl,3.962966878278671,27,1.8709627822439274,3.3309793471019367,62.96296296296296,3.296181596390275,-2.2,-2.2,48,2.1624603930064543,4.8,66.66666666666666,3.948809626826982,-2.2,-2.2,40,0.880396182067608,-2.2,47.5,1.7622477766819111,-2.2,-2.2,36,2.504356890354129,4.8,72.22222222222221,5.098038547852211,-2.2,-2.2
TP5_SL2_48H,tpsl,3.875,27,1.6888888888888884,4.8,55.55555555555556,2.727272727272727,-2.2,-2.2,48,1.5916666666666668,4.8,54.166666666666664,2.5785123966942134,-2.2,-2.2,40,0.8679603489376764,-2.2,45.0,1.722908470472197,-2.2,-2.2,36,2.0777777777777775,4.8,61.111111111111114,3.4285714285714284,-2.2,-2.2
TP5_SL2_72H,tpsl,3.875,27,1.6888888888888884,4.8,55.55555555555556,2.727272727272727,-2.2,-2.2,48,1.5916666666666668,4.8,54.166666666666664,2.5785123966942134,-2.2,-2.2,40,0.7749999999999999,-2.2,42.5,1.6126482213438726,-2.2,-2.2,36,2.0777777777777775,4.8,61.111111111111114,3.4285714285714284,-2.2,-2.2
TRAIL_A3_T2_24H,trail,3.655623974611539,27,1.8833106973668432,1.4550116550116734,96.29629629629629,13.05688240503654,0.7826662492732785,1.0181545861496113,48,1.5418710608586206,1.5558174298553997,87.5,7.416926149304769,-0.4500000000000023,0.940814685919539,40,1.50589844066652,1.5685910291208585,87.5,4.651958532549165,-0.09202310301221397,0.8557249485408704,36,3.858784032360525,2.654535492621224,100.0,,0.9327242905096014,1.0939306512795846
TP3_SL3_24H,tpsl,3.5,27,2.3596677721700496,2.8,92.5925925925926,18.78734335874377,1.5779687052513804,2.8,48,1.3,2.8,75.0,2.624999999999999,-3.2,1.2999999999999998,40,0.9520568004724164,2.8,72.5,2.0818827278095635,-3.2,-3.2,36,2.633333333333333,2.8,97.22222222222221,30.624999999999993,2.8,2.8
