event_id,symbol,decision_time,hash_mod,champion_return,baseline_return,delta,state,year
65,ONTUSDT,2025-02-25 15:45:00+00:00,32,2.1679417122040023,2.1679417122040023,0.0,DIP,2025
66,PENGUUSDT,2025-02-25 15:45:00+00:00,39,4.660937108494134,4.660937108494134,0.0,DIP,2025
67,PHAUSDT,2025-02-25 15:45:00+00:00,30,3.521910112359561,3.521910112359561,0.0,DIP,2025
68,PIXELUSDT,2025-02-25 15:45:00+00:00,76,3.9984732824427383,3.9984732824427383,0.0,DIP,2025
69,QUICKUSDT,2025-02-25 15:45:00+00:00,5,5.143511450381677,5.143511450381677,0.0,DIP,2025
70,RAREUSDT,2025-02-25 15:45:00+00:00,90,3.3234899328858925,3.3234899328858925,0.0,DIP,2025
71,ROSEUSDT,2025-02-25 15:45:00+00:00,81,6.114363143631429,6.114363143631429,0.0,DIP,2025
72,SHIBUSDT,2025-02-25 15:45:00+00:00,63,3.5708484408992103,3.5708484408992103,0.0,NO_DIP_CASH,2025
73,SOLUSDT,2025-02-25 15:45:00+00:00,46,0.07359781121751857,0.07359781121751857,0.0,NO_DIP_CASH,2025
74,STXUSDT,2025-02-25 15:45:00+00:00,12,6.609078771695609,6.609078771695609,0.0,DIP,2025
75,THETAUSDT,2025-02-25 15:45:00+00:00,26,5.938790035587194,5.938790035587194,0.0,DIP,2025
76,UMAUSDT,2025-02-25 15:45:00+00:00,1,3.11262939958592,3.11262939958592,0.0,NO_DIP_CASH,2025
77,UNIUSDT,2025-02-25 15:45:00+00:00,65,3.8061436068091536,3.8061436068091536,0.0,NO_DIP_CASH,2025
78,WLDUSDT,2025-02-25 15:45:00+00:00,42,3.4448598130841113,3.4448598130841113,0.0,NO_DIP_CASH,2025
79,WOOUSDT,2025-02-25 15:45:00+00:00,79,4.7302325581395355,4.7302325581395355,0.0,DIP,2025
80,YGGUSDT,2025-02-25 15:45:00+00:00,23,3.3892776010904235,3.3892776010904235,0.0,NO_DIP_CASH,2025
81,FIDAUSDT,2025-03-04 14:15:00+00:00,58,5.5420494699646605,5.5420494699646605,0.0,NO_DIP_CASH,2025
82,PHAUSDT,2025-03-04 14:15:00+00:00,30,4.519999999999991,4.519999999999991,0.0,DIP,2025
83,WAXPUSDT,2025-03-04 14:15:00+00:00,90,5.046793626117374,5.046793626117374,0.0,DIP,2025
84,XECUSDT,2025-03-04 14:15:00+00:00,65,10.996540124939937,10.996540124939937,0.0,DIP,2025
85,AIXBTUSDT,2025-03-06 14:15:00+00:00,27,-12.229081295439524,-12.229081295439524,0.0,DIP,2025
86,AIXBTUSDT,2025-03-07 18:15:00+00:00,27,-9.0150289017341,-9.0150289017341,0.0,NO_DIP_CASH,2025
87,COTIUSDT,2025-03-11 15:15:00+00:00,7,3.3405449502365903,3.3405449502365903,0.0,NO_DIP_CASH,2025
88,GMTUSDT,2025-03-11 15:15:00+00:00,67,2.9319910514541414,2.9319910514541414,0.0,NO_DIP_CASH,2025
89,HBARUSDT,2025-03-11 15:15:00+00:00,10,0.1904644471845353,0.1904644471845353,0.0,DIP,2025
90,MOVRUSDT,2025-03-11 15:15:00+00:00,3,2.68568257491677,2.68568257491677,0.0,NO_DIP_CASH,2025
91,PHAUSDT,2025-03-11 15:15:00+00:00,30,4.175569735642659,4.175569735642659,0.0,NO_DIP_CASH,2025
92,RSRUSDT,2025-03-11 15:15:00+00:00,71,7.403872529245681,7.403872529245681,0.0,NO_DIP_CASH,2025
93,SAGAUSDT,2025-03-11 15:15:00+00:00,41,0.4764705882352784,0.4764705882352784,0.0,NO_DIP_CASH,2025
94,SKLUSDT,2025-03-11 15:15:00+00:00,14,2.278017585931247,2.278017585931247,0.0,NO_DIP_CASH,2025
95,1INCHUSDT,2025-04-08 15:45:00+00:00,9,-1.3801242236024966,-1.3801242236024966,0.0,DIP,2025
96,ACHUSDT,2025-04-08 15:45:00+00:00,30,-2.4619673855865276,-2.4619673855865276,0.0,DIP,2025
97,AEVOUSDT,2025-04-08 15:45:00+00:00,19,-0.5588516746411474,-0.5588516746411474,0.0,DIP,2025
98,CELOUSDT,2025-04-08 15:45:00+00:00,42,0.38931860036832705,0.38931860036832705,0.0,DIP,2025
99,IOSTUSDT,2025-04-08 15:45:00+00:00,88,2.192947103274556,2.192947103274556,0.0,DIP,2025
100,LDOUSDT,2025-04-08 15:45:00+00:00,39,2.125581395348841,2.125581395348841,0.0,DIP,2025
101,MANAUSDT,2025-04-08 15:45:00+00:00,84,0.6941176470588231,0.6941176470588231,0.0,DIP,2025
102,RADUSDT,2025-04-08 15:45:00+00:00,42,-1.251051051051055,-1.251051051051055,0.0,DIP,2025
103,SLPUSDT,2025-04-08 15:45:00+00:00,54,-1.2393466963622977,-1.2393466963622977,0.0,DIP,2025
104,XVGUSDT,2025-04-08 15:45:00+00:00,79,0.8712372790573133,0.8712372790573133,0.0,DIP,2025
105,ZILUSDT,2025-04-08 15:45:00+00:00,17,0.10000000000001136,0.10000000000001136,0.0,DIP,2025
106,GPSUSDT,2025-04-25 03:15:00+00:00,96,10.226540284360187,10.226540284360187,0.0,NO_DIP_CASH,2025
107,PNUTUSDT,2025-07-12 05:30:00+00:00,60,-1.0333333333333414,-1.0333333333333414,0.0,DIP,2025
108,SKLUSDT,2025-07-12 05:30:00+00:00,14,-0.10229604298972444,-0.10229604298972444,0.0,NO_DIP_CASH,2025
109,PEPEUSDT,2025-11-15 21:15:00+00:00,60,-5.389620758483038,-5.389620758483038,0.0,DIP,2025
110,APTUSDT,2025-11-22 09:45:00+00:00,26,0.39957173447537925,0.39957173447537925,0.0,DIP,2025
111,DOGEUSDT,2025-11-22 09:45:00+00:00,0,3.733072577140395,3.733072577140395,0.0,DIP,2025
112,PEPEUSDT,2025-11-22 09:45:00+00:00,60,3.2739454094292686,3.2739454094292686,0.0,NO_DIP_CASH,2025
113,STRAXUSDT,2025-11-22 09:45:00+00:00,80,22.188059701492513,22.188059701492513,0.0,DIP,2025
114,MITOUSDT,2025-11-23 18:15:00+00:00,58,10.642218761231593,10.642218761231593,0.0,NO_DIP_CASH,2025
115,ADAUSDT,2026-02-02 04:00:00+00:00,59,5.9990789939780464,5.9990789939780464,0.0,DIP,2026
116,ALLOUSDT,2026-02-02 04:00:00+00:00,39,-2.639024390243905,-2.639024390243905,0.0,DIP,2026
117,ARBUSDT,2026-02-02 04:00:00+00:00,14,2.807518796992481,2.807518796992481,0.0,DIP,2026
118,BANANAS31USDT,2026-02-02 04:00:00+00:00,16,4.112056737588654,4.112056737588654,0.0,DIP,2026
119,BNBUSDT,2026-02-02 04:00:00+00:00,84,3.9184058477331973,3.9184058477331973,0.0,DIP,2026
120,CFXUSDT,2026-02-02 04:00:00+00:00,2,3.5037037037036978,3.5037037037036978,0.0,DIP,2026
