rule,parts,train_n,cal_n,train_net,cal_net,train_win,cal_win,train_h1,cal_h1,train_exc,cal_exc,conservative_net,score
H1_NET_NEG & BTC4_NET_POS & LEAD_RSI,3,1534,925,-0.1328107316031832,-0.2778191085750172,42.3728813559322,44.0,70.20860495436767,67.45945945945945,0.45704058819299637,-0.04909675216009637,-0.2778191085750172,-0.2783100760966181
LEAD_RSI & H4_FAMILIES_4P,2,1924,1115,-0.14097038497186684,-0.27851718971099426,41.37214137214137,43.49775784753363,71.4137214137214,69.68609865470852,0.40915542366132307,0.01305105472884622,-0.27851718971099426,-0.2783866791637058
M15_RISING & LEAD_RSI & H4_FAMILIES_4P,3,1924,1115,-0.14097038497186684,-0.27851718971099426,41.37214137214137,43.49775784753363,71.4137214137214,69.68609865470852,0.40915542366132307,0.01305105472884622,-0.27851718971099426,-0.2783866791637058
LEAD_RSI & H4_FAMILIES_3P & H4_FAMILIES_4P,3,1924,1115,-0.14097038497186684,-0.27851718971099426,41.37214137214137,43.49775784753363,71.4137214137214,69.68609865470852,0.40915542366132307,0.01305105472884622,-0.27851718971099426,-0.2783866791637058
H1_NET_NONPOS & H1_RISE_NEG & LEAD_FAMILIES_2P,3,1557,901,-0.08830626298512116,-0.27832926188620233,43.22414900449583,42.95227524972253,71.48362235067437,69.25638179800222,0.5033194443894677,-0.006657868501446734,-0.27832926188620233,-0.2783958405712168
H1_NET_NEG & LEAD_OBV & LEAD_GAP6,3,1551,885,-0.12095011489273515,-0.277992080542632,41.843971631205676,43.84180790960452,68.66537717601547,67.68361581920904,0.3821525790430117,-0.04217495409787465,-0.277992080542632,-0.27841383008361076
H1_NET_NEG & H4_NET_POS & H4_FAMILIES_3P,3,1694,971,-0.09217803056371406,-0.27812610825678535,42.03069657615112,43.46035015447992,69.2443919716647,66.52935118434603,0.49135692603513303,-0.029054065010360883,-0.27812610825678535,-0.27841664890688894
M15_RECLAIM_HIGH & STOCH_M0PP & LEAD_FAMILIES_2P,3,843,520,-0.2721672889236043,-0.2784326872104968,41.755634638196916,45.19230769230769,71.41162514827995,70.1923076923077,0.23669767819204732,-0.001969450312935737,-0.2784326872104968,-0.27845238171362613
H1_NET_NEG & H4_FAMILIES_3P & LEAD_GAP4,3,1731,996,-0.0923367223088274,-0.27828413588549733,42.17215482380127,43.77510040160642,69.03523974581167,66.76706827309236,0.46793782694647307,-0.029082827443950035,-0.27828413588549733,-0.2785749641599368
M15_HL_HH & LEAD_WPR & LEAD_GAP4,3,1220,714,-0.0024612070999531,-0.27852522897473664,44.42622950819673,44.25770308123249,71.88524590163935,68.90756302521008,0.5247712809285051,-0.00508973765221486,-0.27852522897473664,-0.2785761263512588
H1_NET_NONPOS & H4_NET_POS,2,1913,1091,-0.07722309291051113,-0.2783690452063212,42.70778881338212,43.07974335472044,70.36069001568217,67.55270394133822,0.49093600892218275,-0.02270772594287466,-0.2783690452063212,-0.27859612246574994
M15_RISING & H1_NET_NONPOS & H4_NET_POS,3,1913,1091,-0.07722309291051113,-0.2783690452063212,42.70778881338212,43.07974335472044,70.36069001568217,67.55270394133822,0.49093600892218275,-0.02270772594287466,-0.2783690452063212,-0.27859612246574994
H1_BODY_NEG & LEAD_STOCH & LEAD_FAMILIES_3P,3,1427,845,-0.13210250625238734,-0.2783134370623152,41.48563419761738,43.07692307692308,67.2740014015417,66.03550295857988,0.38840254295142174,-0.03138085615660918,-0.2783134370623152,-0.2786272456238813
STOCH_M0PP & LEAD_FAMILIES_2P,2,1260,746,-0.2507583570245345,-0.2780453277812147,42.06349206349206,44.90616621983914,70.55555555555556,67.69436997319035,0.29940641824601044,-0.05909586533180872,-0.2780453277812147,-0.2786362864345328
M15_RISING & STOCH_M0PP & LEAD_FAMILIES_2P,3,1260,746,-0.2507583570245345,-0.2780453277812147,42.06349206349206,44.90616621983914,70.55555555555556,67.69436997319035,0.29940641824601044,-0.05909586533180872,-0.2780453277812147,-0.2786362864345328
M15_POS5 & H4_PRICE1_POS & LEAD_GAP4,3,1600,893,-0.2787144404039045,-0.2761581071534521,41.5625,43.11310190369541,72.875,70.54871220604704,0.31191038432954554,0.0004437092304147011,-0.2787144404039045,-0.27871000331160034
H1_BODY_NEG & BTC4_FAMILIES_4P & LEAD_GAP4,3,1741,1056,-0.15512285035081835,-0.27813739453804776,43.07869040781161,43.371212121212125,71.62550258472142,68.4659090909091,0.404929316789274,-0.06527077753769427,-0.27813739453804776,-0.2787901023134247
H1_NET_NONPOS & BTC4_PRICE1_POS & LEAD_KDJ,3,1733,1004,-0.153859298898428,-0.27845436020546693,42.64281592613964,42.52988047808765,69.59030582804385,67.82868525896414,0.4194631663175714,-0.03863091213604468,-0.27845436020546693,-0.2788406693268274
M15_POS5 & LEAD_FAMILIES_2P & LEAD_GAP4,3,1674,936,-0.278870614262289,-0.2615569571156455,41.51732377538829,44.01709401709402,72.58064516129032,71.36752136752136,0.2911130406569008,0.0009647135981753319,-0.278870614262289,-0.27886096712630726
H1_NET_NEG & H4_NET_POS & LEAD_GAP4,3,1700,975,-0.1056633535821519,-0.27854596721809205,42.05882352941177,43.58974358974359,69.41176470588235,66.56410256410257,0.47315201932070455,-0.03217315633913131,-0.27854596721809205,-0.2788676987814834
H1_BODY_NEG & BTC4_FAMILIES_3P & H4_FAMILIES_4P,3,1833,1075,-0.12310729641484501,-0.27888211102408605,42.11674849972722,42.7906976744186,71.7948717948718,69.5813953488372,0.42668752926676384,-0.0026567915709889284,-0.27888211102408605,-0.27890867893979593
M15_HL_HH & LEAD_FAMILIES_4P & LEAD_GAP4,3,1238,700,0.07845892829234305,-0.2787231097242812,44.18416801292407,44.57142857142857,71.24394184168013,68.28571428571428,0.5704612538347519,-0.024304890920884604,-0.2787231097242812,-0.27896615863349006
H1_NET_NONPOS & H4_NET_POS & BTC4_FAMILIES_4P,3,1757,1063,-0.12401751332813878,-0.2785210670918345,42.62948207171315,42.89746001881468,71.08708025042687,67.45061147695203,0.49479869761268314,-0.04786474697792917,-0.2785210670918345,-0.27899971456161377
