type,family,name,feature,side,quantile,threshold,disc_n,cal_n,disc_keep,cal_keep,disc_net24_imp,cal_net24_imp,disc_net12_imp,cal_net12_imp,disc_success_imp,cal_success_imp,disc_danger_imp,cal_danger_imp,score,stable_train_cal
single,BB,m15_bb_width GE DQ35(0.022095776),m15_bb_width,GE,0.35,0.02209577563322372,101,93,0.6516129032258065,0.808695652173913,0.3995492725197618,0.6658634380442013,0.1386826050514547,0.032685952820255965,0.2618971574576747,4.815334268349702,0.6068348770360856,4.815334268349702,0.43098296827130333,True
single,PULLBACK,causal_dd_high_8h LE DQ60(-1.462766),causal_dd_high_8h,LE,0.6,-1.4627660293069704,93,92,0.6,0.8,0.6461892606981015,0.35790331356985317,0.5628733948130278,0.07573906922311,0.6451612903225694,3.260869565217398,1.0752688172042966,3.260869565217398,0.4252722028517047,True
single,PULLBACK,causal_dd_high_12h LE DQ60(-1.6097588),causal_dd_high_12h,LE,0.6,-1.6097588141187893,93,90,0.6,0.782608695652174,0.2750992348342951,0.478696950477529,0.44978786070956045,0.03767419690596113,1.720430107526866,3.381642512077299,2.1505376344086002,3.381642512077299,0.3829088596653595,True
single,PULLBACK,causal_dd_high_1h LE DQ60(-0.19034576),causal_dd_high_1h,LE,0.6,-0.1903457641162643,93,90,0.6,0.782608695652174,0.40753606920144136,0.5517571539075413,0.1885030370434979,0.26585805591951417,2.7956989247311768,-2.173913043478258,2.1505376344086002,-2.173913043478258,0.3648164799927528,True
single,PULLBACK,causal_dd_high_4h LE DQ60(-1.3174799),causal_dd_high_4h,LE,0.6,-1.317479939609374,93,91,0.6,0.7913043478260869,0.4681814419049486,0.33731589007816287,0.47427931619809316,0.09022506691274532,-0.43010752688173426,1.6722408026755886,0.0,1.6722408026755886,0.3559914376911717,True
single,BB,h1_bb_width GE DQ35(0.049590362),h1_bb_width,GE,0.35,0.04959036191476127,101,77,0.6516129032258065,0.6695652173913044,0.23926401733189584,0.642715780107855,0.2408694215929803,0.507743964162683,0.2618971574576747,15.358554488989277,0.6068348770360856,15.358554488989277,0.3435619271538909,True
single,PULLBACK,causal_dd_high_4h LE DQ50(-1.578354),causal_dd_high_4h,LE,0.5,-1.5783540022547782,78,77,0.5032258064516129,0.6695652173913044,0.333187017098616,1.0251111321040054,0.32481604987493884,0.10934031625245275,-1.6294458229942137,7.56634669678148,-0.9925558312655127,7.56634669678148,0.3027216364718378,True
single,PULLBACK,causal_dd_high_48h LE DQ50(-3.9534063),causal_dd_high_48h,LE,0.5,-3.95340628309212,78,81,0.5032258064516129,0.7043478260869566,0.03139315950351418,0.7867823947810285,-0.01889286095507159,0.4812814285195659,3.4987593052109034,3.381642512077299,4.135649296939619,3.381642512077299,0.19386278377310406,True
single,PULLBACK,causal_dd_high_2h LE DQ50(-1.0724447),causal_dd_high_2h,LE,0.5,-1.0724447362661316,78,74,0.5032258064516129,0.6434782608695652,0.29725973746678047,0.8021493684602258,0.4604926377172547,-0.09944008615410771,-1.6294458229942137,3.2314923619271454,-2.27460711331679,3.2314923619271454,0.1680801903566806,True
single,PULLBACK,causal_dd_high_24h LE DQ50(-2.9282577),causal_dd_high_24h,LE,0.5,-2.9282576866764165,78,75,0.5032258064516129,0.6521739130434783,0.27915454753223923,1.217552892536121,0.03815759250704165,0.4230911235979361,-2.9114971050455054,5.159420289855078,-2.27460711331679,5.1594202898550705,0.15967264949200283,True
single,PULLBACK,causal_dd_high_4h LE DQ40(-1.8916997),causal_dd_high_4h,LE,0.4,-1.8916996500407368,62,60,0.4,0.5217391304347826,0.18187588808308508,0.4668631286582662,0.3369590926183632,-0.22142368790760017,0.6451612903225694,4.492753623188406,0.0,4.492753623188406,0.1237324360251021,False
single,PULLBACK,causal_dd_high_12h LE DQ50(-2.0231214),causal_dd_high_12h,LE,0.5,-2.023121387283233,78,78,0.5032258064516129,0.6782608695652174,0.133977626334425,0.6554544668133454,0.43724378502606,-0.22397049604882013,0.9346567411083484,2.954292084726873,1.5715467328370494,2.954292084726866,0.1150585896073294,False
single,PULLBACK,causal_dd_high_12h LE DQ40(-2.4231413),causal_dd_high_12h,LE,0.4,-2.4231413300300497,62,63,0.4,0.5478260869565217,0.10308665888337476,1.5597398939456193,0.34941840370809407,0.11325476870676068,-0.9677419354838861,8.143547273982058,0.0,8.143547273982058,0.11369356986622443,True
single,PULLBACK,causal_dd_high_8h LE DQ50(-1.806872),causal_dd_high_8h,LE,0.5,-1.8068720379146974,78,75,0.5032258064516129,0.6521739130434783,0.2129556647804387,-0.016492185293584427,0.5191547601597621,-0.10536746009963191,3.4987593052109034,2.492753623188406,2.853598014888334,2.4927536231884133,0.07126688483096486,False
single,PULLBACK,causal_dd_high_2h LE DQ60(-0.777547),causal_dd_high_2h,LE,0.6,-0.7775469989881193,93,93,0.6,0.808695652173913,0.09309658597974302,0.4621775615918434,0.37048244108250317,-0.08498821329849769,-0.43010752688173426,1.5895278167367906,-1.0752688172043037,1.5895278167367977,0.028942109174730727,True
single,BB,h4_bb_width GE DQ50(0.15432778),h4_bb_width,GE,0.5,0.1543277797075825,78,91,0.5032258064516129,0.7913043478260869,0.3897677346931374,0.10729286735684107,0.2621830599308148,-0.020208022892117566,-1.6294458229942137,0.5733397037744936,-2.27460711331679,0.5733397037744936,0.0058445423884377,True
single,PULLBACK,causal_dd_high_1h LE DQ50(-0.28109628),causal_dd_high_1h,LE,0.5,-0.28109627547434624,78,78,0.5032258064516129,0.6782608695652174,0.15236598953831182,0.52694234039843,0.0908518604349966,0.1343904636886016,0.9346567411083484,-4.738015607580827,0.2894954507857648,-4.738015607580827,-0.05273663968848073,True
single,BB,m15_bb_width GE DQ65(0.034330816),m15_bb_width,GE,0.65,0.03433081569907495,54,65,0.34838709677419355,0.5652173913043478,-0.0129336239233524,1.1426399673839502,0.24321625213724718,0.38584857496663283,-2.3416965352449353,7.826086956521742,-2.9868578255675047,7.826086956521742,-0.05779598824401403,False
single,PULLBACK,causal_dd_high_8h LE DQ25(-2.7871368),causal_dd_high_8h,LE,0.25,-2.78713676277611,39,38,0.25161290322580643,0.33043478260869563,0.21518706289929002,0.9561456371268277,0.5422316841761519,-0.21512146972199345,-5.4755996691480675,8.352402745995427,-6.120760959470637,8.352402745995427,-0.14678866076726244,False
single,PULLBACK,causal_dd_high_24h LE DQ40(-3.3432294),causal_dd_high_24h,LE,0.4,-3.343229377054484,62,69,0.4,0.6,-0.13360409585349164,1.0321021855593204,-0.20728095538736557,0.5973294026779287,-0.9677419354838861,7.246376811594203,0.0,7.246376811594203,-0.2351846883035862,False
single,PULLBACK,causal_dd_high_4h LE DQ25(-2.5333847),causal_dd_high_4h,LE,0.25,-2.533384698716723,39,43,0.25161290322580643,0.3739130434782609,-0.2429230989170008,1.1166872955318397,0.22175031380877974,-0.4330211229822276,-2.9114971050455054,3.6400404448938346,-3.556658395368075,3.6400404448938346,-0.5529585730195071,False
single,PULLBACK,causal_dd_high_1h LE DQ40(-0.40090296),causal_dd_high_1h,LE,0.4,-0.4009029626700711,62,53,0.4,0.4608695652173913,0.19671548881431455,0.5148530768737704,-0.006064050973233925,-0.6890405366471162,2.258064516129032,-10.664479081214104,1.6129032258064484,-10.664479081214104,-0.5776726530728813,False
single,PULLBACK,causal_dd_high_12h LE DQ25(-2.9479848),causal_dd_high_12h,LE,0.25,-2.9479848327319482,39,46,0.25161290322580643,0.4,-0.38785258878525153,1.766174548345416,0.05403817437266456,0.08434552880807047,-5.4755996691480675,6.5217391304347885,-3.556658395368075,6.5217391304347885,-0.6043403857366224,False
single,PULLBACK,causal_dd_high_1h LE DQ25(-0.5352981),causal_dd_high_1h,LE,0.25,-0.5352981010408098,39,41,0.25161290322580643,0.3565217391304348,1.0789973420427512,0.23442226289361068,0.19657000113282863,-1.0360535088016292,7.344913151364757,-18.027571580063622,6.699751861042174,-18.02757158006363,-1.0295750441901408,False
single,PULLBACK,causal_dd_high_2h LE DQ25(-1.9911832),causal_dd_high_2h,LE,0.25,-1.991183235369287,39,34,0.25161290322580643,0.2956521739130435,-0.045984269061774,0.623673991433943,0.1338092195988838,-1.4083421697254381,2.216708023159626,-10.997442455242968,1.5715467328370494,-10.997442455242968,-1.0887761512278258,False
single,PULLBACK,causal_dd_high_24h LE DQ25(-4.2725811),causal_dd_high_24h,LE,0.25,-4.272581146326293,39,58,0.25161290322580643,0.5043478260869565,-0.9611941181638582,1.53279949556994,-0.4916827246574442,0.9881354299926564,-2.9114971050455054,13.34332833583209,-0.9925558312655127,13.343328335832084,-1.2404791015706391,False
