type,family,name,disc_n,cal_n,disc_net24_imp,cal_net24_imp,disc_net12_imp,cal_net12_imp,disc_success_imp,cal_success_imp,disc_danger_imp,cal_danger_imp,score,stable_train_cal
pair,BB+PULLBACK,m15_bb_width GE DQ50(0.027786062) & causal_dd_high_8h LE DQ60(-1.462766),68,75,0.7588370820617305,1.194589885906824,0.4963943701374818,-0.10732141806501899,0.21821631878556502,9.15942028985507,1.0436432637571116,9.159420289855078,0.748693940577683,True
pair,BB+PULLBACK,h4_bb_width GE DQ50(0.15432778) & causal_dd_high_4h LE DQ50(-1.578354),60,67,0.6987494689718909,0.8164859826019247,0.5137931966537987,0.14619165545008497,-0.8602150537634472,7.527579493835169,-1.5053763440860237,7.5275794938351765,0.6940025698847968,True
pair,BB+PULLBACK,m15_bb_width GE DQ50(0.027786062) & causal_dd_high_4h LE DQ60(-1.3174799),69,74,0.7171996733975416,1.29485563422209,0.506543975094927,-0.031923786730570225,-0.5703599812996742,8.636897767332556,0.2337540906965856,8.636897767332556,0.6935906304167836,True
pair,BB+PULLBACK,m15_bb_width GE DQ35(0.022095776) & causal_dd_high_12h LE DQ60(-1.6097588),78,83,0.5499092472089253,0.7626860273700365,0.38793423849232544,-0.06074646969555067,2.216708023159626,5.6574122577265555,2.853598014888334,5.6574122577265555,0.6522211838080381,True
pair,BB+PULLBACK,m15_bb_width GE DQ50(0.027786062) & causal_dd_high_48h LE DQ60(-3.1058166),62,69,0.5279960647294475,1.9962119199055208,0.17129154891759923,0.5814332889654651,0.6451612903225694,8.695652173913054,1.6129032258064484,8.695652173913047,0.6395610100764133,True
pair,BB+PULLBACK,h1_bb_width GE DQ35(0.049590362) & causal_dd_high_2h LE DQ40(-1.3146106),52,46,0.46222787534555243,1.0568579332813623,0.3089944499339703,0.5997433126299523,1.5756823821339907,21.739130434782602,0.9305210918114142,21.739130434782613,0.6362568261226901,True
pair,BB+PULLBACK,m15_bb_width GE DQ35(0.022095776) & causal_dd_high_24h LE DQ60(-2.3674833),73,81,0.5590504209147857,1.2183615313602623,0.08912394836036364,0.3614360732087356,0.6009721608484213,7.085346215780994,1.3256738842244786,7.085346215781001,0.6347864453508552,True
pair,BB+PULLBACK,h1_bb_width GE DQ50(0.063900884) & causal_dd_high_48h LE DQ60(-3.1058166),60,49,0.4812911323436886,2.208910803706561,0.2615269749588147,2.0242188665072267,0.8064516129032242,27.417923691215613,1.8279569892473049,27.41792369121562,0.6335782617513166,True
pair,BB+PULLBACK,h4_bb_width GE DQ50(0.15432778) & causal_dd_high_24h LE DQ60(-2.3674833),61,77,0.4588620997046817,0.588496619417766,0.33627806375128233,0.29979025762699496,1.5441565309360001,3.6702428006775847,0.8989952406134307,3.6702428006775847,0.6280932906144786,True
pair,BB+PULLBACK,m15_bb_width GE DQ35(0.022095776) & causal_dd_high_48h LE DQ60(-3.1058166),75,76,0.41328976904673187,1.6087464537852076,0.2610368680727744,0.604744410037636,1.8064516129032242,5.720823798627009,2.494623655913969,5.720823798627009,0.6087386943775791,True
