rule_id,family,plan,DISCOVERY_n,DISCOVERY_mean,DISCOVERY_pf,DISCOVERY_target_first,DISCOVERY_stop_first,DISCOVERY_signals_per_day,CALIBRATION_n,CALIBRATION_mean,CALIBRATION_pf,CALIBRATION_target_first,CALIBRATION_stop_first,CALIBRATION_signals_per_day,CROSS_HOLDOUT_PRE2026_n,CROSS_HOLDOUT_PRE2026_mean,CROSS_HOLDOUT_PRE2026_pf,CROSS_HOLDOUT_PRE2026_target_first,CROSS_HOLDOUT_PRE2026_stop_first,CROSS_HOLDOUT_PRE2026_signals_per_day,FINAL_HOLDOUT_2026_n,FINAL_HOLDOUT_2026_mean,FINAL_HOLDOUT_2026_pf,FINAL_HOLDOUT_2026_target_first,FINAL_HOLDOUT_2026_stop_first,FINAL_HOLDOUT_2026_signals_per_day,ALL_2026_n,ALL_2026_mean,ALL_2026_pf,ALL_2026_target_first,ALL_2026_stop_first,ALL_2026_signals_per_day
LPR_038,LEADER_PULLBACK_RESUME,TP3_SL2,2602,-0.1551516051322067,0.8788034245428888,39.853958493466564,57.87855495772482,3.5595075239398084,1884,-0.21155788968358946,0.8372535784805076,38.48195329087049,58.54564755838641,5.161643835616438,2492,-0.1718463038315675,0.8670898940950873,39.807383627608345,58.50722311396469,2.2737226277372264,707,-0.21522735931212997,0.8334230709555523,37.9066478076379,57.991513437057996,2.7192307692307693,2313,-0.24038743545195124,0.8151865229239499,37.224383916990924,58.322524859489846,8.896153846153846
LPR_038,LEADER_PULLBACK_RESUME,TP4_SL2P5,2602,-0.08550764775922495,0.9448012036955757,37.39431206764028,56.341275941583405,3.5595075239398084,1884,-0.3255410168489829,0.8008111478878107,33.22717622080679,59.34182590233546,5.161643835616438,2492,-0.22485080937061747,0.8605606148045866,35.43338683788122,58.78812199036918,2.2737226277372264,707,-0.19697226783577865,0.8736684988854416,34.65346534653465,55.44554455445545,2.7192307692307693,2313,-0.23176206196135538,0.8529458025093934,34.06830955469088,56.54993514915694,8.896153846153846
LPR_038,LEADER_PULLBACK_RESUME,TP5_SL3,2602,-0.04861255936420779,0.9727248926007018,33.93543428132206,53.88162951575711,3.5595075239398084,1884,-0.3677314038669167,0.8051731951616493,29.67091295116773,57.16560509554141,5.161643835616438,2492,-0.2504240090714007,0.8660709676185602,31.741573033707866,56.581059390048146,2.2737226277372264,707,-0.169581504044514,0.9038349048920983,30.55162659123055,51.626591230551625,2.7192307692307693,2313,-0.24060709589606205,0.8660371611442457,30.004323389537397,52.83182014699525,8.896153846153846
LPR_039,LEADER_PULLBACK_RESUME,TP3_SL2,556,-0.3163972939093399,0.767634195149827,37.23021582733813,61.87050359712231,0.7606019151846786,350,-0.2465359146315747,0.8158609259047142,38.857142857142854,60.857142857142854,0.958904109589041,510,-0.25723570599170625,0.8080445008794374,38.43137254901961,60.78431372549019,0.4653284671532847,164,-0.6622857102127777,0.5595504603613323,29.878048780487802,68.29268292682927,0.6307692307692307,545,-0.45213763994711403,0.6791239477888245,33.76146788990826,63.6697247706422,2.0961538461538463
LPR_039,LEADER_PULLBACK_RESUME,TP4_SL2P5,556,-0.4527719552975725,0.7383587094500279,33.093525179856115,63.84892086330935,0.7606019151846786,350,-0.3867685242483582,0.7748557823935521,34.57142857142857,62.857142857142854,0.958904109589041,510,-0.268184212204535,0.8392986710011023,36.470588235294116,61.1764705882353,0.4653284671532847,164,-0.4502311039904962,0.7344986012512493,32.31707317073171,61.58536585365854,0.6307692307692307,545,-0.38629253481961234,0.7702449141668651,33.39449541284404,61.46788990825688,2.0961538461538463
LPR_039,LEADER_PULLBACK_RESUME,TP5_SL3,556,-0.5283518109418935,0.7410698061492824,30.755395683453234,62.76978417266187,0.7606019151846786,350,-0.2842126407147804,0.8546658550679855,33.714285714285715,60.0,0.958904109589041,510,-0.33048052584008714,0.8339029420017542,33.72549019607843,60.98039215686275,0.4653284671532847,164,-0.5538116305824506,0.720962587638615,28.65853658536585,59.14634146341463,0.6307692307692307,545,-0.43430576353850153,0.7792468422544582,30.825688073394495,59.44954128440367,2.0961538461538463
LPR_040,LEADER_PULLBACK_RESUME,TP3_SL2,566,-0.30550688235617135,0.7748679534127254,37.455830388692576,61.660777385159015,0.774281805745554,356,-0.2513695789917167,0.812552220106722,38.764044943820224,60.95505617977528,0.9753424657534246,518,-0.2775872780999424,0.7942446683280803,38.030888030888036,61.196911196911195,0.4726277372262774,167,-0.6599692004484763,0.560896986155795,29.94011976047904,68.26347305389223,0.6423076923076924,554,-0.45345670355808154,0.678401372031555,33.754512635379065,63.718411552346566,2.1307692307692307
LPR_040,LEADER_PULLBACK_RESUME,TP4_SL2P5,566,-0.43505513629938225,0.7476161787063841,33.39222614840989,63.60424028268551,0.774281805745554,356,-0.38923871765990276,0.7736002693683848,34.55056179775281,62.92134831460674,0.9753424657534246,518,-0.2931929502399862,0.825433550842226,36.1003861003861,61.58301158301158,0.4726277372262774,167,-0.45172395840982865,0.7339120470639278,32.33532934131736,61.67664670658682,0.6423076923076924,554,-0.3886812842539508,0.7690889428788451,33.39350180505416,61.55234657039711,2.1307692307692307
LPR_040,LEADER_PULLBACK_RESUME,TP5_SL3,566,-0.4907484220559944,0.7579039661332599,31.272084805653712,62.36749116607774,0.774281805745554,356,-0.28841130407352006,0.8527444255267677,33.70786516853933,60.1123595505618,0.9753424657534246,518,-0.365475017849566,0.817463075881832,33.204633204633204,61.38996138996139,0.4726277372262774,167,-0.5534437569791729,0.7215225231318362,28.74251497005988,59.2814371257485,0.6423076923076924,554,-0.4410604022980332,0.7761203177828807,30.685920577617328,59.56678700361011,2.1307692307692307
LPR_041,LEADER_PULLBACK_RESUME,TP3_SL2,1247,-0.11524438537762248,0.9097618339461335,41.45950280673617,57.979149959903765,1.7058823529411764,831,-0.24934776575881626,0.8127513365253125,38.387484957882066,60.28880866425993,2.276712328767123,1209,-0.08437769224114776,0.9330944654915977,41.935483870967744,57.23738626964433,1.1031021897810218,320,-0.1259740312678513,0.901283168191601,40.9375,57.8125,1.2307692307692308,1089,-0.25105457320703534,0.8105400672594641,38.20018365472911,59.87144168962351,4.188461538461539
LPR_041,LEADER_PULLBACK_RESUME,TP4_SL2P5,1247,-0.12288217162985611,0.9235463108236011,38.97353648757017,59.18203688853247,1.7058823529411764,831,-0.43656525719935046,0.7461685946423078,33.092659446450064,63.1768953068592,2.276712328767123,1209,-0.1530234322425618,0.9048911104262843,37.799834574028125,58.97435897435898,1.1031021897810218,320,-0.07323382555934907,0.9535537076276757,39.0625,57.8125,1.2307692307692308,1089,-0.2331369933262214,0.8572251099031427,36.455463728191,59.68778696051423,4.188461538461539
LPR_041,LEADER_PULLBACK_RESUME,TP5_SL3,1247,-0.14706901227554123,0.9230813109699467,35.92622293504411,58.861267040898156,1.7058823529411764,831,-0.3700112511689576,0.8111438081781256,31.768953068592058,59.92779783393502,2.276712328767123,1209,-0.18059936644326088,0.9048678390228597,34.7394540942928,58.147229114971054,1.1031021897810218,320,-0.15026584453141667,0.9200382597527238,35.0,56.875,1.2307692307692308,1089,-0.2477036565304397,0.8702752974450434,33.700642791551886,57.759412304866856,4.188461538461539
LPR_042,LEADER_PULLBACK_RESUME,TP3_SL2,1267,-0.12052860975998046,0.9058022087119131,41.35753749013418,58.08997632202052,1.7332421340629276,843,-0.24745906683935504,0.8140736530549618,38.43416370106761,60.26097271648872,2.3095890410958906,1219,-0.0730210253646822,0.9418722003783313,42.16570959803118,57.013945857260055,1.1122262773722629,324,-0.13614719137565562,0.8936957063774265,40.74074074074074,58.0246913580247,1.2461538461538462,1110,-0.2473859731733887,0.8131272704921055,38.288288288288285,59.81981981981982,4.269230769230769
LPR_042,LEADER_PULLBACK_RESUME,TP4_SL2P5,1267,-0.12252096923633038,0.9237805651785969,38.989739542225735,59.194948697711126,1.7332421340629276,843,-0.4225216236449112,0.7535795398371145,33.33333333333333,62.989323843416365,2.3095890410958906,1219,-0.14725621786813553,0.9083546258074628,37.89991796554553,58.90073831009024,1.1122262773722629,324,-0.08560130919441884,0.9458998935431367,38.88888888888889,58.0246913580247,1.2461538461538462,1110,-0.2212488159750046,0.8641614592159118,36.666666666666664,59.54954954954955,4.269230769230769
LPR_042,LEADER_PULLBACK_RESUME,TP5_SL3,1267,-0.15091603733382053,0.9210744838752962,35.83267561168114,58.879242304656664,1.7332421340629276,843,-0.35335628673950614,0.8191726608686329,32.028469750889684,59.7864768683274,2.3095890410958906,1219,-0.17255507303519474,0.9089878769203463,34.86464315012305,58.08039376538146,1.1122262773722629,324,-0.16322552546312757,0.9134381110075842,34.876543209876544,57.098765432098766,1.2461538461538462,1110,-0.23405414748313147,0.8771397170908615,33.87387387387387,57.65765765765766,4.269230769230769
LPR_043,LEADER_PULLBACK_RESUME,TP3_SL2,354,-0.21714343443763165,0.8360548201119736,39.548022598870055,60.16949152542372,0.4842681258549932,228,-0.3798245614035089,0.7285266457680254,36.40350877192983,63.59649122807017,0.6246575342465753,354,-0.24302879904985436,0.8181137529309763,38.983050847457626,60.73446327683616,0.32299270072992703,105,-0.4380952380952382,0.6925133689839573,35.23809523809524,64.76190476190476,0.40384615384615385,364,-0.3709996797397853,0.7331148548907478,36.26373626373626,63.18681318681318,1.4
LPR_043,LEADER_PULLBACK_RESUME,TP4_SL2P5,354,-0.4013023700333267,0.7672713638747185,34.74576271186441,63.559322033898304,0.4842681258549932,228,-0.6453818826561869,0.6483940997715401,31.140350877192986,67.98245614035088,0.6246575342465753,354,-0.31639754143870674,0.8141840857008941,36.440677966101696,62.71186440677966,0.32299270072992703,105,-0.1247234012942732,0.9224613936415229,39.04761904761905,59.04761904761905,0.40384615384615385,364,-0.2960076670285786,0.8238556434100075,36.26373626373626,62.08791208791209,1.4
LPR_043,LEADER_PULLBACK_RESUME,TP5_SL3,354,-0.579186399353974,0.7243239266669216,31.63841807909605,64.97175141242938,0.4842681258549932,228,-0.6215694452852035,0.7067464947187367,30.263157894736842,65.78947368421053,0.6246575342465753,354,-0.30749063795604364,0.8457601443573439,34.463276836158194,61.29943502824858,0.32299270072992703,105,-0.41632022319651174,0.7939925278035791,33.33333333333333,60.952380952380956,0.40384615384615385,364,-0.36072657280156795,0.8200967634305512,34.065934065934066,61.26373626373627,1.4
LPR_044,LEADER_PULLBACK_RESUME,TP3_SL2,362,-0.21952700494729732,0.8343947766554708,39.50276243093923,60.22099447513812,0.4952120383036936,233,-0.3974248927038627,0.7175106772422213,36.05150214592275,63.94849785407726,0.6383561643835617,357,-0.25947393519229256,0.8068553067897243,38.655462184873954,61.06442577030813,0.32572992700729925,108,-0.44074074074074093,0.6909090909090911,35.18518518518518,64.81481481481481,0.4153846153846154,373,-0.3615117518104071,0.7391801094288555,36.46112600536193,63.00268096514745,1.4346153846153846
LPR_044,LEADER_PULLBACK_RESUME,TP4_SL2P5,362,-0.39823491434198255,0.7689412013841421,34.806629834254146,63.53591160220995,0.4952120383036936,233,-0.6615754044875992,0.6409339174339379,30.90128755364807,68.24034334763948,0.6383561643835617,357,-0.33642781419972606,0.8033882310529593,36.134453781512605,63.02521008403361,0.32572992700729925,108,-0.13607367718424712,0.9156838897620547,38.88888888888889,59.25925925925925,0.4153846153846154,373,-0.2843077501297657,0.8303783164494277,36.46112600536193,61.93029490616622,1.4346153846153846
LPR_044,LEADER_PULLBACK_RESUME,TP5_SL3,362,-0.5487071419096874,0.7374476507206977,32.04419889502763,64.64088397790056,0.4952120383036936,233,-0.642565809120285,0.6981863388654747,30.042918454935624,66.09442060085837,0.6383561643835617,357,-0.3317974393177576,0.8344097215640325,34.173669467787114,61.62464985994398,0.32572992700729925,108,-0.41957058736697905,0.7927045157079883,33.33333333333333,61.111111111111114,0.4153846153846154,373,-0.3510865797436938,0.8244241478114362,34.048257372654156,61.12600536193029,1.4346153846153846
LPR_045,LEADER_PULLBACK_RESUME,TP3_SL2,731,-0.213937031360892,0.8385069055154061,39.67168262653899,60.191518467852255,1.0,412,-0.3623772328407767,0.7387905486733677,36.407766990291265,62.86407766990292,1.1287671232876713,659,-0.17118424805212684,0.8683906159786924,40.21244309559939,59.028831562974204,0.6012773722627737,180,-0.08359873086714525,0.9332373588637535,41.66666666666667,56.666666666666664,0.6923076923076923,590,-0.2606809010357716,0.8046491516416376,38.30508474576271,60.16949152542372,2.269230769230769
LPR_045,LEADER_PULLBACK_RESUME,TP4_SL2P5,731,-0.170951115428421,0.895570939999085,38.57729138166895,60.32831737346102,1.0,412,-0.5429625954904937,0.6968265910463383,32.5242718446602,66.01941747572816,1.1287671232876713,659,-0.15810370124521653,0.9021965134384359,37.93626707132019,59.48406676783004,0.6012773722627737,180,-0.0947098419782563,0.9406398300979484,39.44444444444444,58.88888888888889,0.6923076923076923,590,-0.26597245529478025,0.8402680540424455,36.77966101694915,61.186440677966104,2.269230769230769
LPR_045,LEADER_PULLBACK_RESUME,TP5_SL3,731,-0.2445017850132913,0.8766222565713433,35.841313269493845,61.14911080711354,1.0,412,-0.4873645468036187,0.7648331062249338,32.5242718446602,64.32038834951457,1.1287671232876713,659,-0.1193607357472285,0.9369592180880812,35.96358118361153,58.421851289833086,0.6012773722627737,180,-0.24740677083018447,0.8746149920894682,35.55555555555556,60.55555555555555,0.6923076923076923,590,-0.37627389877829076,0.8134597447324792,33.728813559322035,62.03389830508475,2.269230769230769
LPR_046,LEADER_PULLBACK_RESUME,TP3_SL2,747,-0.21631589012692384,0.8368437674610696,39.625167336010705,60.24096385542169,1.0218878248974008,419,-0.36921102608687345,0.7344533923934204,36.27684964200477,63.0071599045346,1.1479452054794521,665,-0.1669329616035362,0.8714801537216443,40.30075187969925,58.94736842105262,0.6067518248175182,183,-0.09097142926823028,0.9275528970950644,41.53005464480874,56.830601092896174,0.7038461538461539,601,-0.26289805592529986,0.8031646846287774,38.26955074875208,60.232945091514146,2.3115384615384613
LPR_046,LEADER_PULLBACK_RESUME,TP4_SL2P5,747,-0.17291200184494748,0.8944428291115761,38.55421686746988,60.37483266398929,1.0218878248974008,419,-0.5479727669262134,0.6944214183100142,32.4582338902148,66.10978520286396,1.1479452054794521,665,-0.16148923176029728,0.9002043969600367,37.89473684210527,59.54887218045113,0.6067518248175182,183,-0.10190039101686416,0.9362670014938296,39.34426229508197,59.01639344262295,0.7038461538461539,601,-0.2564455051978708,0.8456631605199246,36.938435940099836,61.064891846921796,2.3115384615384613
LPR_046,LEADER_PULLBACK_RESUME,TP5_SL3,747,-0.25425810554848194,0.8720010906623105,35.7429718875502,61.31191432396251,1.0218878248974008,419,-0.49449688134389236,0.7618011246895781,32.4582338902148,64.43914081145584,1.1479452054794521,665,-0.12309582685326852,0.9350607687113752,35.93984962406015,58.49624060150376,0.6067518248175182,183,-0.2520940915269575,0.8724092449793598,35.51912568306011,60.65573770491803,0.7038461538461539,601,-0.3614003332432471,0.8203906728087125,33.94342762063228,61.89683860232945,2.3115384615384613
LPR_047,LEADER_PULLBACK_RESUME,TP3_SL2,260,-0.23846153846153856,0.8216340621403917,39.23076923076923,60.76923076923077,0.35567715458276333,146,-0.35068493150684943,0.7470355731225303,36.986301369863014,63.013698630136986,0.4,254,-0.24028423174664737,0.8198577483363391,38.976377952755904,60.629921259842526,0.23175182481751824,71,-0.29859154929577475,0.7809917355371898,38.028169014084504,61.97183098591549,0.27307692307692305,242,-0.18598148673106704,0.8579308087471019,40.082644628099175,59.50413223140496,0.9307692307692308
LPR_047,LEADER_PULLBACK_RESUME,TP4_SL2P5,260,-0.36690540677548783,0.7874412158927159,35.76923076923077,63.84615384615384,0.35567715458276333,146,-0.6776602819828814,0.6335614771499979,30.82191780821918,68.4931506849315,0.4,254,-0.32671888075592426,0.8084133612645494,36.22047244094488,62.99212598425197,0.23175182481751824,71,-0.22816901408450707,0.8636363636363634,38.028169014084504,61.97183098591549,0.27307692307692305,242,-0.151324405964645,0.9071017091744189,38.84297520661157,60.33057851239669,0.9307692307692308
LPR_047,LEADER_PULLBACK_RESUME,TP5_SL3,260,-0.5528960297257159,0.7395352417212911,32.69230769230769,65.76923076923077,0.35567715458276333,146,-0.6308005920752943,0.7063237039445379,31.506849315068493,67.12328767123287,0.4,254,-0.329275128730415,0.8356298475396765,34.25196850393701,61.811023622047244,0.23175182481751824,71,-0.4931492825652627,0.7669079279057102,33.80281690140845,64.7887323943662,0.27307692307692305,242,-0.22906655084949476,0.8852328269572245,36.77685950413223,61.98347107438017,0.9307692307692308
LPR_048,LEADER_PULLBACK_RESUME,TP3_SL2,268,-0.24104477611940306,0.819854991634133,39.17910447761194,60.820895522388064,0.36662106703146374,151,-0.37880794701986775,0.7291666666666672,36.423841059602644,63.576158940397356,0.4136986301369863,257,-0.26316029129824275,0.804191676712078,38.52140077821012,61.08949416342413,0.23448905109489052,74,-0.30810810810810824,0.7747035573122526,37.83783783783784,62.16216216216216,0.2846153846153846,249,-0.18235951722457117,0.8605420153903008,40.16064257028113,59.43775100401606,0.9576923076923077
LPR_048,LEADER_PULLBACK_RESUME,TP4_SL2P5,268,-0.3637888274687568,0.7891058302839845,35.82089552238806,63.80597014925373,0.36662106703146374,151,-0.7015788156920576,0.6227264915616076,30.4635761589404,68.87417218543047,0.4136986301369863,257,-0.35442255140857865,0.7935735132910146,35.797665369649806,63.42412451361867,0.23448905109489052,74,-0.2405405405405407,0.8566827697262477,37.83783783783784,62.16216216216216,0.2846153846153846,249,-0.14466066764435392,0.9110604784112494,38.95582329317269,60.24096385542169,0.9576923076923077
LPR_048,LEADER_PULLBACK_RESUME,TP5_SL3,268,-0.5125110736145005,0.7567723332784391,33.2089552238806,65.29850746268657,0.36662106703146374,151,-0.6628932877019402,0.6933306175153404,31.125827814569533,67.54966887417218,0.4136986301369863,257,-0.36278553578803635,0.8201560105241099,33.85214007782101,62.2568093385214,0.23448905109489052,74,-0.4947783657045089,0.7662169870216197,33.78378378378378,64.86486486486487,0.2846153846153846,249,-0.21620122612681825,0.8914226931100545,36.94779116465863,61.84738955823293,0.9576923076923077
RWR_049,RELATIVE_WASHOUT_RECLAIM,TP3_SL2,17273,-0.2734975202181344,0.7920941919965381,36.43258264343194,59.132750535517864,23.629274965800274,14785,-0.34181045395847004,0.7472508646962598,35.40750760906324,60.98072370645925,40.50684931506849,17129,-0.32881938579393855,0.7546864101038953,35.431140171638745,60.30124350516668,15.628649635036496,4623,-0.21970464839244677,0.8289012538697611,37.01059917802293,57.473502054942685,17.78076923076923,15365,-0.2362111966005788,0.8171157919422553,36.73283436381386,57.84575333550277,59.09615384615385
RWR_049,RELATIVE_WASHOUT_RECLAIM,TP4_SL2P5,17273,-0.28846753197381847,0.8186837497065789,32.385804434666824,57.552249175013024,23.629274965800274,14785,-0.417134043525078,0.7474043575630979,30.537707135610415,60.05410889414947,40.50684931506849,17129,-0.36999476914674423,0.7722036522481351,31.204390215424134,58.78334987448187,15.628649635036496,4623,-0.21989279351017332,0.8566519506592666,32.27341553104045,54.98593986588796,17.78076923076923,15365,-0.25928723467320675,0.8331571671773458,31.942726976895543,55.61340709404491,59.09615384615385
