policy,mode,stable_dev,score,disc_n,cal_n,disc_net24,cal_net24,disc_net48,cal_net48,disc_pf24,cal_pf24
IMP1_GB1_HLHH_M3,IMPULSE_GIVEBACK,False,-0.412899559835123,1321,1104,0.397815732307898,-0.11007832442315717,1.0087220999581747,-0.2974197006911034,1.2208969146838853,0.9459846527913761
IMP1_GB1_STRUCT_M4,IMPULSE_GIVEBACK,False,-0.45009274827462065,1346,1119,0.43426125970560653,-0.196570895254953,1.0845302505660557,-0.24409528858646165,1.241349305009372,0.9057343556679401
WAIT18H_STOCH_MULTI,DELAYED_CONFIRM,False,-0.450423650806171,2364,1908,0.23986240702311107,-0.06686188956317164,0.4423641916297185,-0.3801597532940723,1.13520280219201,0.9659799205107291
IMP1.5_GB1_STRUCT_M4,IMPULSE_GIVEBACK,False,-0.5110685079369562,1066,879,0.6620948441081802,-0.1761154034339491,1.309828658596173,-0.3267901430684767,1.3825115014196585,0.9183703856546954
DIP3_RECLAIM_M3,DIP_RECLAIM,False,-0.5124835367420584,1273,1203,0.5003118266975224,-0.07239737077609348,1.0054042524569318,-0.4366229352243979,1.2777856152024707,0.9653676925843307
IMP1.5_GB1_HLHH_M3,IMPULSE_GIVEBACK,False,-0.5261727308908271,1050,866,0.7173054007802973,-0.09907746904136942,1.2378713726505908,-0.42239479776901745,1.4179839639279033,0.9529953591955976
IMP1_GB1_STOCH_MULTI,IMPULSE_GIVEBACK,False,-0.5356721337825678,1383,1143,0.5091116188300489,-0.2135790079091023,1.147879040660602,-0.31182413291849276,1.2862356103604482,0.897310070450273
IMP1.5_GB1_TURN4,IMPULSE_GIVEBACK,False,-0.5376873374403954,1086,891,0.6684989266700346,-0.18312538210936105,1.3445778452423842,-0.34604013389268296,1.3882584076649191,0.9147817856164852
WAIT18H_TURN4,DELAYED_CONFIRM,False,-0.5511413484894752,2364,1908,0.2327774833377923,-0.1262036208465145,0.46311280407083566,-0.4185849380401999,1.130106729644922,0.936472103972392
WAIT18H_RECLAIM_M3,DELAYED_CONFIRM,False,-0.5618404301064034,2364,1908,0.24041237196734086,-0.11693442321772834,0.47494408109681485,-0.4390577490624272,1.1339936021271804,0.941517421737521
WAIT18H_HLHH_M3,DELAYED_CONFIRM,False,-0.5672979796067423,2364,1908,0.24559458021529182,-0.13786220516976025,0.47349388781772184,-0.4225231220947649,1.1369989640693186,0.9308734765778285
WAIT18H_STRUCT_M4,DELAYED_CONFIRM,False,-0.5998026602952334,2364,1908,0.23078437697452206,-0.1533649908069398,0.4747493143317476,-0.43875216190405,1.1286964071168373,0.9231449241575636
IMP0.5_GB1_HLHH_M3,IMPULSE_GIVEBACK,False,-0.6040254614244076,1700,1439,0.23962868770874762,-0.22941120382765787,0.7909606903529409,-0.3633899380160416,1.1353624485551244,0.8877568041929186
DIP2_STOCH_MULTI,DIP_RECLAIM,False,-0.606369005557424,1605,1423,0.41012488895749216,-0.12179335988600974,0.9173744557216678,-0.4786810219746351,1.229943103314848,0.9410537630322084
IMP1_GB1_RECLAIM_M3,IMPULSE_GIVEBACK,False,-0.625489581522268,1306,1073,0.48541277649338566,-0.23292732756646473,1.084315658954456,-0.3813328298087599,1.2733389791709455,0.8877057585295666
IMP0.5_GB1_STOCH_MULTI,IMPULSE_GIVEBACK,False,-0.6467157406402603,1748,1477,0.32354215947994175,-0.29899825743378305,0.8292208685147247,-0.3332863469912132,1.1848536101321507,0.8556886378473599
DIP2_TURN4,DIP_RECLAIM,False,-0.6746790757388382,1607,1422,0.39547821181327814,-0.16379601127326776,0.853245384586349,-0.5030549059974028,1.2227181173819461,0.9217184153183227
IMP0.5_GB1_RECLAIM_M3,IMPULSE_GIVEBACK,False,-0.6843692468829377,1669,1414,0.31544355019140274,-0.29201872906824744,0.8009687756988435,-0.3781993314260083,1.1806716317847987,0.8584881361131813
DIP2_STRUCT_M4,DIP_RECLAIM,False,-0.6844967034626899,1605,1420,0.35818772341145305,-0.18540463335056964,0.821498484711502,-0.49026830448707637,1.2013261168372609,0.9117623437495621
IMP0.5_GB1_TURN4,IMPULSE_GIVEBACK,False,-0.6908926731733309,1735,1461,0.24151619057123358,-0.30572005517628437,0.7615564753970486,-0.3705045193508067,1.1366091038399,0.8533190135376009
IMP0.5_GB1_STRUCT_M4,IMPULSE_GIVEBACK,False,-0.6909739457790958,1721,1455,0.27510635234196934,-0.29482462643822593,0.8281527802877026,-0.38194791175998366,1.1545644863092612,0.8579859241911385
DIP2_HLHH_M3,DIP_RECLAIM,False,-0.6997995447065837,1598,1417,0.3126365985055754,-0.1940346515187722,0.7638041256105318,-0.4966189389135417,1.1738796130041422,0.9085404572573024
IMP1.5_GB1_STOCH_MULTI,IMPULSE_GIVEBACK,False,-0.7110230725566254,1102,899,0.7659899965837706,-0.23905621839840765,1.3635899367030555,-0.4609562363917704,1.4562731268031566,0.8898938223355257
IMP2_GB1_HLHH_M3,IMPULSE_GIVEBACK,False,-0.7551214331674786,838,670,0.8804096869958044,-0.03711807918000182,1.450348000457175,-0.7162533389722445,1.5256654477821074,0.9824998498476778
IMP0.5_GB0.7_RECLAIM_M3,IMPULSE_GIVEBACK,False,-0.7950192237603116,1931,1584,0.1752505164712825,-0.3622517656023149,0.5840815236237862,-0.4153927193635497,1.097928336872782,0.8262526120555291
DIP1_HLHH_M3,DIP_RECLAIM,False,-0.8086826777773044,2004,1695,0.1078125476117643,-0.4022929539448011,0.5427769985020778,-0.38771709915917385,1.0610884473444737,0.8132737532667043
IMP0.5_GB0.7_HLHH_M3,IMPULSE_GIVEBACK,False,-0.8295495533470643,1958,1603,0.09155091608948021,-0.3729766526170228,0.4949976605573235,-0.4386544755984758,1.0502133987734952,0.8208157486843445
