feature,rise_mean,control_mean,rise_median,control_median,std_effect,n_rise,n_control
h1_mfi_d3,-1.9484329791974886,0.3668502204116267,-2.1264984814888024,0.2816019124287443,-0.18390612812916443,75691,21308
h1_mfi_d1,-1.150713411179283,0.15136253316686984,-0.8306626097034027,0.03280158271425645,-0.1819515644526116,75691,21308
btc1_roc12_d3,-0.2063235938317067,0.024578431191468235,-0.1391791711064067,0.0132587275672335,-0.1813589098667016,75762,21308
h1_stoch_k_d3,-4.2751119647510825,0.7528299294844599,-3.222895257001454,0.9230206776250327,-0.17848586775631084,75679,21308
h4_motion_neg,2.5384310722678425,2.136803078655904,2.0,1.0,0.1777932878283832,75746,21308
btc1_kdj_j_d3,-5.2721266646360805,0.5750762827476922,-4.547020850318802,0.9213533535373984,-0.17767526000583161,75762,21308
h4_motion_net,-0.47180049111504235,0.27853388398723483,-1.0,0.0,-0.1768569171406335,75746,21308
m15_chop14_d3,-1.54309606364181,-0.0021162285885219906,-0.5579941759707623,0.0,-0.17669616394273577,75737,21308
m15_motion_pos,1.9460283519442465,2.3174394593579875,1.0,2.0,-0.17490774711453455,75762,21308
m15_di_spread,-4.741306755840528,-1.9079764490986166,-4.669837425153641,-1.4256856022385875,-0.17462235449216232,75740,21308
h4_vwap_dist,-1.2093323815208643,-2.925754487031647,-1.4384440132896525,-2.641297784855945,0.17350397810320115,75560,21308
btc1_tsi,1.7843773088644912,-1.7438922502088672,1.4324406923753439,-2.8585542565975604,0.17186554129772896,75762,21308
btc1_ppo_hist_acc,-0.007618683188836956,0.0001579595960511881,-0.0042621807934174,0.0002603805486576,-0.17185189414901583,75762,21308
h1_ppo_hist,-0.05734388148199072,0.007246411210715471,-0.05075558788385305,0.010309485329861,-0.17133951856834623,75762,21308
h1_rvol20_d3,0.24253716774123024,-0.01316968528774686,0.10416418247579805,-0.00232000719047045,0.17130475314663945,75712,21308
m15_wpr_d3,-4.251887140373723,0.3511065673215664,-3.409090909091006,0.0,-0.17109708552912015,75737,21308
btc1_mfi_d1,-0.954105434090902,0.12864680783843382,-0.6953955718256708,0.0350368535268899,-0.16976054636663024,75729,21303
m15_cmf,-0.02630517201855957,0.004763686854151273,-0.0270418936993693,0.00819869485008855,-0.16942445206591325,71878,15720
btc1_bb_width_d1,0.0006484330441096036,-1.924507718101561e-05,6.718399827165692e-05,-1.2627398961943209e-05,0.16854945772130853,75762,21308
h4_kdj_j_d1,-1.7542831280016224,0.867498157709231,-1.6899847410363336,1.3902988353553385,-0.16764865936636478,75672,21308
h1_stoch_spread_d1,-1.364615123846814,0.08171021433809321,-1.0178098974512153,0.0,-0.16707945129318116,75679,21308
btc1_rvol20_d3,0.16462248027541188,-0.013420447255497493,0.0677236936921423,-0.0127428069559585,0.16699977899032534,75762,21308
h1_chop14_d1,-0.833811443727181,0.007778131862506815,-1.4210854715202004e-14,0.0,-0.16666159722427532,75719,21308
