feature,disc_effect,cal_effect,cross_effect,final_effect,min_abs_effect
btc1_tsi_d3,-0.18788237650532122,-0.1838598038908269,-0.17007256436212553,-0.23367037402012322,0.17007256436212553
btc1_kdj_spread,-0.20395434472083315,-0.16977894215218547,-0.21921989260228142,-0.19463343136243222,0.16977894215218547
h1_cmf_d1,-0.1882605394620577,-0.21061107975382473,-0.20018413531052132,-0.16887259799827142,0.16887259799827142
h4_motion_net,-0.1768569171406335,-0.2162319162552457,-0.16847375241528084,-0.20378845925241787,0.16847375241528084
h4_kdj_j_d1,-0.16764865936636478,-0.22275099037373716,-0.18609208366795613,-0.17929994133582902,0.16764865936636478
btc1_cmo_d1,-0.18666032390607942,-0.1670840317057637,-0.20167677753888014,-0.1937470675035913,0.1670840317057637
m15_mfi,-0.16551875577923414,-0.2426437598348153,-0.19577254869234212,-0.2150704182626195,0.16551875577923414
m15_stoch_spread,-0.16534170019063013,-0.18977878536559237,-0.17533811968567017,-0.1823501708159902,0.16534170019063013
m15_chop14_d3,-0.17669616394273577,-0.1636549748082833,-0.17066075871303873,-0.18396743734593995,0.1636549748082833
btc1_stoch_k,-0.16552543982555548,-0.16893328580345374,-0.16349601297175242,-0.2147158612371595,0.16349601297175242
m15_cmf,-0.16942445206591325,-0.2923720588533366,-0.2164154374934374,-0.16334340822027898,0.16334340822027898
btc1_ppo_hist_d3,-0.1633304212128273,-0.17056273005278316,-0.18549949240793226,-0.20672124540379838,0.1633304212128273
m15_motion_net,-0.16102163353205542,-0.26230338147126114,-0.20654701790973892,-0.18024557735200067,0.16102163353205542
btc4_rvol20,0.18835041627672597,0.20099694003000235,0.1952632086261751,0.16042386605460177,0.16042386605460177
m15_stoch_k_d3,-0.16027819322578665,-0.17289012547351001,-0.16449213740774277,-0.1762173095994549,0.16027819322578665
btc1_roc4_d1,-0.20588842106288122,-0.18325917139492828,-0.20043481989750914,-0.16019084383598992,0.16019084383598992
btc1_roc4,-0.1599066594434631,-0.2267462628062041,-0.18275476079521574,-0.22022528683056763,0.1599066594434631
m15_ppo_hist_d1,-0.19194777908620334,-0.15947129562757834,-0.1749682241465511,-0.19335884279148577,0.15947129562757834
m15_bb_width_d1,0.21202037502763493,0.1590286109726243,0.19484675364969095,0.1659531512952401,0.1590286109726243
btc1_roc4_d3,-0.15862859401515497,-0.17160492743826833,-0.1702598550253107,-0.1896256304401183,0.15862859401515497
h1_donch_pos,-0.15859294129813437,-0.2766572424962305,-0.17163539599799696,-0.1891117958654577,0.15859294129813437
btc1_cmo_d3,-0.20069142849482074,-0.1583511396431918,-0.20233738106150073,-0.2000110800422134,0.1583511396431918
btc1_stoch_spread,-0.1885541382563454,-0.15821063824872741,-0.20237925329955056,-0.16406312370099563,0.15821063824872741
h4_stoch_k,0.15614831468960355,0.17289742048395187,0.240185486188478,0.2421590521478069,0.15614831468960355
h4_kdj_spread_d1,-0.15461801812675852,-0.21712165748388362,-0.1833366921061402,-0.17586003742037482,0.15461801812675852
h4_tsi_d3,0.18967308777371764,0.15442553041354146,0.2358573757709038,0.3121818162136589,0.15442553041354146
btc1_bb_width_d1,0.16854945772130853,0.15346007428008454,0.15949545770040258,0.17268043569852964,0.15346007428008454
btc1_ppo_hist_acc,-0.17185189414901583,-0.15273280156201247,-0.16600790596051085,-0.1698118819311273,0.15273280156201247
btc4_kdj_j_d1,-0.15582689753855386,-0.16747409912913763,-0.152675054485743,-0.1766700919311563,0.152675054485743
m15_bb_width_d3,0.2102486442738854,0.1525315447271455,0.17224532668304984,0.17417180206810634,0.1525315447271455
btc1_kdj_spread_d1,-0.18954584899539978,-0.18279462330123478,-0.19203800020191075,-0.15204712884996585,0.15204712884996585
m15_stoch_k_d1,-0.14839901978158812,-0.19800443679186067,-0.1690776568800374,-0.16424617106108422,0.14839901978158812
h1_stoch_spread_d1,-0.16707945129318116,-0.1481128254510332,-0.1579973337203845,-0.16836882687009327,0.1481128254510332
btc1_cmf_d1,-0.14768631312202796,-0.1521314461711934,-0.1593847977112042,-0.16381539241971646,0.14768631312202796
m15_cmf_d3,-0.14728416365977198,-0.15421404347578976,-0.1531396944931339,-0.16021162345821738,0.14728416365977198
btc1_macd_hist_d3,-0.14585593104735176,-0.1733467631276278,-0.17810127537120665,-0.21112806038764287,0.14585593104735176
m15_kdj_j_d3,-0.14485280839100276,-0.17010436859322808,-0.15386299736424733,-0.17055410193367287,0.14485280839100276
h1_bb_pctb,-0.14481846564626422,-0.26035661578114333,-0.16092481075227755,-0.16361141336804866,0.14481846564626422
h1_body_frac,0.14473870989086132,0.20013789561938614,0.17244489555714693,0.16114480319789853,0.14473870989086132
btc4_atr_pct_d1,0.1482470150881517,0.21061553957764273,0.17114222923285388,0.14469456871551964,0.14469456871551964
btc1_kdj_j_d3,-0.17767526000583161,-0.14389871911038277,-0.17395260363187168,-0.14953607154350107,0.14389871911038277
btc1_mfi_d1,-0.16976054636663024,-0.1438147272904346,-0.17645694314810917,-0.1812642065049738,0.1438147272904346
h4_wpr_d1,-0.1471724599999167,-0.141469864821456,-0.16069647703354598,-0.15448577694028023,0.141469864821456
btc4_kdj_d,0.36348565265472005,0.1409221434504293,0.33064194818598286,0.22283635523387108,0.1409221434504293
h1_kdj_k,-0.1404546420918016,-0.26843669707107437,-0.18489218486698047,-0.2167354993417049,0.1404546420918016
btc4_ppo_hist,0.1403818838575289,0.14209455850336372,0.14101258091082125,0.23198712540574998,0.1403818838575289
btc4_kdj_spread_d3,-0.1403538061173773,-0.2146077497336727,-0.14809666812358124,-0.169854273735512,0.1403538061173773
m15_roc4_d3,-0.15388672811773077,-0.14007026939277578,-0.15088097763301336,-0.16710963268024615,0.14007026939277578
m15_di_spread_d1,-0.13937409884091714,-0.19303069928992536,-0.1590928566676194,-0.17767362547951304,0.13937409884091714
h4_rvol20,0.19287944794718137,0.13931014096573224,0.18265623833465097,0.16855876161452185,0.13931014096573224
btc1_bb_pctb,-0.15078493324128367,-0.19018569594047244,-0.13923588842331872,-0.22696028551877756,0.13923588842331872
h4_kdj_spread_d3,-0.13884809536344273,-0.2246490025372092,-0.154458878936179,-0.1746193268625072,0.13884809536344273
btc4_kdj_spread_d1,-0.13840351376603244,-0.1769672436261111,-0.1545353129648819,-0.17589326010203152,0.13840351376603244
h4_stoch_k_d1,-0.15743656806849915,-0.17532796043634302,-0.13837234285645783,-0.1725606704092434,0.13837234285645783
btc1_reclaim_prev_high,-0.1376041032788974,-0.1439712825472073,-0.1444823172971209,-0.1649155084062567,0.1376041032788974
btc1_higher_low,-0.13721573038047652,-0.17206033882308647,-0.14173682290094966,-0.17253072840025507,0.13721573038047652
