feature,rise_mean,control_mean,rise_median,control_median,std_effect,n_rise,n_control
h1_mfi_d1,-1.296256467097339,-0.011459489544900819,-0.9284012975150802,0.0056262940420808,-0.18135290469334503,57869,6749
btc1_obv_d1,-316.46811723208714,-15.597875521115174,-320.4730800000252,113.75997000001372,-0.18121200911669705,57935,6749
h1_ppo_hist_acc,-0.01967796704780754,0.00022332083508259443,-0.0155701323977067,0.0001296873425047,-0.18053815187013364,57916,6749
btc1_wpr_d3,-5.431817644058775,-0.5166917327640758,-3.616146995504735,0.9054409702433546,-0.18013216297054027,57935,6749
h1_roc12,-1.0667338482524058,-0.24600573355472585,-0.943800943800932,-0.0615953187557694,-0.17963773784635936,57893,6749
m15_ppo_hist_d3,-0.031162530275588952,0.0003984638505087977,-0.02458579822912555,0.0010327723595921,-0.1782366021402821,57934,6749
btc4_kdj_spread_d1,-0.6233803308419706,0.2606227539382515,-0.4609208964669626,0.4742022093276858,-0.1769672436261111,57935,6749
btc4_tsi,-0.07379212921280458,3.497332324320233,0.1156719763527649,1.202935963164428,-0.17612548514551793,57935,6749
btc1_rvol20,1.2133450833059276,1.0416826630175304,0.9110465112044308,0.8171079127174626,0.17567838124851992,57935,6749
h4_stoch_k_d1,-1.2804124649253372,0.8952583694906593,-0.25178968370779875,0.2874741024697584,-0.17532796043634302,57654,6749
m15_close_loc,0.4510202178606846,0.5084167279093952,0.4199999999999977,0.5,-0.17501353572988537,57651,6585
btc1_roc12_d3,-0.2225233228496739,-0.013646592921730061,-0.1472654855651956,-0.0159730776669309,-0.17452141897265647,57935,6749
btc1_stoch_k_d1,-2.29641411429044,-0.13575316981281577,-0.9185312124827956,0.0,-0.17438921628248008,57935,6749
btc1_macd_hist_d3,-19.922975162211028,-2.0619720103055417,-13.291647726097608,-1.0460136370551254,-0.1733467631276278,57935,6749
h4_stoch_k,48.63908266761708,43.03314478641614,48.57687849243239,37.81959380832001,0.17289742048395187,57662,6749
m15_stoch_k_d3,-4.759883326146651,0.22430201288218515,-3.955306741468199,0.0,-0.17289012547351001,57893,6749
btc1_higher_low,0.4434452403555709,0.5289672544080605,0.0,1.0,-0.17206033882308647,57935,6749
btc1_roc4_d3,-0.20074072331965234,0.004469306954947506,-0.1260402713330055,8.423984656502626e-05,-0.17160492743826833,57935,6749
btc1_kdj_j,44.86718098370453,50.863396806943136,42.35671918262085,53.2938532249247,-0.17152196284894786,57935,6749
btc1_ppo_hist_d3,-0.02012302641199682,-0.0019660286396971124,-0.0133132680528478,-0.0012649073334711,-0.17056273005278316,57935,6749
m15_kdj_j_d3,-5.368890160635579,0.5063373077908305,-4.926350641898555,0.6729637138148306,-0.17010436859322808,57916,6749
h1_kdj_spread_d3,-1.6819697418532122,0.027101975575829197,-1.2536009606499228,0.2052903112185333,-0.17008923806154527,57894,6749
btc1_kdj_spread,-1.8054611458110152,-0.30746626616987943,-1.7850699862874355,0.0137339056200147,-0.16977894215218547,57935,6749
btc1_stoch_k,45.791393789480715,51.262497394321514,43.32760641610417,52.80403681530125,-0.16893328580345374,57935,6749
h4_stoch_spread,-1.0005072590321604,0.8711839681482071,-0.6000905317085596,1.11546487261203,-0.16836512357160502,57643,6749
btc4_kdj_j_d1,-2.1007420520135356,0.6997605465838025,-1.3445565448571415,1.7184841750329838,-0.16747409912913763,57935,6749
m15_er10_d3,0.04080465166114769,-0.0008350503682521124,0.036774075201807296,0.0,0.16722447029722312,57900,6748
btc1_cmo_d1,-2.6347302503041345,-0.13045013412199802,-2.0950773685940227,-0.3014701171754446,-0.1670840317057637,57935,6749
m15_higher_high,0.30901872788469836,0.3864276189065047,0.0,0.0,-0.16656026071593266,57935,6749
btc4_kdj_j_d3,-2.362508285243501,3.1550475388613504,-1.6362939747652732,3.74261224415676,-0.1646393731935595,57935,6749
h4_roc4_d1,-0.5894554998511947,-0.010994634723919441,-0.4577134118141979,-0.0015039682829787,-0.1643220070784216,57882,6749
h1_higher_high,0.34725122982652973,0.4256926952141058,0.0,0.0,-0.16408581740724493,57935,6749
m15_chop14_d3,-1.4120741767400995,0.0008046766064494845,-0.6120034000965724,5.329070518200751e-13,-0.1636549748082833,57908,6749
h1_cmo,-8.97782100247802,-3.4613199096254657,-10.443037974683618,-1.9417475728157645,-0.16151586614401056,57887,6749
btc1_roc12,-0.2765349400389545,0.002128218428347089,-0.131326998471426,0.0281513881119854,-0.1601028742885801,57935,6749
m15_ppo_hist_d1,-0.01040269291840337,0.00037573086605482763,-0.0087347042804244,0.0005603481053035,-0.15947129562757834,57935,6749
btc1_macd_hist,-23.401953888307386,3.252172814944121,-16.345739838751456,10.55808405072844,-0.15941916647067483,57935,6749
m15_bb_width_d1,0.0009594161147032785,-1.1608860926809947e-06,0.000278633475776,0.0,0.1590286109726243,57907,6749
h4_wpr_d3,-2.9793166901924573,1.0626292254002139,-2.40003276539964,1.7391304347826022,-0.1589889120979743,57780,6749
btc1_cmo_d3,-4.370467719547305,-0.49471563194851476,-3.787034593551312,-0.2536204026160362,-0.1583511396431918,57935,6749
btc1_stoch_spread,-1.9128997903691332,-0.16723456708359535,-1.2293979518222642,0.2117438058039198,-0.15821063824872741,57935,6749
btc1_structure,0.5068956589281091,0.5854200622314417,1.0,1.0,-0.15729948847351935,57935,6749
h4_tsi_d3,-0.19335176119008296,-1.1470811939118877,-0.2334036558920615,-0.9457027123464226,0.15442553041354146,57885,6749
m15_cmf_d3,-0.015405697092257522,0.0017311964807054717,-0.01201601601333355,0.0018449063343672,-0.15421404347578976,55482,5827
m15_cmo_d1,-1.522094299291675,0.509607077846204,-1.0908552262800377,0.0,-0.15403991240931403,57906,6749
h4_close_loc,0.4433766750034191,0.4880820304349093,0.4074074074074045,0.4736842105263188,-0.1538495549509851,57918,6749
btc1_bb_width_d1,0.0005532382862047985,3.5113001236219285e-05,9.601165927039525e-05,-1.9083481588258452e-05,0.15346007428008454,57935,6749
btc1_ppo_hist_acc,-0.00587948623359586,0.0002968101851124646,-0.0036576349558933,4.5561454611146857e-05,-0.15273280156201247,57935,6749
m15_bb_width_d3,0.002705889677433541,5.138937497648857e-05,0.0007508329420958,-3.385613579524015e-05,0.1525315447271455,57907,6749
btc1_cmf_d1,-0.010470041586875629,-0.0007963399944135057,-0.009211665195831,-0.000260122696234,-0.1521314461711934,57935,6749
h1_reclaim_prev_high,0.14412703892293088,0.1982515928285672,0.0,0.0,-0.15183405799331887,57935,6749
m15_kdj_j_d1,-1.7665572395922309,0.6562962207078812,-1.4960537148654502,0.5037952265092684,-0.15095470801330846,57916,6749
btc1_ppo_hist,-0.022879877683904128,0.003012984332593063,-0.0163377857626072,0.0093826997318605,-0.15076207416695941,57935,6749
btc4_tsi_d3,-0.07779977599864864,-1.0314210673177653,-0.1029153867310732,-1.7008275938667268,0.15002272835885078,57935,6749
m15_rvol20,1.1186368571197176,0.9373780922218886,0.7654178967822782,0.6497333838685685,0.14921480717387337,57908,6749
h1_stoch_spread_d1,-1.2293602966492994,0.033557402200587096,-0.8290204140181685,0.0,-0.1481128254510332,57851,6749
h4_stoch_spread_d3,-1.551523212147431,0.8466372482567286,-1.2463594070094102,0.5555770645033888,-0.14658933114358913,57625,6749
m15_sweep_reclaim,0.09039440752567533,0.049488813157504814,0.0,0.0,0.14594748488109113,57935,6749
h4_turn4,0.16500345303867403,0.21973625722329235,0.0,0.0,-0.1456071341141218,57920,6749
btc1_higher_high,0.40236471908172955,0.473551637279597,0.0,0.0,-0.14488877979777476,57935,6749
btc4_stoch_raw,48.36826993758998,43.14597062120189,47.02291121999322,34.51990083959186,0.14485000978256785,57935,6749
m15_mfi_d1,-0.7612652871043553,0.2609667285834433,-0.5121516176059799,0.0803830689862366,-0.14478663452363214,57894,6747
h1_bb_width_d3,0.003785212094694046,0.0002767312999294521,0.00125205937495155,-9.582682662889058e-06,0.14467170271091226,57882,6749
m15_donch_pos_d1,-0.0125758361303976,0.008014713601701808,-0.0039525691699602,0.0,-0.1446143034501646,57907,6749
h4_tsi_acc,-0.2378724971439601,0.021474930405198586,-0.2158153079844016,0.0088556211816275,-0.1441153201574938,57889,6749
btc1_reclaim_prev_high,0.17835505307672392,0.23410875685286708,0.0,0.0,-0.1439712825472073,57935,6749
btc1_kdj_j_d3,-5.715421521012758,-0.6500506564496822,-5.152858459237407,-1.011460401279379,-0.14389871911038277,57935,6749
btc1_mfi_d1,-1.0310708596903593,-0.10574621883341646,-0.8148769336453583,-0.101698907289716,-0.1438147272904346,57923,6749
btc4_macd_hist,-5.654126272368732,-45.535045788028526,-5.588112075684819,-81.77038501698958,0.14248799794386327,57935,6749
btc4_ppo_hist,-0.005190157808662997,-0.04532960389933067,-0.0080350670032669,-0.0774340936858013,0.14209455850336372,57935,6749
m15_reclaim_prev_high,0.14845948045223095,0.19958512372203288,0.0,0.0,-0.14185102460634558,57935,6749
h4_wpr_d1,-2.0807554615019286,0.2689201932604819,-1.463414634146396,0.5494505494505262,-0.141469864821456,57799,6749
btc4_kdj_d,51.579628526278,48.913489215117956,51.07978934368323,46.46635265258167,0.1409221434504293,57935,6749
btc4_chop14_d3,0.20414417290457085,-0.9063219489961836,0.3468703781729729,-1.211427243338413,0.14042042305736274,57935,6749
m15_roc4_d3,-0.24426205151818908,0.00023155356227641668,-0.19012132356234218,0.0,-0.14007026939277578,57922,6749
h4_rvol20,1.0750350774170423,0.9409810103245658,0.8225331560967489,0.7705369950456092,0.13931014096573224,57755,6749
h1_adx_acc,0.09503188234430987,-0.006820361493659459,0.0822135216799253,0.0256918605709088,0.13818479924353433,57863,6749
m15_vwap_dist_d1,-0.09318679799072394,0.007131908455950883,-0.0749933771875821,0.0037956547421447,-0.1378892163297499,57905,6749
m15_bb_pctb_d1,-0.013012151210893885,0.01148508770432389,-0.0058047600256101,0.0095148606403401,-0.13761539169825476,57907,6749
m15_higher_low,0.4079054112367308,0.47444065787524076,0.0,0.0,-0.1351564151235181,57935,6749
h1_hammer,0.10465176490894969,0.1463920580826789,0.0,0.0,-0.13404450118205022,57935,6749
btc1_kdj_k,48.47810327532657,51.478329339282894,46.64526808614791,53.13388725387607,-0.13353755910443874,57935,6749
m15_wpr_d1,-1.2355369024041623,0.9536721828862097,-0.23894896712397434,0.0,-0.13312510045259757,57910,6749
btc1_cmo,-3.9268373861334678,0.6883118365242064,-4.131573900829795,1.4173506700105023,-0.1329720045903642,57935,6749
h4_ppo_hist_acc,-0.024285188842090095,0.0002998558458216998,-0.01747536660440515,0.0011644720146956,-0.13130995005925933,57896,6749
h1_vwap_dist_acc,-0.24824351739572567,0.0018873250423952494,-0.2035609996640541,-0.0024350601769418,-0.1311026857112717,57875,6749
btc1_mfi_d3,-1.8234230286653053,-0.23379840649318345,-1.3593585056963846,-0.2080270850471848,-0.13071564531065202,57896,6749
h1_bull_engulf,0.05371537067403124,0.08386427618906504,0.0,0.0,-0.13029081137754103,57935,6749
h1_er10_d1,0.02293312468084221,0.0008088936460120511,0.0172043010752693,0.0,0.12886179754350244,57889,6749
h4_donch_pos,0.42023850875281116,0.38495417527470266,0.3875,0.3249999999999996,0.1286765823701661,57755,6749
h4_stoch_spread_d1,-0.9073295475040616,0.13236873539459462,-0.6604872193550921,0.2939904603937151,-0.12784236664178805,57638,6749
btc1_kdj_spread_d3,-1.3593459907247958,-0.05072418404398639,-1.2096564245998422,0.1213600984133407,-0.12744836987128294,57935,6749
h1_rsi,45.84028801482934,47.41925511887539,45.70391819490736,47.78185295142038,-0.1274067304639482,57887,6749
h1_di_spread_acc,-0.8322690062236516,0.04631083830759186,-0.7484992524087559,0.0018112979420674,-0.12711574343733997,57889,6749
h4_rsi_d1,-0.7046914006211188,-0.10170563274649826,-0.7499093375361383,-0.0551799357473399,-0.12674594043085463,57788,6749
h4_donch_pos_d1,-0.01771130281374819,0.00031163437755408276,-0.0125825508268552,0.0,-0.126463421196054,57744,6749
btc4_roc4_d1,-0.18064300509467607,-0.012876928708383339,-0.1173579636578381,-0.0304055037542383,-0.12639238768995503,57935,6749
h1_chop14_d1,-0.7197474720891195,-0.10049225174871146,-0.0962432401228454,0.0,-0.1263794192894788,57887,6749
h4_vwap_dist_d1,-0.3435305292870412,-0.04406843061947187,-0.23566094859040548,0.010230466605432,-0.12473061516339896,57708,6749
btc1_obv,911224.478240567,904995.5088832396,929035.600089998,930256.0167299976,0.12399644471818663,57935,6749
h4_bb_pctb_d1,-0.024179894981646615,-0.0016940407560659255,-0.0169485855701989,0.0089278449197557,-0.1237348578093326,57744,6749
btc1_bb_width_d3,0.0010808908365573463,9.769779412324334e-05,0.0002672738394931,-0.0001633077006303,0.12322765537340723,57935,6749
h1_adx_d1,0.15246720166457292,0.0025531177688088384,0.0929365390295089,-0.1100350693732927,0.12310268227461027,57867,6749
btc4_mfi_d3,-0.5450876724841539,-2.0087120250061967,-0.359670315076535,-2.4359466083476704,0.12289081852897524,57935,6749
h1_stoch_spread_d3,-1.9685360653036812,0.0719922278556649,-1.4648549405282356,-0.1162688747099949,-0.12251440084971217,57846,6749
btc1_turn4,0.15306809355311987,0.19765891243147132,0.0,0.0,-0.12242507083536362,57935,6749
btc1_cmf_d3,-0.015036260840468487,-0.00211187730437005,-0.0109888921583852,-0.0002469648799755,-0.1222612743669275,57935,6749
btc1_stoch_spread_d1,-0.9450682366360716,0.0951565011117803,-0.727693701037424,-0.3925192427804571,-0.12087541220097411,57935,6749
h1_er10_d3,0.03393995060099359,0.003535634310280443,0.02983785874979835,2.220446049250313e-15,0.12052988568220067,57884,6749
btc1_stoch_d,47.704293579849846,51.4297319614051,47.35181694614405,52.200634081685145,-0.12023688507375681,57935,6749
h1_rvol20_d3,0.19242689879698893,0.012424578692725721,0.08106408831266204,0.0077996737794834,0.12015296663401911,57882,6749
h1_bb_width_acc,0.001012615445660146,1.9949052450382662e-05,0.000253493407612,-5.5368447759596845e-05,0.1185325936481569,57882,6749
h4_higher_low,0.4431457182320442,0.5017039561416506,0.0,1.0,-0.11779879378288126,57920,6749
h4_stoch_k_d3,-1.1162594479826522,2.2886689022881934,-0.4883264543396869,3.2817658646567747,-0.11755577608803877,57638,6749
btc1_stoch_k_d3,-4.054037632963105,-0.6927290127737884,-2.5201170353241764,-0.1837957219194095,-0.11662517835423944,57935,6749
h4_donch_pos_d3,-0.02238123667990211,0.003297082716764988,-0.01646881629295495,0.0091448643410854,-0.11624774175254608,57728,6749
h4_kdj_k,45.2751115746488,42.760303189817364,43.31106340199466,40.18427421277754,0.1155008369876886,57848,6749
m15_kdj_spread_d3,-1.0229439267443488,0.12657227603891202,-0.696272509909889,-0.0568658641830168,-0.1152933172816899,57916,6749
h1_atr_pct_d3,0.059158497315875545,-0.001107547227642724,0.0016368471053001,-0.010730152473653,0.11490576171555268,57886,6749
h4_kdj_spread,-0.6908390875215793,0.29402935352502674,-0.8164173076176908,0.2495901740986994,-0.11466865262376964,57848,6749
h1_motion_rise,-0.2799281792755775,0.0062231441695065936,0.0,0.0,-0.11408324790256918,57922,6749
h4_ppo_hist_d1,-0.023840174358462814,0.001012967735132928,-0.0177520582115867,0.0084463090191326,-0.11333061075588047,57906,6749
h1_bb_pctb_acc,-0.031277001549450185,0.0005179616673225441,-0.02697784822712925,-0.0030377763897405,-0.11245004931873366,57880,6749
btc4_tsi_acc,-0.213873998345597,-0.007369418158162271,-0.1224255952254331,0.09724322517871,-0.11143248172285455,57935,6749
btc1_adx_d1,0.11106370104724068,-0.02009249870407734,0.0523913798799853,-0.126184385969271,0.10996854824409329,57935,6749
btc4_kdj_k,51.11842640730276,48.749273784656054,49.80728587752907,45.687029690114,0.10978596306328316,57935,6749
btc4_ppo_hist_acc,-0.008331420319919063,-0.00044912247229225726,-0.0051373056030851,0.0002994682182953,-0.10936346815306201,57935,6749
btc1_rsi,48.101106133318886,49.482899580967995,48.17624877606293,49.00501453304382,-0.10911384007310755,57935,6749
h1_atr_pct_d1,0.036098623906659834,-0.00026555126650515805,0.0002865635491429,-0.0057186902087031,0.10897828208399551,57889,6749
btc4_vwap_dist_d1,-0.1206148453267494,-0.015808775166504672,-0.042468647017857,-0.0115273259886139,-0.10874497982125281,57935,6749
h4_bb_pctb,0.43098635003183783,0.39509711846750845,0.4020211751674499,0.3337117167147572,0.10852935866254115,57755,6749
h4_roc4_acc,-0.6027987134365723,-0.04104054883534101,-0.3816381217326192,-0.0018908562572583,-0.10840485552140956,57873,6749
btc1_mfi,47.89466514073936,49.93258634295602,47.24108273552278,51.047015044355,-0.10783026015878545,57926,6749
btc1_di_spread_acc,-0.678332060745018,0.04314868217884148,-0.4640216256272111,0.0211175255271953,-0.10782916754462962,57935,6749
h1_roc12_acc,-0.2791234273911467,-2.3829585340989246e-05,-0.2231769071415534,0.0016187516187704,-0.10696215925779957,57889,6749
btc4_rsi,49.571076085495896,50.8326924687672,49.1029265800222,49.386178073625565,-0.10536752282392073,57935,6749
m15_structure,0.4406144817467852,0.4929619202844866,0.0,0.0,-0.10536207998097895,57935,6749
btc4_macd_hist_d1,-7.616693632410742,0.7356900564178565,-5.657231478924928,6.4270560477296925,-0.10339853688634748,57935,6749
btc1_stoch_spread_d3,-1.5415841465627211,0.1769475492254223,-1.339985402177592,-0.6765902254163976,-0.10298329102897794,57935,6749
h4_body_frac,0.45021239156411386,0.4237120752398789,0.45098039215686203,0.4166666666666667,0.10297397566362534,57918,6749
btc4_stoch_k_d1,-0.8428572152632288,0.4097757018949873,0.0,0.0,-0.10266265436075149,57935,6749
btc1_vwap_dist_acc,-0.07252212839163623,0.003429773420653091,-0.0564752249852418,0.008216952375617,-0.10250031627795961,57935,6749
btc1_bb_width_acc,0.00025941063956141605,-5.107093129014214e-07,-2.7275179641165874e-06,-0.0001096772353024,0.10143879481002198,57935,6749
h4_bb_pctb_d3,-0.030443628625778787,-0.0011804666431048801,-0.01766708429501565,0.0180276933507959,-0.10132075751844986,57728,6749
h4_di_spread,-1.8391694800402467,-3.2847406152436354,-2.4669510797577203,-2.9770768064191344,0.10128058266293846,57809,6749
btc1_rvol20_d3,0.12427479150143117,0.004481644565338444,0.048822783525718,-0.0029335436744285,0.10087198117657464,57935,6749
btc4_stoch_spread,-0.6333395882502465,0.4544007961883861,-0.2923816108857,0.0,-0.09931817440728004,57935,6749
btc4_wpr_d1,-1.880609051578974,-0.1871179593669033,-0.5846873461347997,-0.1123015873016584,-0.09917025814371798,57935,6749
btc4_motion_pos,2.1083973418486233,2.3256778782041785,1.0,2.0,-0.09909289743709232,57935,6749
h4_bull_engulf,0.06797306629834254,0.09334716254259891,0.0,0.0,-0.09908758448373886,57920,6749
btc4_ppo_hist_d1,-0.007316901775487033,0.0007583218452562257,-0.0060286467651815,0.0055027399042257,-0.09833487687731576,57935,6749
m15_kdj_spread_d1,-0.2797338506693087,0.1881042921935849,-0.07473536627987795,0.1822167495974156,-0.09792218345159864,57916,6749
h1_roc4_acc,-0.2611816339918766,-0.0026439374350758047,-0.2074996909725679,0.0005036218806764,-0.09729825871856508,57905,6749
btc4_stoch_spread_d3,-1.0287638694545083,0.5713311500053877,-0.8960921167174263,0.9230410206151198,-0.0963085954246001,57935,6749
