candidate,split,n,mean_ret_3h,median_ret_3h,win_3h,mean_ret_6h,median_ret_6h,win_6h,mean_ret_12h,median_ret_12h,win_12h,mean_ret_24h,median_ret_24h,win_24h,mean_mfe_12h,mean_mae_12h,mfe_gt_1_12h,ret_gt_1_12h,mean_ret_12h_ci_low,mean_ret_12h_ci_high
CTX2+trig4s+H1recent2h,train_2024_2025,998,-0.03018828883429908,-0.03515805164052144,47.394789579158314,-0.012687750327892973,-0.0061418057675066695,49.79959919839679,0.001940850774749008,0.03754344118176434,51.40280561122245,-0.030678566881390413,0.020207378215941763,50.40080160320641,1.2642365971691183,-1.2971112682390713,46.6933867735471,23.04609218436874,-0.10959786945809859,0.10301816710391447
CTX2+trig4s+H1recent2h,holdout_2026,340,-0.031143424851691522,-0.055621304609582145,45.588235294117645,-0.03326343785470313,-0.08830084252312576,44.41176470588235,-0.022824470126570767,-0.05962895449588279,49.11764705882353,-0.07099274958573683,-0.06482636881031123,48.23529411764706,1.0908427986379476,-1.12203544430632,39.705882352941174,16.470588235294116,-0.1772589337396809,0.14909146168627516
CTX2+trig4s+H1recent4h,train_2024_2025,1397,-0.02875736484971775,-0.017928641318254446,47.602004294917684,0.00879671683120348,-0.014931240718285554,49.033643521832495,-0.004508907463465716,0.01675516087844553,50.6084466714388,0.022297033113290312,-0.012586318833729404,49.74946313528991,1.2820328262460414,-1.3277434859405934,46.38511095204009,22.261989978525413,-0.1030999442865698,0.08484341152515851
CTX2+trig4s+H1recent4h,holdout_2026,489,-0.02576936623676993,-0.05622436830268196,44.171779141104295,-0.03054724692443917,-0.06517528934300021,46.62576687116564,0.0024157752076987473,0.006230379579053036,50.511247443762784,-0.00284118076778118,0.012247376955110134,50.306748466257666,1.120493487460694,-1.1539098342899397,41.513292433537835,17.38241308793456,-0.141660955624013,0.1265864347140776
H4turn16h+H1turn4h+trig4s,train_2024_2025,1782,0.006979127967606614,-0.013892583851171647,48.31649831649832,0.028689691307029204,0.002269666397791692,50.11223344556678,0.07103449110857303,0.05205838652828643,51.57126823793491,0.10296481726075327,0.0863186123501003,52.46913580246913,1.2796203263248196,-1.2516947066838582,45.230078563411894,22.16610549943883,-0.01110988769705679,0.15074715907749173
H4turn16h+H1turn4h+trig4s,holdout_2026,620,-0.0112307668730152,-0.04232076907590976,46.12903225806452,0.02974112193754802,-0.03570630312484946,48.225806451612904,0.05931983356980238,0.02198989329948997,51.45161290322581,0.14895507775538006,0.09894353236803433,53.064516129032256,1.1238019075552688,-1.0929413126881513,42.41935483870968,18.548387096774192,-0.058760684113381874,0.17751150001444987
CTX2+trig5,train_2024_2025,1601,-0.033852151238385274,-0.01422291006173415,48.53216739537789,0.00481800326730018,0.0005686581617148079,50.031230480949404,-0.0030814522661158253,0.0024016507345958615,50.031230480949404,0.01797357163855053,-0.020286499697652616,49.65646470955652,1.2720062131363303,-1.3397270676686446,44.65958775765147,22.11118051217989,-0.0950814696166647,0.08790460963701098
CTX2+trig5,holdout_2026,577,-0.056124008326484835,-0.0818269696709173,41.94107452339688,-0.05535096309174811,-0.03165837415182171,47.66031195840554,-0.04323172835258344,-0.04418065951633521,48.7001733102253,0.029547191389329243,0.03715914110227203,50.77989601386482,1.0983759473459735,-1.1859507913520764,40.20797227036395,18.717504332755635,-0.1701849179033228,0.07562101436097762
CTX2+trig5+H1recent2h,train_2024_2025,911,0.0006048414752989901,-0.033275411095468055,48.07903402854007,0.01921281391511019,0.0346160235728199,51.26234906695939,0.027362842253059533,0.019281941719184736,50.82327113062569,0.03490698803777579,0.02546598609141082,50.82327113062569,1.2775967651413027,-1.2804589911187487,46.65203073545554,22.39297475301866,-0.08243613095448865,0.14029084168644504
CTX2+trig5+H1recent2h,holdout_2026,310,-0.023320659895361518,-0.0598766213521118,43.87096774193549,-0.08069139741115149,-0.09726079820427946,44.193548387096776,-0.044534813414450286,-0.06574982552396413,47.096774193548384,-0.09116825302547191,-0.08682375604729398,47.74193548387097,1.0423960417346,-1.122145711776896,38.064516129032256,16.129032258064516,-0.20264821220749046,0.11707942898868764
CTX2+trig5+H1recent4h,train_2024_2025,1339,-0.04523998155393682,-0.017420058635031488,48.020911127707244,0.00873102255238243,-0.00235331875566569,49.813293502613895,-0.004311147814768757,0.005257050005358366,50.18670649738611,0.06624059997930933,0.022663893393604084,50.634802091112775,1.280907771554578,-1.3377268613842699,45.63106796116505,21.882001493651977,-0.10466575323402841,0.09623454386006032
CTX2+trig5+H1recent4h,holdout_2026,463,-0.03101799403628319,-0.07577060077952336,41.68466522678186,-0.046490012907910785,-0.05376410412766264,46.868250539956804,-0.01769127140182164,-0.041086384451816116,48.81209503239741,0.01743352184932637,0.028522220522253505,50.75593952483801,1.1032843204021714,-1.1398306041654789,40.8207343412527,17.71058315334773,-0.15244215989448215,0.11665758710759835
H4turn16h+H1turn4h+trig5,train_2024_2025,1711,0.0022044660055210883,-0.008996954167783677,48.74342489772063,0.014969273838346992,0.0008618083347400329,50.08766803039158,0.05648084276191264,0.003691393100524465,50.08766803039158,0.0924577061775424,0.06514988664394483,51.95791934541204,1.2603250759590887,-1.2657055819231835,44.30157802454705,21.56633547632963,-0.025228135799106346,0.14110600306144824
H4turn16h+H1turn4h+trig5,holdout_2026,594,-0.022168924553823535,-0.05335520961760043,44.27609427609428,0.018360150549629792,-0.030550435031717615,47.81144781144781,0.04252771409763051,-0.009308751970354967,49.66329966329967,0.13306031308407415,0.09081689193125575,53.198653198653204,1.1068953858656196,-1.0934893691670864,40.909090909090914,19.52861952861953,-0.07619353338235743,0.1590066359455193
