name,feature,family,side,q,threshold,disc_n,cal_n,disc_net24_imp,cal_net24_imp,disc_net72_imp,cal_net72_imp,disc_success_imp,cal_success_imp,disc_danger_imp,cal_danger_imp,score
btc4_bb_pctb_acc LE Q60(0.129705),btc4_bb_pctb_acc,bb_,LE,0.6,0.1297054594290131,1422,1074,0.10084395995063314,0.2841110018272206,-0.18611532995982838,0.0322930403098739,0.5729400929555126,-0.9439818230795396,0.8499503808891546,-0.6479627092044069,-0.12655007888566958
h1_mfi_d3 GE Q20(-5.59556),h1_mfi_d3,mfi,GE,0.2,-5.59556333906541,1891,1555,-0.025000515964246642,-0.025445634362864178,0.14066192809283007,-0.11431899464805861,0.36386624325216843,0.3830882997296854,0.09963483631164394,0.3757069573365186,-0.12685594498712488
h1_bb_pctb_d3 LE Q50(-0.0567319),h1_bb_pctb_d3,bb_,LE,0.5,-0.056731877545674,1182,945,0.06310698420268993,0.040993376228676826,-0.1865495006162261,0.03434246761263904,0.42301184433163996,0.4402515723270426,0.761421319796959,0.2920035938903922,-0.12702569717979223
btc1_di_spread_acc LE Q70(-0.0152456),btc1_di_spread_acc,di_spread,LE,0.7,-0.01524558083674856,1655,1387,0.0405088713038597,0.021369997468887902,-0.05899472650942128,0.21133635700759112,1.0948211081632309,-1.7339052809934756,0.8529247882384823,-1.8972595182278127,-0.1275870778348939
btc1_atr_pct_acc GE Q60(0.00591846),btc1_atr_pct_acc,atr,GE,0.6,0.005918459149053,947,726,0.26312872265749715,-0.05940646597086441,1.0816424337008126,-0.025147747723429315,-0.4398072459650848,0.5596271462480686,-1.4982748978428546,0.69866763691806,-0.12771392903010337
h1_di_spread_acc LE Q30(-5.62593),h1_di_spread_acc,di_spread,LE,0.3,-5.625931202098792,709,536,0.16108493310116434,0.3645667770741329,-0.098779438806058,0.18946161573320208,2.239874564160573,-3.9585875653180693,1.8172206988227302,-3.5666791827028277,-0.12778571631849228
btc1_mfi GE Q20(43.5202),btc1_mfi,mfi,GE,0.2,43.520216467242,1894,1471,0.0014992969166778974,0.06803993000610797,-0.12497772952990638,-0.14601990491469263,0.6161589631162201,0.37075991887889614,0.6136575203197623,0.22186450267719238,-0.12896052037810402
h4_donch_pos_d1 LE Q70(0.126485),h4_donch_pos_d1,donch,LE,0.7,0.12648459450450011,1655,1317,0.06967565711042914,0.02490027476989165,-0.04961361194979519,-0.08376520160874057,1.3365129510635398,-1.3263897842915355,1.5175773562143178,-1.5158569839018554,-0.1289737600456321
m15_bb_pctb_acc LE Q70(0.362857),m15_bb_pctb_acc,bb_,LE,0.7,0.3628572919944405,1655,1388,-0.008913936619683802,0.0023054029224925943,0.30328545457951195,-0.13257239219562156,0.309322618737248,0.40342800524410904,0.12784925953758375,0.23939849805761781,-0.12964966506243625
h4_atr_pct_d3 GE Q50(-0.116941),h4_atr_pct_d3,atr,GE,0.5,-0.11694128571154935,1182,905,0.2009917335629403,-0.24649403960178262,0.45173862128178344,0.10893207918472336,-0.16920473773265599,-0.19817691140530513,1.015228426395943,0.6901444340201834,-0.12970437907881474
btc1_bb_pctb LE Q80(0.901201),btc1_bb_pctb,bb_,LE,0.8,0.9012005158110374,1894,1520,0.0050304557543380535,0.0600779293640481,-0.09909057371877972,0.21536446751183602,-0.6510004877813458,0.08206443782411554,-0.8118968619400135,0.16564603332229666,-0.1298280698366823
h4_atr_pct_d3 GE Q60(-0.0739616),h4_atr_pct_d3,atr,GE,0.6,-0.07396155072081584,946,740,0.2901712400839443,-0.33071628406481757,0.845802184256549,0.18878001680492063,-0.1861967568495757,0.6955068275822995,0.870170242145214,0.9462292481160404,-0.13011876512247994
m15_vwap_dist_acc GE Q20(0.330203),m15_vwap_dist_acc,vwap,GE,0.2,0.3302027500102689,1891,1614,0.04367871962602971,-0.0559782453603378,0.06065074198334219,-0.0782738304285775,0.6282766081384707,0.3245968841816449,-0.1118934555974036,-0.28036909744140814,-0.1301215512122941
btc1_adx LE Q70(33.195),btc1_adx,adx,LE,0.7,33.19500085003046,1655,1369,0.1417510110674803,0.14310860597496466,-0.14326667342075095,-0.3118040063206102,1.4573588725136801,0.6772453228343096,1.8801151205647741,0.9644907528640374,-0.13044582051081988
h4_donch_pos_d1 LE Q60(0.0977328),h4_donch_pos_d1,donch,LE,0.6,0.09773283978911843,1418,1138,0.06050368354096246,0.029860969479156507,-0.11101631127353173,-0.02561948740545783,1.2525684992804642,-0.9325271818225431,1.5351332517141287,-1.0665480282816162,-0.13046211781468384
btc4_roc4_d3 LE Q40(0.396116),btc4_roc4_d3,roc,LE,0.4,0.3961163430219574,946,726,-0.029608207332734116,0.09418357201644456,-0.06299826891960003,0.923557588533651,-0.8204462283083487,-0.542301228407581,-0.6097451912585825,-0.6787428314014932,-0.13079471972961448
h4_tsi_d3 LE Q80(4.87237),h4_tsi_d3,tsi,LE,0.8,4.872365550321449,1891,1584,-0.025114973770379592,0.004597229358289434,-0.07425228807441497,-0.08310167410090363,-0.4822469243840075,0.6170192490947173,-0.4291858934609607,0.5896226415094361,-0.13126777347202265
m15_cmo_acc GE Q30(8.01902),m15_cmo_acc,cmo,GE,0.3,8.019020740335973,1655,1361,0.033812597672741064,-0.0031880181410013364,0.04068208371186188,-0.04848368061797015,0.4905915009124797,-1.5370526974092655,0.3695411024378856,-1.682501613531798,-0.1314333119518854
h4_roc4_d3 LE Q70(3.25609),h4_roc4_d3,roc,LE,0.7,3.2560927878233743,1655,1222,0.17719692582603688,-0.1411064391198139,0.3114696878782538,0.08168522851297821,0.43016854018740247,-1.563749155077943,0.8529247882384823,-1.2732160564356434,-0.13179800638788686
h1_cmo_d3 LE Q50(2.37685),h1_cmo_d3,cmo,LE,0.5,2.3768502741436084,1182,923,-0.07931125655910258,0.04957260844347766,0.04784869905303912,0.28470277417291256,-1.015228426395936,-1.9625412530009925,-0.592216582064296,-2.0880889270472096,-0.13210057363703742
h1_bb_width_d3 LE Q20(-0.0126527),h1_bb_width_d3,bb_,LE,0.2,-0.01265269564910714,473,458,-0.04772364317850063,0.3183180552570499,0.4964185044652215,0.10460231714789525,-3.3574441141434406,4.1860060604396025,-4.4152420200112275,3.085377129622003,-0.13214948985513314
btc4_di_spread_d3 LE Q60(4.77287),btc4_di_spread_d3,di_spread,LE,0.6,4.772871912938806,1418,1154,0.04161313414376325,0.03390171390979679,-0.10756120370566702,0.29918953769713985,-0.5104780451483109,-1.1464998237831026,-0.22791329271464633,-1.207267402780957,-0.13219983256498244
btc1_bb_pctb_acc GE Q20(-0.290464),btc1_bb_pctb_acc,bb_,GE,0.2,-0.29046379641368225,1891,1545,0.10140810201650192,-0.005435669769732199,-0.019640223032271864,-0.1201379872467595,-0.2178365594976981,2.1662494148297355,-0.006129309642879832,2.1659441086075972,-0.13223133999428024
h4_rvol20_acc GE Q40(-0.0183804),h4_rvol20_acc,rvol,GE,0.4,-0.018380439078696957,1418,1139,-0.06208557420587878,0.11698905120209946,-0.033370453733794214,0.10446694794717393,-0.6515217687026151,1.1445731019339078,-0.8626100487090014,1.273092546884513,-0.1322538819749315
h1_cmf_d3 LE Q80(0.0583411),h1_cmf_d3,cmf,LE,0.8,0.05834106595740916,1891,1443,-0.011583202078318283,-0.06888655033001534,-0.017433127843686114,0.10538468231401343,-0.9053035082020884,-0.0494689173934475,-0.9580066232335653,-0.38779708591029305,-0.1326389158844354
btc1_bb_width_d3 GE Q70(0.00204768),btc1_bb_width_d3,bb_,GE,0.7,0.0020476826470234,710,547,-0.02154644412831913,-0.06693777535945811,0.33941387087590436,0.08670333586351098,0.48974047329663506,-3.1226165974881113,0.346988870617956,-2.9435380328761056,-0.13278369807811258
h4_cmo_d3 GE Q30(-1.90743),h4_cmo_d3,cmo,GE,0.3,-1.9074345481358026,1655,1308,-0.03929006226930527,0.21772977739493415,-0.05767285233649444,-0.027493953657890646,-0.5970217921388823,1.6583963225818792,-0.8993410727887081,1.7810089819783386,-0.13286038982574033
btc1_adx_d3 GE Q30(-1.85969),btc1_adx_d3,adx,GE,0.3,-1.8596853910136204,1657,1276,0.11450491290307196,-0.16764916857158862,0.15645260034492658,0.13073316326095052,1.1654908111718,-2.043203669748891,0.9218441580456016,-1.7331742933564698,-0.13287560127023423
btc1_chop14_d3 GE Q30(-3.99526),btc1_chop14_d3,chop,GE,0.3,-3.995261315788259,1656,1327,-0.007267582322187327,0.054425418879881504,-0.13864276989109536,0.21914528891923624,0.2847666691189019,0.9811541931090915,0.2231540744010445,1.0862524665115316,-0.13290427065169474
h1_tsi_d3 GE Q30(1.3099),h1_tsi_d3,tsi,GE,0.3,1.3098963008072821,1655,1327,-0.0749527411306072,0.2964809366714879,-0.06991001638180705,0.15443219006145203,0.309322618737248,2.4129552481203973,0.12784925953758375,2.593411471786581,-0.1330260937595451
m15_di_spread_d1 LE Q60(4.36643),m15_di_spread_d1,di_spread,LE,0.6,4.366427830555536,1418,1098,-0.13525929586027086,0.19864014830696763,0.23236310285034334,0.05082127087733279,-1.0041310775883687,-0.05155170636147943,-0.9331319104861535,-0.24143382479293507,-0.1332245955203122
h1_mfi_d3 LE Q80(11.5665),h1_mfi_d3,mfi,LE,0.8,11.566533544695092,1891,1441,-0.04325417455276023,0.04497108430571983,-0.04717144241421156,-0.03248867364226038,-0.693775216293048,-0.8335551976629318,-0.4820679664382297,-0.8932403394451569,-0.1332970796857629
h1_roc4 LE Q70(0.902885),h1_roc4,roc,LE,0.7,0.9028846465347669,1655,1277,0.06867985650019168,0.004604098988586269,-0.1767495280175193,-0.03542766990478552,0.7927063045378588,0.6716967998568393,1.0946166311387913,0.902312974755759,-0.13394826553811268
btc1_roc12_d1 LE Q50(-0.172833),btc1_roc12_d1,roc,LE,0.5,-0.1728332823639489,1182,899,0.008196858138219645,-0.21186544168313737,0.5777712157896869,0.11476823272719461,-0.5076142131979751,0.3685669845134214,-1.0998307952622568,0.04658099029203555,-0.13432225125712716
btc4_adx_acc GE Q30(-0.177504),btc4_adx_acc,adx,GE,0.3,-0.1775036674702654,1656,1226,0.015598058203258942,0.042979659303229,-0.16784436012261994,0.19706347417358494,0.4055396159788103,1.426294711714391,0.28354054783099514,1.2228925345672579,-0.1344093024833768
btc4_rvol20_acc LE Q60(0.275271),btc4_rvol20_acc,rvol,LE,0.6,0.2752714315620223,1418,1046,-0.02767474247286683,0.16249543629778063,0.034979928395335924,-0.11328820787149263,-0.01682501270826009,1.0223633207867806,0.3362616015025637,1.1645642178850437,-0.134742468695556
btc1_bb_pctb_d3 GE Q20(-0.225893),btc1_bb_pctb_d3,bb_,GE,0.2,-0.22589269900848424,1891,1558,-0.07320273672825102,-0.06558606258361555,-0.04639503492523367,0.043844676422638784,-0.2178365594976981,-0.32711399606548497,-0.1118934555974036,-0.27241558413597033,-0.13485950321816867
h4_er10_acc GE Q20(-0.2124),h4_er10_acc,er10,GE,0.2,-0.2124002473774762,1891,1523,-0.03603606411407906,-0.01556040049359897,0.018896365972884577,-0.03936495521194039,-0.42936485140674563,-1.1691450863145292,-0.21765760155191316,-1.2192159081367322,-0.13485969007818996
h1_vwap_dist_d3 LE Q50(-0.0655546),h1_vwap_dist_d3,vwap,LE,0.5,-0.0655545749085608,1182,924,0.17325277940457529,-0.16707186202239066,0.1609460824120016,-0.020135297649475414,1.607445008460239,1.140107272182746,1.522842639593911,0.9052792071660036,-0.1348983573630636
btc4_ppo_hist_d3 LE Q70(0.136008),btc4_ppo_hist_d3,ppo,LE,0.7,0.13600813407215356,1655,1408,0.04095022817398114,0.06792800595211657,-0.18001292456736417,0.022547454516918752,0.007207815111875959,0.9642414713169387,0.1882722202626539,1.070998904135699,-0.13508101753477367
m15_cmo_acc GE Q70(25.1884),m15_cmo_acc,cmo,GE,0.7,25.188440839378508,709,620,0.06089256261127717,-0.09035207523274735,0.07971353106346135,0.234407746319656,1.2525684992804642,-2.3733684993575466,1.2530458046055202,-2.667545817271929,-0.13519051549545097
h1_adx_acc GE Q60(0.0765372),h1_adx_acc,adx,GE,0.6,0.07653723187868722,946,826,-0.09451820014528144,-0.010532796962318125,-0.038754413110284824,0.7543221409773735,0.13092797887981078,0.23578560514921065,-0.2926204555292031,-0.01738569854975225,-0.13519718299975603
h1_tsi LE Q70(12.6193),h1_tsi,tsi,LE,0.7,12.619325910375638,1655,1485,-0.03560274087402268,-0.0058934954098318615,-0.12373863685911524,0.2295118509454006,0.43016854018740247,0.9116320437075132,0.5508099846131103,0.9557842576710485,-0.13542012183525365
h4_bb_pctb_d3 GE Q30(0.050379),h4_bb_pctb_d3,bb_,GE,0.3,0.05037896281250756,1655,1339,-0.14198352128583913,0.43094469367027055,0.028567843769474632,0.39245719117211586,-0.4761758706887278,3.3462344783099525,-0.41595738698809726,3.6645749276267665,-0.13602010137678827
m15_tsi_acc GE Q60(2.11422),m15_tsi_acc,tsi,GE,0.6,2.114223466211395,946,740,0.011854142314518964,0.030870011755708915,-0.13051942047879872,0.4195522595955018,-0.39761324733583336,0.6955068275822995,-0.2926204555292031,0.8110941129809035,-0.13644608469493882
m15_tsi LE Q80(19.6482),m15_tsi,tsi,LE,0.8,19.64821563040993,1891,1539,-0.0235461484658155,0.03360715496860833,-0.08684360473906838,0.09936838639923817,-0.5880110703385242,1.2069832162516647,-0.4291858934609607,0.9510586389103395,-0.1366138031842588
h1_er10_acc LE Q70(0.0726976),h1_er10_acc,er10,LE,0.7,0.07269756185234752,1655,1302,-0.04504760343488208,0.18757368480364855,-0.1192802091878612,-0.0929182861094543,0.5510144616375499,2.5959095344366148,0.5508099846131103,2.8777690828816773,-0.13678117908135456
btc4_cmo_acc GE Q40(3.06985),btc4_cmo_acc,cmo,GE,0.4,3.0698460433142953,1418,1244,-0.23065654161010185,-0.06609589465290788,0.13980415589342976,0.15921285268261254,-0.580999906925463,-0.8709309928748183,-1.0036537722633057,-0.9265438465220086,-0.13705339094818275
h1_ppo_hist GE Q20(-0.0187153),h1_ppo_hist,ppo,GE,0.2,-0.01871528091815757,1891,1562,-0.10576981322159464,0.23471647125740763,-0.040063676140801974,0.0652446412904768,0.1523379513431209,2.592762598077499,0.2053989822661677,2.7725433983738554,-0.13715537117677962
h1_donch_pos_d3 LE Q40(-0.0762156),h1_donch_pos_d3,donch,LE,0.4,-0.07621559617620932,946,749,0.11142330622641242,0.06519842918530638,-0.21964797686750936,0.2976026866442427,0.2366362241229396,0.5322260568248893,0.5530455064158346,0.4996879137242374,-0.13735670268403002
