name,a,b,family_a,family_b,disc_n,cal_n,disc_net24_imp,cal_net24_imp,disc_net72_imp,cal_net72_imp,disc_success_imp,cal_success_imp,disc_danger_imp,cal_danger_imp,score
btc1_vwap_dist_d1 LE Q20(-0.503192) & m15_ppo_hist_acc GE Q80(0.0753278),btc1_vwap_dist_d1 LE Q20(-0.503192),m15_ppo_hist_acc GE Q80(0.0753278),vwap,ppo,199,139,0.23573877855559106,2.3538362297047066,4.498971844862436,2.659318439873619,-6.686988240695868,18.122106088713934,-8.379035618022428,17.021477157896328,2.5268668588478858
btc1_roc4_d3 LE Q30(-0.481176) & btc1_vwap_dist_d1 LE Q20(-0.503192),btc1_roc4_d3 LE Q30(-0.481176),btc1_vwap_dist_d1 LE Q20(-0.503192),roc,vwap,239,199,0.7619910443908324,1.0741408719067744,3.2054628563600174,1.4839914033032953,6.088184695112886,13.125902046922235,4.814547359627326,12.527785678918704,2.5249189357400605
btc1_roc4_d1 LE Q20(-0.766142) & btc1_tsi_d1 LE Q30(-0.211069),btc1_roc4_d1 LE Q20(-0.766142),btc1_tsi_d1 LE Q30(-0.211069),roc,tsi,212,154,0.6608474568189737,1.858230508520902,3.205128078242515,1.6647906239090107,4.4559908054784,12.287293419368886,3.235641541359392,11.836015137901938,2.5240306357195244
h1_atr_pct_d1 GE Q80(0.0524861) & m15_ppo_hist_acc GE Q80(0.0753278),h1_atr_pct_d1 GE Q80(0.0524861),m15_ppo_hist_acc GE Q80(0.0753278),atr,ppo,251,221,0.5371133100370432,1.3560410855686311,3.189575577876754,2.14707271322273,-2.905130746051327,8.323610043920809,-4.597178123377887,7.222981113103202,2.505088538410676
btc1_atr_pct GE Q60(0.732295) & m15_roc12_acc GE Q80(1.37304),btc1_atr_pct GE Q60(0.732295),m15_roc12_acc GE Q80(1.37304),atr,roc,256,240,0.9062804424406615,0.5683141496992937,3.877732450438442,1.8008904464244526,3.0040450507614196,3.6346960167714855,2.0932476734348597,2.534067085953872,2.501190901115286
btc1_bb_width GE Q80(0.0434586) & btc1_roc4_d3 LE Q30(-0.481176),btc1_bb_width GE Q80(0.0434586),btc1_roc4_d3 LE Q30(-0.481176),bb_,roc,203,156,0.8033099754097139,1.4289642476521318,1.4753802198572532,2.252332171271732,4.472256257657975,28.987260119335588,3.7654305552082548,28.527656829543623,2.4881664941008714
btc1_roc4_d1 LE Q20(-0.766142) & m15_atr_pct_d3 GE Q80(0.0315324),btc1_roc4_d1 LE Q20(-0.766142),m15_atr_pct_d3 GE Q80(0.0315324),roc,atr,158,105,0.8190058936043054,2.545213998323951,4.773996083412159,1.8291672877308942,-3.0135577973398497,22.027553159628624,-4.70560517466641,20.926924228811025,2.463654343921676
btc1_ppo_hist_d1 LE Q20(-0.0309186) & h1_atr_pct_acc GE Q80(0.0723118),btc1_ppo_hist_d1 LE Q20(-0.0309186),h1_atr_pct_acc GE Q80(0.0723118),ppo,atr,217,135,0.07090042082283249,2.4165952025067985,3.1965249102497637,2.662845421078573,-4.8714589814966445,13.03284416491963,-6.563506358823204,11.932215234102031,2.456331945280042
btc1_atr_pct_d1 GE Q80(0.0207423) & btc1_roc4 LE Q20(-0.189272),btc1_atr_pct_d1 GE Q80(0.0207423),btc1_roc4 LE Q20(-0.189272),atr,roc,216,164,1.1559549796030653,1.062770798296432,2.622043784718035,1.3127346898191226,2.237262643354015,17.323720407015387,0.545215266027455,16.22309147619778,2.4535276727367243
btc4_adx_d3 GE Q80(2.8644) & btc4_rvol20 GE Q80(1.45631),btc4_adx_d3 GE Q80(2.8644),btc4_rvol20 GE Q80(1.45631),adx,rvol,153,178,0.8278698504999285,1.3420667791592717,1.2177234186144887,2.635547434781336,8.66427789389867,15.446493769580478,6.972230516572118,14.907662591571857,2.4449662162628196
btc1_roc4 LE Q20(-0.189272) & btc1_tsi_d1 LE Q30(-0.211069),btc1_roc4 LE Q20(-0.189272),btc1_tsi_d1 LE Q30(-0.211069),roc,tsi,331,294,0.9991825949724653,0.8111697851747398,1.4744068045229062,1.7072646218857461,3.4513165764411795,4.680614384118421,2.665613609990757,4.600393616566123,2.442428359190697
btc4_mfi_acc LE Q30(-1.58929) & h4_ppo_hist_d3 GE Q80(0.373358),btc4_mfi_acc LE Q30(-1.58929),h4_ppo_hist_d3 GE Q80(0.373358),mfi,ppo,195,89,0.6376105989229647,1.6416956902725501,2.150265412748674,1.7013367148368534,6.311336717428084,1.9633477021647465,5.644930365742546,1.9863142769651176,2.437574030364063
btc1_di_spread_d1 LE Q30(-2.59029) & btc1_roc12_d1 LE Q20(-0.733136),btc1_di_spread_d1 LE Q30(-2.59029),btc1_roc12_d1 LE Q20(-0.733136),di_spread,roc,328,192,0.25771371091320244,1.5364613056652106,3.0784902863171664,2.443371496203808,-4.684598241921506,4.468029350104814,-6.376645619248066,3.3674004192872147,2.4330143474744035
btc4_bb_width GE Q80(0.0942267) & btc4_roc12 LE Q20(-2.18415),btc4_bb_width GE Q80(0.0942267),btc4_roc12 LE Q20(-2.18415),bb_,roc,196,248,-0.17065742919374077,0.9691969037041231,2.4444295983025537,3.2541336726145746,3.5222210711695823,5.610502468384389,2.340377775475673,4.913099344018391,2.426246356753414
btc1_atr_pct GE Q60(0.732295) & btc4_roc4 LE Q20(-0.378217),btc1_atr_pct GE Q60(0.732295),btc4_roc4 LE Q20(-0.378217),atr,roc,266,222,0.43774238487778083,0.4263585476030994,3.0211059166228615,1.92715940656324,2.12587305828022,5.8756870077624725,0.43382568095366025,5.22550852739532,2.4259706595338195
btc1_tsi_d1 LE Q30(-0.211069) & btc4_mfi_acc LE Q30(-1.58929),btc1_tsi_d1 LE Q30(-0.211069),btc4_mfi_acc LE Q30(-1.58929),tsi,mfi,265,104,1.451847866309272,1.2706685192324154,1.1951659966321015,0.9039141407961189,4.927688918685952,8.153926786002259,4.745075503623539,7.053297855184653,2.4173148376615834
btc1_di_spread_d1 LE Q30(-2.59029) & h1_atr_pct_acc GE Q80(0.0723118),btc1_di_spread_d1 LE Q30(-2.59029),h1_atr_pct_acc GE Q80(0.0723118),di_spread,atr,298,180,0.6242381674909736,1.3588658584441733,3.3032936574479255,2.024837746192493,-4.113719210983547,9.884696016771485,-5.805766588310107,8.784067085953872,2.409549005587758
btc1_tsi_d1 LE Q30(-0.211069) & m15_rvol20_d1 LE Q20(-0.380289),btc1_tsi_d1 LE Q30(-0.211069),m15_rvol20_d1 LE Q20(-0.380289),tsi,rvol,174,129,1.0094128695264943,1.3333181528983156,3.5721453729623427,1.0251429480757468,8.495244763405097,7.520354931500165,9.102047960791182,6.419726000682559,2.3885609855608974
btc1_atr_pct GE Q80(0.907279) & m15_ppo_hist_acc GE Q80(0.0753278),btc1_atr_pct GE Q80(0.907279),m15_ppo_hist_acc GE Q80(0.0753278),atr,ppo,174,155,0.44097988666829924,2.3107006862447754,5.547049014729674,2.2307481415752655,-5.297858684870761,13.916954081287614,-6.989906062197335,12.816325150470014,2.372994146453495
