name,n,symbols,h1_confirm_pct,net12_mean,net12_median,net12_win_pct,mfe12_mean,mae12_mean,excursion_edge_mean,upside_dominates_pct,mfe_ge_1_pct,mfe_ge_2_pct,model,quantile,threshold,selected_frac,score
CONFIRM_RF_q80,253,68,84.58498023715416,-0.5386607435694004,-0.3949317738791367,43.47826086956522,2.551174576826421,-2.863775811581897,-0.3126012347554763,47.43083003952569,65.61264822134387,44.26877470355731,CONFIRM_RF,0.8,0.6908004001941624,0.13690476190476192,-0.4634538003749105
RET_RF_q60,704,68,54.26136363636363,-0.6069014804451837,-0.37367552055904674,43.75,2.678657943379997,-3.261412795080611,-0.5827548517006149,45.028409090909086,69.0340909090909,47.72727272727273,RET_RF,0.6,-0.08104060990743876,0.38095238095238093,-0.5701227623598384
CONFIRM_RF_q70,443,68,81.03837471783297,-0.6915903531419657,-0.6460966542751077,40.85778781038375,2.3986505661251365,-2.9918294498462163,-0.5931788837210797,42.43792325056434,63.20541760722348,42.88939051918736,CONFIRM_RF,0.7,0.6391750406320906,0.23971861471861472,-0.6283473449357652
DOM_RF_q60,499,68,52.705410821643284,-0.6677120473565761,-0.5222341568206332,43.48697394789579,2.4556480357045145,-3.1713051024347374,-0.7156570667302233,42.88577154308617,67.93587174348697,46.49298597194389,DOM_RF,0.6,0.5348159820495109,0.270021645021645,-0.6364763485368395
DUAL_CONFIRM_WIN_q60,758,68,75.19788918205805,-0.6979200122785776,-0.5706457368596594,40.50131926121372,2.443178559154195,-3.0087051219670142,-0.565526562812819,42.0844327176781,64.37994722955145,43.13984168865435,DUAL_CONFIRM_WIN,0.6,0.5162734959266302,0.4101731601731602,-0.6396879199809041
DUAL_CONFIRM_WIN_q70,452,68,73.89380530973452,-0.7273694964152096,-0.5896792570034668,42.0353982300885,2.4639924346586866,-3.212371243780144,-0.7483788091214576,41.5929203539823,64.82300884955751,44.469026548672566,DUAL_CONFIRM_WIN,0.7,0.5525582301231102,0.24458874458874458,-0.6759270553791188
WIN_LOGISTIC_q90,129,60,54.263565891472865,-0.8540528639430409,-0.2,44.18604651162791,2.7254793000890043,-3.3276505413926674,-0.6021712413036631,42.63565891472868,65.11627906976744,44.96124031007752,WIN_LOGISTIC,0.9,0.7723435524961998,0.0698051948051948,-0.8178544352906779
WIN_RF_q60,566,68,53.88692579505301,-0.853290704424547,-0.7523475115933429,40.10600706713781,2.4255421087185254,-3.301200902072944,-0.8756587933544185,40.10600706713781,64.66431095406361,42.75618374558304,WIN_RF,0.6,0.502780093918936,0.30627705627705626,-0.8256735424301265
DUAL_CONFIRM_WIN_q80,201,64,70.64676616915423,-0.9037197644399984,-0.6914004914004843,42.28855721393035,2.2866921307197448,-3.510488115026585,-1.223795984306841,38.80597014925373,66.16915422885572,43.28358208955223,DUAL_CONFIRM_WIN,0.8,0.5956169810276676,0.10876623376623376,-0.8697868778000494
WIN_RF_q70,322,68,46.58385093167702,-0.9624142066205575,-0.8794395578322176,38.50931677018634,2.330298345781905,-3.4720822237954523,-1.1417838780135479,35.714285714285715,63.975155279503106,40.993788819875775,WIN_RF,0.7,0.5500377213174596,0.17424242424242425,-0.9500838720292869
RET_RF_q70,441,68,49.65986394557823,-1.0188893288524035,-0.6983388704318803,40.136054421768705,2.549943597907738,-3.6927078196805105,-1.1427642217727731,40.816326530612244,67.12018140589569,43.99092970521542,RET_RF,0.7,0.1323532370972696,0.23863636363636365,-1.0035123915600084
RET_RF_q80,236,67,44.06779661016949,-1.1341815812719849,-0.9090711750171063,38.983050847457626,2.469192553457436,-3.7358110902604817,-1.2666185368030463,34.32203389830508,66.10169491525424,42.3728813559322,RET_RF,0.8,0.49419987779632696,0.1277056277056277,-1.1281123407659068
