name,a,b,stable_dev,score,disc_veto,cal_veto,disc_bad_removed,cal_bad_removed,disc_clean_preserved,cal_clean_preserved,disc_delayed_preserved,cal_delayed_preserved,disc_net24_imp,cal_net24_imp,disc_net72_imp,cal_net72_imp
btc1_stoch_k_d1 GE Q70(1.25682) OR pre_dd_from_high_4h GE Q70(-0.582829),btc1_stoch_k_d1 GE Q70(1.25682),pre_dd_from_high_4h GE Q70(-0.582829),True,0.7980129860448988,49.407783417935704,46.80293501048218,53.63057324840764,50.78947368421053,52.09643605870021,55.37313432835821,56.22317596566524,58.56643356643356,0.12200849235120625,0.08416319522629367,0.7206511213184229,0.6341190173440382
m15_roc4 GE Q50(0.234584) OR btc1_donch_pos_d3 GE Q90(0.212789),m15_roc4 GE Q50(0.234584),btc1_donch_pos_d3 GE Q90(0.212789),True,0.7977606641747997,54.145516074450086,55.76519916142557,55.159235668789805,57.49999999999999,44.339622641509436,41.7910447761194,47.06723891273247,43.35664335664335,0.14241419622505486,0.17865010529594638,0.6350720760629506,0.6671207394445623
m15_close_ret4 GE Q50(0.234584) OR btc1_donch_pos_d3 GE Q90(0.212789),m15_close_ret4 GE Q50(0.234584),btc1_donch_pos_d3 GE Q90(0.212789),True,0.7977606641747997,54.145516074450086,55.76519916142557,55.159235668789805,57.49999999999999,44.339622641509436,41.7910447761194,47.06723891273247,43.35664335664335,0.14241419622505486,0.17865010529594638,0.6350720760629506,0.6671207394445623
m15_er10_d1 GE Q60(0.00984256) OR btc4_donch_pos LE Q10(0.241459),m15_er10_d1 GE Q60(0.00984256),btc4_donch_pos LE Q10(0.241459),True,0.7975683216798032,46.1082910321489,52.93501048218029,48.53503184713376,56.315789473684205,53.9832285115304,49.25373134328358,55.07868383404863,49.82517482517482,0.16664577596223717,0.3416195467711433,0.7131360818836793,0.5823877294178688
m15_ppo_hist_d3 GE Q80(0.0158154) OR btc1_bb_pctb_d3 GE Q80(0.157098),m15_ppo_hist_d3 GE Q80(0.0158154),btc1_bb_pctb_d3 GE Q80(0.157098),True,0.7961325783598949,36.632825719120135,39.41299790356394,39.10828025477707,41.18421052631579,64.57023060796647,61.940298507462686,64.66380543633763,58.39160839160839,0.29844859315574224,0.10918101541296621,0.7181045596220447,0.6515273104918918
h4_macd_hist GE Q80(0.00320368) OR btc1_stoch_k_d1 GE Q70(1.25682),h4_macd_hist GE Q80(0.00320368),btc1_stoch_k_d1 GE Q70(1.25682),True,0.7948726958990211,45.0507614213198,41.299790356394126,48.28025477707006,45.39473684210527,54.50733752620545,60.447761194029844,60.37195994277539,61.18881118881119,0.09853271199481956,0.08087995253295721,0.7938801009393485,0.6494028762510586
m15_adx_acc GE Q80(0.667864) OR btc1_stoch_spread_d1 GE Q70(-1.83159),m15_adx_acc GE Q80(0.667864),btc1_stoch_spread_d1 GE Q70(-1.83159),True,0.7944175858722278,43.401015228426395,44.077568134171905,44.07643312101911,46.71052631578947,54.821802935010474,55.67164179104478,59.227467811158796,60.13986013986013,0.17852773103387562,0.14074893082470352,0.64016029719567,0.8806348981759251
btc4_cmo_acc GE Q90(32.0256) OR pre_dd_from_high_24h GE Q50(-2.00467),btc4_cmo_acc GE Q90(32.0256),pre_dd_from_high_24h GE Q50(-2.00467),True,0.79346075555556,54.82233502538071,49.21383647798742,60.89171974522293,54.868421052631575,45.38784067085954,53.88059701492537,54.64949928469242,57.86713286713287,0.17332993016337225,0.2774001673731101,0.63716566246955,0.5070391338993046
m15_chop14 GE Q60(55.1317) OR m15_adx_acc GE Q80(0.667864),m15_chop14 GE Q60(55.1317),m15_adx_acc GE Q80(0.667864),True,0.7923769212777557,50.719120135363795,52.09643605870021,52.48407643312102,56.184210526315795,49.266247379454924,47.61194029850746,52.21745350500715,51.74825174825175,0.18615089579981747,0.3086338791535471,0.5709268995227937,0.8514710114173227
h4_chop14 GE Q50(50.0109) OR btc4_cmo_acc GE Q80(25.2725),h4_chop14 GE Q50(50.0109),btc4_cmo_acc GE Q80(25.2725),True,0.7917711211284744,60.10998307952623,56.132075471698116,62.54777070063694,60.131578947368425,41.299790356394126,42.68656716417911,41.201716738197426,51.39860139860139,0.1944459707888823,0.24102113951564108,0.5485693979173779,1.0880889661001596
h4_donch_pos_d3 LE Q30(0.0363804) OR pre_dd_from_high_2h GE Q60(-0.585504),h4_donch_pos_d3 LE Q30(0.0363804),pre_dd_from_high_2h GE Q60(-0.585504),True,0.7910107119103369,57.7834179357022,53.51153039832285,60.89171974522293,59.3421052631579,43.920335429769395,54.02985074626866,46.78111587982833,47.37762237762238,0.09056571685847235,0.4726328114200064,0.7278960560247175,0.6382789588614499
m15_ppo_hist_d3 GE Q50(-0.0211379) OR m15_er10_d1 GE Q70(0.055889),m15_ppo_hist_d3 GE Q50(-0.0211379),m15_er10_d1 GE Q70(0.055889),True,0.7906605093232463,61.8020304568528,61.32075471698113,64.71337579617834,63.421052631578945,39.937106918238996,40.59701492537313,40.486409155937054,38.63636363636363,0.008905993656373921,0.35459722988854636,0.7813183683895338,0.7397485573749161
btc4_cmo_acc GE Q80(25.2725) OR pre_dd_from_high_24h GE Q50(-2.00467),btc4_cmo_acc GE Q80(25.2725),pre_dd_from_high_24h GE Q50(-2.00467),True,0.7896101233957609,60.575296108291035,52.09643605870021,65.22292993630573,57.763157894736835,40.56603773584906,50.8955223880597,45.92274678111588,54.89510489510489,0.12762504613469466,0.3467263188826233,0.5690324007007722,0.6135194138275728
m15_ppo_hist_d3 GE Q60(-0.00980363) OR btc1_stoch_spread_d1 GE Q70(-1.83159),m15_ppo_hist_d3 GE Q60(-0.00980363),btc1_stoch_spread_d1 GE Q70(-1.83159),True,0.7884283175666162,56.09137055837563,54.71698113207547,57.19745222929936,57.10526315789474,44.9685534591195,47.16417910447761,44.06294706723891,45.45454545454545,0.1874895110437366,0.22141181303955015,0.5788171731044051,0.9351955064900895
m15_ppo_hist_d3 GE Q50(-0.0211379) OR h4_chop14 GE Q80(58.1804),m15_ppo_hist_d3 GE Q50(-0.0211379),h4_chop14 GE Q80(58.1804),True,0.7883427869441969,59.179357021996616,58.43815513626834,63.18471337579618,60.0,42.24318658280922,41.04477611940299,44.49213161659514,45.27972027972028,0.1438192025531309,0.2258866618795673,0.9942356626344032,0.6132866871164327
m15_kdj_spread GE Q80(3.88) OR m15_adx_acc GE Q60(0.326347),m15_kdj_spread GE Q80(3.88),m15_adx_acc GE Q60(0.326347),True,0.7875488030830937,50.84602368866328,52.358490566037744,52.22929936305732,56.57894736842105,49.895178197064986,47.01492537313433,50.500715307582254,51.39860139860139,0.23277669165170722,0.15788942388355853,0.8513081289764882,0.6019938657116544
h4_donch_pos_d3 LE Q30(0.0363804) OR btc1_bb_pctb_d3 GE Q80(0.157098),h4_donch_pos_d3 LE Q30(0.0363804),btc1_bb_pctb_d3 GE Q80(0.157098),True,0.7873424299547424,44.20473773265651,46.9601677148847,45.22292993630573,51.05263157894737,54.61215932914046,58.656716417910445,58.51216022889842,50.0,0.2072006665450558,0.34312324925109033,0.6117823470212412,0.5597779193367021
btc4_cmo_acc GE Q90(32.0256) OR pre_range_4h LE Q50(2.42148),btc4_cmo_acc GE Q90(32.0256),pre_range_4h LE Q50(2.42148),True,0.7873336161947225,55.499153976311334,51.677148846960165,62.42038216560509,56.184210526315795,46.331236897274636,50.0,57.5107296137339,57.692307692307686,0.3468464158760118,0.1300591873463407,1.2009234310282864,0.5671331952612693
m15_adx_acc GE Q70(0.476858) OR h4_donch_pos_d3 LE Q30(0.0363804),m15_adx_acc GE Q70(0.476858),h4_donch_pos_d3 LE Q30(0.0363804),True,0.7814687170135054,52.2419627749577,56.18448637316562,53.2484076433121,62.36842105263158,46.12159329140461,47.61194029850746,50.64377682403433,45.10489510489511,0.00984137179276151,0.5356024768141164,0.7514984478536558,0.7911809698592164
m15_adx_d3 LE Q30(-2.25983) OR pre_dd_from_high_4h GE Q70(-0.582829),m15_adx_d3 LE Q30(-2.25983),pre_dd_from_high_4h GE Q70(-0.582829),True,0.7804438910262804,52.91878172588832,45.70230607966457,55.796178343949045,48.68421052631579,50.41928721174004,54.328358208955216,47.78254649499284,61.36363636363637,0.2807082904184905,0.2296833076001487,0.7245766491938731,0.49321265106491724
m15_kdj_spread GE Q80(3.88) OR h4_donch_pos_d3 LE Q30(0.0363804),m15_kdj_spread GE Q80(3.88),h4_donch_pos_d3 LE Q30(0.0363804),True,0.7800921830016351,43.90862944162436,43.08176100628931,46.24203821656051,49.078947368421055,57.23270440251572,63.731343283582085,56.22317596566524,55.24475524475524,0.17648928874707928,0.35333809881712996,0.6407726618116606,0.5569347187558329
m15_kdj_spread GE Q80(3.88) OR m15_adx_d3 LE Q30(-2.25983),m15_kdj_spread GE Q80(3.88),m15_adx_d3 LE Q30(-2.25983),True,0.7784759129162406,45.93908629441624,42.662473794549264,46.496815286624205,45.6578947368421,54.71698113207547,57.3134328358209,53.36194563662375,62.41258741258741,0.2546794743762963,0.292372990231159,0.5327266632927866,0.512641858695785
m15_adx_d3 LE Q30(-2.25983) OR pre_dd_from_high_24h GE Q50(-2.00467),m15_adx_d3 LE Q30(-2.25983),pre_dd_from_high_24h GE Q50(-2.00467),True,0.7783701151893664,64.25549915397632,57.38993710691824,67.38853503184713,61.44736842105263,37.735849056603776,44.02985074626866,39.19885550786839,48.6013986013986,0.2170292498483401,0.26837399307224263,0.7430245523874986,0.49868014778361003
m15_er10_d1 GE Q70(0.055889) OR btc1_bb_pctb_d3 GE Q80(0.157098),m15_er10_d1 GE Q70(0.055889),btc1_bb_pctb_d3 GE Q80(0.157098),True,0.7771965263651347,42.72419627749577,44.91614255765199,43.439490445859875,48.28947368421053,56.91823899371069,59.1044776119403,58.51216022889842,53.671328671328666,0.22604240002254955,0.248115148219122,0.6080836995577296,0.536848242975303
btc4_cmo_acc GE Q90(32.0256) OR pre_dd_from_high_2h GE Q60(-0.585504),btc4_cmo_acc GE Q90(32.0256),pre_dd_from_high_2h GE Q60(-0.585504),True,0.7747432784701704,46.02368866328257,41.66666666666667,51.210191082802545,48.1578947368421,57.65199161425576,63.88059701492538,59.513590844062946,64.16083916083916,0.2091467077206955,0.38081516373529967,0.4618665223590753,0.5633397984333142
m15_kdj_j GE Q90(76.5194) OR pre_range_4h LE Q50(2.42148),m15_kdj_j GE Q90(76.5194),pre_range_4h LE Q50(2.42148),True,0.7741660826710962,55.922165820642974,51.78197064989518,61.52866242038216,55.52631578947368,45.59748427672956,51.64179104477612,54.93562231759657,54.37062937062937,0.3049800565842976,0.1441537457183143,1.1015193154664904,0.555125434161212
m15_er10_d1 GE Q70(0.055889) OR h4_chop14 GE Q80(58.1804),m15_er10_d1 GE Q70(0.055889),h4_chop14 GE Q80(58.1804),True,0.7722414223534786,43.65482233502538,42.924528301886795,47.898089171974526,44.86842105263158,57.861635220125784,59.253731343283576,57.224606580829764,56.81818181818182,0.20076706246575843,0.1922900010625187,0.6929071311575793,0.5410735662760642
