name,feature,family,side,q,threshold,stable_dev,score,disc_veto,cal_veto,disc_bad_removed,cal_bad_removed,disc_clean_preserved,cal_clean_preserved,disc_delayed_preserved,cal_delayed_preserved,disc_net24_imp,cal_net24_imp,disc_net72_imp,cal_net72_imp
h1_mfi_d1 LE Q20(-6.70761),h1_mfi_d1,mfi,LE,0.2,-6.70761003948473,False,0.7141105260376329,20.008460236886634,19.654088050314467,20.254777070063696,20.526315789473685,81.86582809224319,81.64179104477613,76.5379113018598,78.32167832167832,0.002536382293444439,-0.06982389586534155,-0.011890426493746387,0.05127377886994533
h1_chop14_acc LE Q50(0.733592),h1_chop14_acc,chop,LE,0.5,0.733592071059018,False,0.714088649562114,50.0,51.57232704402516,51.46496815286624,51.31578947368421,49.37106918238994,49.701492537313435,52.64663805436338,48.6013986013986,-0.0037643194101729116,0.10250368842332924,0.30309814874018615,0.23312138146016315
h1_ppo_hist_d3 LE Q20(-0.061284),h1_ppo_hist_d3,ppo,LE,0.2,-0.061284010992017225,False,0.7140118330714784,20.008460236886634,20.230607966457022,20.0,20.394736842105264,80.18867924528303,79.40298507462687,76.5379113018598,80.06993006993007,-0.04639802696697537,0.0954329833114006,-0.019125417106246934,0.02241903842196502
h4_stoch_raw LE Q10(14.5519),h4_stoch_raw,stoch,LE,0.1,14.551887288127585,False,0.7139334292012193,10.025380710659897,11.425576519916142,8.662420382165605,12.105263157894736,88.15513626834381,89.55223880597015,91.55937052932761,89.33566433566433,-0.042688383965043666,0.1268212218179957,-0.10357298328389197,-0.01578294445064088
m15_vwap_dist_d3 GE Q90(1.30092),m15_vwap_dist_d3,vwap,GE,0.9,1.300918498353018,False,0.7138043771692618,10.025380710659897,12.054507337526205,10.063694267515924,11.18421052631579,90.25157232704403,87.16417910447761,86.69527896995707,86.7132867132867,-0.014693266384267364,-0.030773755404712055,-0.10731322157399126,0.0790985932194681
h1_di_spread GE Q60(6.57653),h1_di_spread,di_,GE,0.6,6.576530826123139,False,0.7136386263665573,40.01692047377327,32.28511530398323,41.65605095541402,38.68421052631579,60.062893081761004,70.74626865671641,59.370529327610875,68.35664335664336,-0.0013201509356225577,0.19652616415651902,0.08500905562250538,0.5740645074282845
btc1_donch_pos_d3 LE Q10(-0.25957),btc1_donch_pos_d3,btc,LE,0.1,-0.2595698949113515,False,0.7136213847116182,10.194585448392555,10.744234800838575,9.936305732484078,8.68421052631579,88.88888888888889,89.25373134328358,91.27324749642347,87.58741258741259,-0.08513745714030611,0.012313202189895622,0.018736668151399516,-0.042422180039127344
btc1_rsi_d3 GE Q60(1.56241),btc1_rsi_d3,btc,GE,0.6,1.5624075973247566,False,0.7135143792545044,40.01692047377327,43.291404612159326,38.726114649681534,46.71052631578947,61.21593291404612,57.76119402985075,59.084406294706724,57.34265734265735,0.07658788754856762,0.0520336172937913,0.11177762158000737,0.6653032404157566
btc4_mfi_d3 LE Q20(-6.3385),btc4_mfi_d3,btc,LE,0.2,-6.338501158810736,False,0.713094764708293,20.304568527918782,21.17400419287212,21.40127388535032,25.13157894736842,80.92243186582809,80.44776119402985,78.54077253218884,84.44055944055944,-0.01774326967120886,0.1428253541839316,-0.08603874140022238,0.2382938898096112
btc1_mfi_acc GE Q70(0.659761),btc1_mfi_acc,btc,GE,0.7,0.659761230985886,False,0.7129926964165767,30.03384094754653,32.9664570230608,32.738853503184714,33.68421052631579,71.80293501048219,65.82089552238806,71.81688125894135,70.62937062937063,0.04263379825383853,-0.0609873764533958,0.07737367204607937,0.3660640713731444
btc4_er10_d3 GE Q60(0.0574373),btc4_er10_d3,btc,GE,0.6,0.0574373426645917,False,0.7126849264205763,40.14382402707275,32.914046121593294,37.57961783439491,34.3421052631579,56.289308176100626,68.2089552238806,64.2346208869814,69.4055944055944,0.012645283691116962,0.19822209794805346,0.14870412126760602,0.35601928670532024
h4_wpr_d3 LE Q30(5.06929),h4_wpr_d3,wpr,LE,0.3,5.069293527505605,False,0.7126099824591368,29.991539763113366,30.136268343815516,30.445859872611464,32.76315789473684,70.12578616352201,76.56716417910448,70.52932761087267,65.55944055944056,-0.0237512037454862,0.133455290746459,0.24653345757945766,0.04884865039984809
h1_rvol20_d3 LE Q40(-0.100193),h1_rvol20_d3,rvol,LE,0.4,-0.10019299792798796,False,0.7122081121281457,40.01692047377327,45.23060796645702,40.76433121019109,47.63157894736842,59.329140461215935,57.76119402985075,62.80400572246065,51.92307692307693,0.16708816477548077,0.1630385956540269,0.19439166337758895,-0.014200053018875947
btc4_cmo_d1 GE Q70(13.0916),btc4_cmo_d1,btc,GE,0.7,13.091628356730736,False,0.7118126812646526,30.118443316412858,33.280922431865825,31.59235668789809,38.81578947368421,71.59329140461216,69.70149253731344,69.8140200286123,66.6083916083916,0.11808528688980649,0.23449569777356982,-0.1173002937833838,0.08866614640275272
btc4_macd_hist_d1 LE Q20(-0.0970302),btc4_macd_hist_d1,btc,LE,0.2,-0.09703017488430682,False,0.7117261788191278,20.008460236886634,14.41299790356394,20.891719745222932,12.763157894736842,77.77777777777779,82.98507462686567,83.8340486409156,86.88811188811188,-0.05999038245662723,-0.03588436613863977,0.05172728899945056,-0.0033457706411700316
h1_wpr_d3 LE Q20(-23.0912),h1_wpr_d3,wpr,LE,0.2,-23.09118809763714,False,0.7114711262420823,20.008460236886634,19.18238993710692,21.78343949044586,18.552631578947366,81.34171907756813,80.0,77.6824034334764,81.64335664335664,-0.07560781247801927,0.04443410075714349,0.0628792941275339,0.011262088715910612
h1_rvol20_d1 LE Q30(-0.222412),h1_rvol20_d1,rvol,LE,0.3,-0.22241173001381084,False,0.7111511639465133,29.991539763113366,31.498951781970653,31.59235668789809,32.76315789473684,70.75471698113208,71.7910447761194,71.10157367668097,68.00699300699301,0.07527548486116045,0.12381713757645574,0.07755985808725041,-0.08321699311059627
h4_adx_d1 GE Q90(1.48774),h4_adx_d1,adx,GE,0.9,1.4877429535507558,False,0.7111351848285662,10.025380710659897,12.264150943396226,10.445859872611466,10.921052631578949,90.77568134171908,86.41791044776119,88.69814020028612,88.11188811188812,0.04252054333361814,0.04478577232967951,-0.15427068572388514,-0.177172385066953
btc1_lower_wick GE Q70(0.405276),btc1_lower_wick,btc,GE,0.7,0.4052763157894667,False,0.7110303978031117,30.752961082910325,31.970649895178198,33.2484076433121,33.026315789473685,71.48846960167715,72.23880597014926,68.38340486409156,64.6853146853147,0.09954293024711589,-0.05190100742506232,0.060949165907305036,0.23591369246424287
h4_rsi_d3 LE Q10(-2.0248),h4_rsi_d3,rsi,LE,0.1,-2.0248003866369064,False,0.7108016654438901,10.025380710659897,11.740041928721174,9.80891719745223,11.973684210526315,89.20335429769392,90.14925373134328,91.70243204577969,85.3146853146853,-0.03230838962970413,0.1403483154995473,-0.1251508727241486,-0.09806090207875529
h1_rvol20_acc LE Q20(-0.59602),h1_rvol20_acc,rvol,LE,0.2,-0.5960204467349691,False,0.7106881926721604,20.008460236886634,21.540880503144656,21.019108280254777,22.5,79.87421383647799,79.70149253731343,81.54506437768241,80.06993006993007,-0.05965073627535332,-0.031681958114037956,-0.00757132478431688,-0.04770057402581074
btc1_donch_pos_d1 GE Q40(-0.0832926),btc1_donch_pos_d1,btc,GE,0.4,-0.08329259534696339,False,0.7105809268296882,59.98307952622673,61.79245283018868,63.43949044585987,63.68421052631579,42.45283018867924,39.701492537313435,42.77539341917024,38.81118881118881,0.13581145587335353,-0.026221859482314924,0.7487052752370836,0.3064042256469497
m15_donch_pos_d3 GE Q70(0.227823),m15_donch_pos_d3,donch,GE,0.7,0.22782269152505039,False,0.7105137233051939,29.991539763113366,30.974842767295595,32.35668789808917,30.92105263157895,69.28721174004193,69.85074626865672,73.24749642346208,68.53146853146853,-0.04024756502182847,0.06199094346652534,0.23779137860438027,0.06274368968380295
h4_er10 GE Q90(0.638428),h4_er10,er10,GE,0.9,0.638428137212332,False,0.7102517360789429,10.025380710659897,11.477987421383649,9.42675159235669,10.526315789473683,88.9937106918239,86.71641791044776,90.98712446351931,89.33566433566433,-0.02446979257090684,-0.08530774613986813,0.029719585495017742,-0.06566749637355018
btc4_mfi_d3 GE Q70(7.90539),btc4_mfi_d3,btc,GE,0.7,7.90538898133957,False,0.7102272095515942,29.991539763113366,31.289308176100626,29.044585987261147,31.31578947368421,68.9727463312369,66.86567164179105,70.52932761087267,70.97902097902097,0.005277171122242949,0.028748388783870094,0.11777645777168744,0.03691411768307706
btc4_ppo_hist GE Q40(-0.0862656),btc4_ppo_hist,btc,GE,0.4,-0.086265583169519,False,0.7102005034690619,60.448392554991536,52.67295597484277,60.89171974522293,55.13157894736842,37.42138364779874,51.94029850746269,45.35050071530758,42.30769230769231,0.13137809565316327,0.01580470018285074,0.2868838797041281,0.30341754241731567
h1_rsi_d3 GE Q90(4.63528),h1_rsi_d3,rsi,GE,0.9,4.6352847975329485,False,0.7097033843513894,10.025380710659897,14.046121593291405,9.554140127388536,16.973684210526315,88.57442348008385,87.61194029850746,90.70100143061516,87.41258741258741,-0.10155223873483236,0.10696356413780927,-0.05444220380382536,0.07679575592633203
h1_mfi_acc LE Q40(-5.51338),h1_mfi_acc,mfi,LE,0.4,-5.513384334870824,False,0.7096652382183513,40.01692047377327,40.82809224318658,40.0,43.684210526315795,60.58700209643606,63.28358208955224,58.51216022889842,56.993006993006986,0.0627685474977738,-0.020588140967358393,0.2944419210080186,0.14269174321395972
h4_donch_pos_d1 LE Q20(0.0216462),h4_donch_pos_d1,donch,LE,0.2,0.02164617321113844,False,0.7094390265027912,20.008460236886634,18.71069182389937,20.254777070063696,18.421052631578945,80.60796645702307,81.94029850746269,79.39914163090128,80.41958041958041,-0.0714812240813552,0.06507785751352568,-0.013322506009066926,-0.011322139875290294
btc1_adx_d3 GE Q80(2.707),btc1_adx_d3,btc,GE,0.8,2.706997572717359,False,0.7093818619540538,20.050761421319795,20.545073375262053,17.70700636942675,23.42105263157895,76.83438155136268,80.74626865671641,82.26037195994277,81.2937062937063,0.004794909898362454,0.0010400356387989529,-0.03542351187222914,0.17216459986936716
btc4_cmo_d3 LE Q20(-8.19088),btc4_cmo_d3,btc,LE,0.2,-8.190876205552392,False,0.7092919552041566,20.135363790186126,19.28721174004193,20.891719745222932,20.92105263157895,78.82599580712788,81.19402985074626,81.68812589413447,85.66433566433567,-0.09871658806418109,0.027240308193526408,-0.009689184338710244,0.00039318847005020974
btc1_rsi GE Q80(63.8713),btc1_rsi,btc,GE,0.8,63.871292598357336,False,0.7090725641093405,20.050761421319795,17.033542976939202,18.85350318471338,21.973684210526315,79.45492662473794,87.16417910447761,78.6838340486409,84.26573426573427,-0.0012451881683734622,0.1686851560023762,-0.05643088635705207,0.3621021615613361
btc4_adx_d1 LE Q50(-0.051472),btc4_adx_d1,btc,LE,0.5,-0.0514719579579541,False,0.7090392021069389,50.21150592216582,52.25366876310272,52.22929936305732,53.026315789473685,50.314465408805034,50.44776119402985,53.21888412017167,43.70629370629371,0.07024356309669445,-0.21302869351151466,0.5737486037550387,0.43651115951554065
btc4_bb_width_acc LE Q10(-0.0045801),btc4_bb_width_acc,btc,LE,0.1,-0.00458010194384196,False,0.7090246528923059,10.025380710659897,10.90146750524109,8.280254777070063,10.131578947368421,91.61425576519916,87.16417910447761,85.55078683834049,91.08391608391608,0.0012516146157117158,0.04341014175538371,-0.12089927276569956,-0.054143053132132746
btc4_cmf_d3 LE Q50(0.0228942),btc4_cmf_d3,btc,LE,0.5,0.0228942169609064,False,0.7087973828301959,50.04230118443317,49.73794549266247,49.93630573248408,50.6578947368421,52.30607966457023,49.1044776119403,45.20743919885551,52.972027972027966,0.10575441023016863,0.3627152505777236,0.1336032975850301,0.6062702512788398
m15_cmf_d1 GE Q70(0.0457085),m15_cmf_d1,cmf,GE,0.7,0.04570847919693668,False,0.7086017940139285,29.56852791878173,29.874213836477985,30.828025477707005,32.89473684210527,71.0691823899371,74.6268656716418,70.81545064377683,67.3076923076923,0.011808694045471545,0.08210525537832891,-0.0202812246981956,0.11251165032965327
h4_obv_d3 GE Q80(1.47804e+07),h4_obv_d3,obv,GE,0.8,14780423.340000177,False,0.7084290996146374,20.008460236886634,17.19077568134172,20.891719745222932,18.157894736842106,79.66457023060796,82.53731343283583,79.82832618025752,84.61538461538461,0.0582094147132133,-0.06090008573805983,-0.04580048686835625,0.06267964287053562
h1_di_spread_d1 GE Q50(-1.8866),h1_di_spread_d1,di_,GE,0.5,-1.8866013427761448,False,0.7083318061937918,50.0,51.36268343815513,49.42675159235669,56.184210526315795,50.314465408805034,48.656716417910445,50.92989985693849,51.74825174825175,0.18250273190627186,0.21131022225902596,0.3716929283219802,0.03936096106614151
h4_rvol20_acc LE Q10(-1.08193),h4_rvol20_acc,rvol,LE,0.1,-1.0819342606709628,False,0.7081787185439021,10.025380710659897,12.264150943396226,8.152866242038217,12.894736842105264,89.41299790356393,87.91044776119404,88.69814020028612,86.88811188811188,-0.025709351654107288,0.03921101123416537,-0.10265443867608648,-0.0487281839543352
h1_close_ret1 GE Q90(-0.0364092),h1_close_ret1,other,GE,0.9,-0.03640920032254005,False,0.7074730982320003,10.025380710659897,10.90146750524109,9.681528662420384,11.31578947368421,89.41299790356393,88.50746268656717,89.9856938483548,89.6853146853147,-0.02208668512884801,-0.04282396689350054,-0.043771795820147896,-0.1337897807691183
h4_cmf_d3 GE Q80(0.0782088),h4_cmf_d3,cmf,GE,0.8,0.07820882225818976,False,0.7073750511871774,20.008460236886634,22.169811320754718,20.0,22.63157894736842,79.979035639413,77.91044776119404,80.68669527896995,77.27272727272727,-0.04347309695114164,0.036113152449746555,-0.010201173602212177,-0.024898522293554826
h4_roc12_d3 GE Q80(4.87391),h4_roc12_d3,roc,GE,0.8,4.8739113812724195,False,0.7071051245561573,20.008460236886634,22.11740041928721,19.49044585987261,24.07894736842105,79.87421383647799,79.55223880597015,76.39484978540773,73.42657342657343,0.06358755581172776,0.048332967320166786,-0.09576161638644698,0.1790880279903757
m15_stoch_d GE Q90(52.7626),m15_stoch_d,stoch,GE,0.9,52.762631519505945,False,0.7067236953465442,10.025380710659897,12.159329140461216,9.29936305732484,14.605263157894738,90.041928721174,90.74626865671642,88.2689556509299,87.41258741258741,-0.09812342541822174,0.12497650985932418,-0.06790510683733997,0.09505037647817471
btc1_mfi LE Q10(35.7366),btc1_mfi,btc,LE,0.1,35.73663176143312,False,0.706643525183292,10.109983079526225,10.79664570230608,9.936305732484078,9.868421052631579,90.35639412997904,88.2089552238806,89.12732474964234,89.16083916083916,-0.013066370783065911,0.07062828784069297,0.0933084807445298,-0.14840701090776676
pre_ret_2h GE Q90(0.829364),pre_ret_2h,pre_,GE,0.9,0.8293640833387781,False,0.7062604533496382,10.025380710659897,10.482180293501047,9.936305732484078,13.289473684210526,90.25157232704403,91.49253731343283,88.12589413447782,88.81118881118881,-0.08115183963899049,0.06933157190654105,-0.10269353975546425,-0.0015096532777866267
m15_range_pct LE Q20(0.415973),m15_range_pct,other,LE,0.2,0.4159734256821613,False,0.7059280388981843,20.008460236886634,14.150943396226415,21.146496815286625,12.5,80.50314465408806,84.6268656716418,85.69384835479255,90.20979020979021,0.011979880628670586,-0.03527396380267045,0.04041321120175201,-0.056764094419020084
btc4_mfi GE Q80(68.1499),btc4_mfi,btc,GE,0.8,68.14993341004637,False,0.7056331980256998,20.008460236886634,14.465408805031446,20.50955414012739,15.131578947368421,80.92243186582809,84.77611940298507,79.25608011444922,86.7132867132867,-0.09340464697643243,-0.02135286096864053,-0.011876592964069399,0.14266437013762412
h1_stoch_spread GE Q80(4.5548),h1_stoch_spread,stoch,GE,0.8,4.554799650395107,False,0.7051770972132394,20.008460236886634,18.553459119496853,20.127388535031848,20.92105263157895,78.82599580712788,84.17910447761194,80.4005722460658,81.46853146853147,-0.1045737422202671,0.03092080293576749,0.01123943320463383,0.045986391906294055
h1_ppo_hist_acc GE Q90(-0.00754484),h1_ppo_hist_acc,ppo,GE,0.9,-0.007544844068830398,False,0.7050915486973401,10.025380710659897,10.167714884696016,10.318471337579618,10.526315789473683,90.041928721174,88.65671641791046,90.98712446351931,92.13286713286713,0.014907705581634553,-0.07574946217536671,0.011088116257739533,-0.12324000607283647
h4_lower_wick GE Q90(0.562371),h4_lower_wick,other,GE,0.9,0.5623706896551685,False,0.7047074369205542,10.025380710659897,10.324947589098532,10.063694267515924,11.31578947368421,89.09853249475891,93.28358208955224,91.41630901287554,87.76223776223776,-0.07301828335564504,0.09377751764976017,0.054145617840143156,-0.10734440214590468
btc1_bb_pctb_d3 LE Q10(-0.332509),btc1_bb_pctb_d3,btc,LE,0.1,-0.3325088351576276,False,0.7046660404014516,10.067681895093063,10.324947589098532,11.210191082802549,9.342105263157894,91.50943396226415,87.61194029850746,89.55650929899856,90.55944055944056,-0.014912012414358203,-0.12266864800940847,0.012219748437148237,-0.038850713057857256
